"","Human_Gene_Atlas.Term","Human_Gene_Atlas.Overlap","Human_Gene_Atlas.P.value","Human_Gene_Atlas.Adjusted.P.value","Human_Gene_Atlas.Old.P.value","Human_Gene_Atlas.Old.Adjusted.P.value","Human_Gene_Atlas.Odds.Ratio","Human_Gene_Atlas.Combined.Score","Human_Gene_Atlas.Genes"
"33","GlobusPallidus","1/59",0.775962958595988,0.999970225715678,0,0,0.671757307718886,0.170391572753688,"SQSTM1"
"34","retina","4/218",0.797699144677979,0.999970225715678,0,0,0.726786252637926,0.164270964663318,"SEPT8;RNPS1;PTGDS;RAB7A"
"35","PancreaticIslet","2/123",0.816389354059406,0.999970225715678,0,0,0.643200902784692,0.130482236055222,"GNAS;PAK3"
"36","WholeBlood","10/514",0.830847875188552,0.999970225715678,0,0,0.769193391642371,0.142538122253534,"SDCBP;PAK1;GNB2;EFHD2;FLOT2;CHI3L1;SNX10;MBP;PAK3;NDEL1"
"37","Trachea","1/72",0.838969178674711,0.999970225715678,0,0,0.548392559767422,0.0962874834770482,"PAK3"
"38","BDCA4+ DendriticCells","9/495",0.874329228679683,0.999970225715678,0,0,0.717130572527721,0.0963094041498564,"RHOT2;CBX6;TCF4;YPEL5;SEPT2;ADD1;HSP90B1;IDH3A;ITM2C"
"39","CardiacMyocytes","4/273",0.912887374765866,0.999970225715678,0,0,0.57653795419115,0.0525472623023277,"RPL10;ENO1;RPL7;RAB7A"
"40","UterusCorpus","1/98",0.916860942170184,0.999970225715678,0,0,0.400863582835775,0.0347947435388601,"CHI3L1"
"41","CD14+ Monocytes","6/383",0.919713778013336,0.999970225715678,0,0,0.616082646935642,0.0515616621614991,"CAMK2B;PAK1;PPT1;EFHD2;TKT;ARL8A"
"42","SkeletalMuscle","7/441",0.927185041670913,0.999970225715678,0,0,0.623764967611071,0.0471579538604074,"BIN1;FHL1;RAD23A;DTX3;LDB2;ALDOA;EIF4G2"
"43","Colorectaladenocarcinoma","4/292",0.936299697690625,0.999970225715678,0,0,0.537970430107527,0.0354090329053268,"PPME1;ARHGDIA;TAF6;PTTG1IP"
"44","Tongue","1/115",0.946063769055426,0.999970225715678,0,0,0.340786836831558,0.0188950294444814,"FHL1"
"45","Leukemia chronicMyelogenousK-562","1/124",0.957112900101503,0.999970225715678,0,0,0.31570457989149,0.0138385697878171,"COX5B"
"46","Fetalliver","1/126",0.959243436530823,0.999970225715678,0,0,0.31062124248497,0.0129250717164689,"GLUD1"
"47","Appendix","1/127",0.960268754674992,0.999970225715678,0,0,0.308140089703216,0.0124926404493715,"MEG3"
"48","CD8+ Tcells","9/602",0.967132117306514,0.999970225715678,0,0,0.584425218863661,0.0195315883538331,"NELL2;DNAJB1;RHOT2;NDUFB8;RPL3;NCOR1;RPL10;EVL;HNRNPA1"
"49","Lymphoma burkitts(Daudi)","1/139",0.970737921445324,0.999970225715678,0,0,0.281171037727629,0.00835042918490377,"NPM1"
"50","Kidney","1/142",0.972892701091525,0.999970225715678,0,0,0.27514603675436,0.00756142009909564,"GATM"
"51","small intestine","2/220",0.975228654209394,0.999970225715678,0,0,0.355219041302826,0.00891007229388858,"CBR1;OAT"
"52","Placenta","5/405",0.975406477991674,0.999970225715678,0,0,0.482323232323232,0.0120103280872368,"C1ORF115;REEP5;HTRA1;PRKCZ;SQSTM1"
"53","CD4+ Tcells","7/533",0.980963878804611,0.999970225715678,0,0,0.512181954202948,0.00984395322760033,"DNAJB1;RHOT2;NCOR1;RPL10;TSC22D3;EVL;HNRNPA1"
"54","CD34+","9/645",0.982001737253703,0.999970225715678,0,0,0.543672904738116,0.009874296863221,"SYNGR1;RPL3;TPI1;RPL31;EWSR1;ATXN7L3B;RNPS1;HNRNPA1;PTMA"
"55","CD105+ Endothelial","4/370",0.983904690913304,0.999970225715678,0,0,0.421602326811211,0.00684102283668551,"PRDX2;SYNGR1;MAP2K2;GAS2L1"
"56","Testis","4/384",0.987587872594783,0.999970225715678,0,0,0.405772495755518,0.00506801782862761,"FKBP1A;PPP3CB;FBXW5;PRKAR1A"
"57","Adipocyte","1/181",0.989981346312128,0.999970225715678,0,0,0.215096860387442,0.00216584860459105,"CYB5R3"
