"","associated_gene","Mouse","Fetal","Adult","Human"
"152","AC245060.7",NA,1,NA,1
"153","ACAA1",NA,2,1,2
"154","ACAA1A",5,NA,NA,NA
"155","ACAD11",NA,1,NA,1
"156","ACAD8",1,NA,1,1
"157","ACADM",1,1,NA,2
"158","ACADS",NA,1,NA,1
"159","ACADSB",NA,2,1,2
"160","ACADVL",2,17,12,19
"161","ACAP2",NA,NA,1,1
"162","ACAP3",6,3,2,3
"163","ACAT1",NA,NA,NA,1
"164","ACBD4",10,NA,NA,NA
"165","ACBD5",1,NA,NA,NA
"166","ACD",5,2,NA,3
"167","ACE",1,NA,NA,NA
"168","ACHE",2,1,2,2
"169","ACIN1",6,NA,NA,NA
"170","ACO2",2,NA,NA,NA
"171","ACOT11",1,NA,NA,NA
"172","ACOT8",1,NA,NA,NA
"173","ACP1",1,NA,NA,NA
"174","ACP6",3,NA,1,2
"175","ACSBG1",1,NA,NA,NA
"176","ACSL1",1,NA,NA,NA
"177","ACSL3",1,NA,NA,NA
"178","ACSL6",1,NA,NA,NA
"179","ACSS1",NA,1,1,1
"180","ACTA1",1,NA,NA,NA
"181","ACTB",1,6,3,7
"182","ACTG1",NA,3,2,4
"183","ACTL6B",4,1,NA,1
"184","ACTN1",3,NA,1,1
"185","ACTN2",1,NA,NA,NA
"186","ACTN3",1,NA,NA,NA
"187","ACTN4",2,NA,NA,NA
"188","ACTR1A",1,1,NA,2
"189","ACTR1B",3,2,1,4
"190","ACTR5",1,NA,1,1
"191","ACTR8",2,NA,NA,NA
"192","ACY1",1,NA,NA,NA
"193","ADA",NA,NA,1,1
"194","ADAL",2,NA,NA,NA
"195","ADAM10",NA,1,NA,1
"196","ADAM11",2,NA,2,2
"197","ADAM15",3,NA,1,1
"198","ADAM19",1,NA,NA,NA
"199","ADAMTS1",1,NA,NA,NA
"200","ADAMTS10",2,3,NA,5
"201","ADAMTS13",NA,1,NA,1
"202","ADAP1",2,NA,NA,NA
"203","ADAP2",1,NA,NA,NA
"204","ADAR",1,NA,NA,1
"205","ADARB1",1,NA,NA,NA
"206","ADAT1",NA,1,1,1
"207","ADCK2",3,NA,NA,NA
"208","ADCK5",NA,4,2,5
"209","ADCY3",1,NA,1,1
"210","ADCY9",3,NA,NA,NA
"211","ADD1",5,3,8,9
"212","ADD2",1,NA,NA,NA
"213","ADD3",NA,NA,2,2
"214","ADGRA3",1,NA,NA,NA
"215","ADGRB1",4,NA,NA,1
"216","ADGRB2",2,NA,NA,NA
"217","ADGRB3",2,NA,NA,NA
"218","ADGRE1",3,NA,NA,NA
"219","ADGRE5",2,NA,NA,NA
"220","ADGRG1",9,NA,NA,NA
"221","ADIPOR1",2,1,1,1
"222","ADIPOR2",1,NA,NA,NA
"223","ADORA1",5,NA,NA,NA
"224","ADPRHL2",2,NA,NA,1
"225","ADPRM",2,NA,NA,NA
"226","ADRM1",3,1,NA,2
"227","ADSS",2,NA,NA,NA
"228","ADSSL1",1,NA,NA,NA
"229","AEBP1",1,NA,NA,NA
"230","AEBP2",1,NA,NA,NA
"231","AFF4",1,NA,NA,NA
"232","AFTPH",2,1,1,1
"233","AGAP4",NA,1,1,2
"234","AGBL5",1,NA,NA,NA
"235","AGO4",1,NA,NA,NA
"236","AGPAT1",NA,NA,1,NA
"237","AGPAT4",NA,1,1,2
"238","AGRN",NA,NA,2,2
"239","AGTPBP1",4,NA,NA,NA
"240","AHCTF1",1,NA,NA,NA
"241","AHCYL1",12,1,NA,1
"242","AHDC1",6,2,NA,3
"243","AHSA1",2,NA,NA,NA
"244","AHSA2P",NA,NA,NA,1
"245","AI413582",2,NA,NA,NA
"246","AIFM1",1,NA,NA,NA
"247","AIG1",1,2,1,2
"248","AIP",1,NA,1,1
"249","AJM1",2,NA,NA,NA
"250","AK3",1,NA,NA,NA
"251","AK5",1,NA,NA,NA
"252","AKAP1",NA,NA,NA,1
"253","AKAP8",6,NA,NA,NA
"254","AKAP8L",17,8,7,12
"255","AKAP9",1,NA,NA,NA
"256","AKIP1",1,NA,NA,NA
"257","AKIRIN1",1,NA,NA,NA
"258","AKIRIN2",NA,1,NA,1
"259","AKR1A1",NA,2,NA,2
"260","AKR1B1",NA,2,NA,3
"261","AKT2",9,NA,1,1
"262","AL049834.1",NA,1,1,2
"263","AL096870.1",NA,4,1,5
"264","AL117348.2",NA,NA,1,1
"265","AL121845.3",NA,NA,2,4
"266","AL157935.2",NA,1,1,2
"267","AL391807.1",NA,NA,2,2
