"","associated_gene","Mouse","Fetal","Adult","Human"
"680","CASTOR1",NA,NA,1,1
"681","CASTOR3",NA,1,1,1
"682","CATSPER2_AC011330.1",NA,NA,1,1
"683","CATSPERZ_KCNK4",1,NA,NA,NA
"684","CBARP",17,NA,NA,NA
"685","CBLL1",1,NA,NA,NA
"686","CBR1",1,1,1,1
"687","CBS",2,2,2,4
"688","CBSL",NA,1,1,2
"689","CBX5",1,NA,NA,NA
"690","CBX6",7,NA,NA,NA
"691","CBX7",1,NA,NA,NA
"692","CC2D1A",3,1,NA,2
"693","CCAR2",3,1,NA,2
"694","CCDC106",2,NA,NA,NA
"695","CCDC107",1,NA,1,1
"696","CCDC12",NA,1,NA,1
"697","CCDC120",1,NA,NA,NA
"698","CCDC13",1,NA,NA,NA
"699","CCDC13_HIGD1A",NA,1,NA,NA
"700","CCDC130",NA,NA,1,1
"701","CCDC136",1,NA,NA,NA
"702","CCDC137",1,1,1,1
"703","CCDC14",NA,4,NA,4
"704","CCDC142",NA,1,NA,1
"705","CCDC152",NA,1,NA,1
"706","CCDC159",1,NA,1,1
"707","CCDC167",1,NA,NA,NA
"708","CCDC181",1,NA,NA,NA
"709","CCDC189",1,NA,NA,NA
"710","CCDC22",1,NA,NA,NA
"711","CCDC28B",1,NA,NA,NA
"712","CCDC39",1,NA,NA,NA
"713","CCDC47",1,NA,NA,NA
"714","CCDC59",NA,1,NA,1
"715","CCDC80",1,NA,NA,NA
"716","CCDC82",NA,2,NA,2
"717","CCDC84",1,NA,NA,NA
"718","CCDC85A",4,NA,NA,NA
"719","CCDC88A",NA,1,1,1
"720","CCDC9",1,NA,NA,NA
"721","CCDC90B",NA,2,NA,3
"722","CCDC92",1,NA,NA,NA
"723","CCDC93",NA,1,NA,1
"724","CCKBR",2,NA,NA,NA
"725","CCL27A",5,NA,NA,NA
"726","CCN1",NA,NA,NA,1
"727","CCNC",NA,1,1,1
"728","CCNG1",1,NA,NA,NA
"729","CCNG2",1,2,1,2
"730","CCNI",NA,1,NA,1
"731","CCNJ",NA,1,NA,1
"732","CCNK",1,NA,NA,NA
"733","CCNL1",4,1,2,4
"734","CCNL2",NA,11,2,12
"735","CCNT2",NA,1,NA,1
"736","CCP110",2,NA,NA,NA
"737","CCPG1",6,NA,NA,1
"738","CCS",1,2,1,2
"739","CCT2",NA,NA,1,2
"740","CCT3",1,NA,NA,NA
"741","CCT7",1,NA,NA,NA
"742","CCT8",NA,NA,NA,1
"743","CCZ1",NA,NA,NA,2
"744","CCZ1B",NA,1,NA,1
"745","CD151",NA,1,NA,1
"746","CD164",1,NA,NA,NA
"747","CD1D1",1,NA,NA,NA
"748","CD209F",1,NA,NA,NA
"749","CD247",NA,NA,1,1
"750","CD276",NA,2,NA,2
"751","CD2BP2",NA,2,NA,2
"752","CD34",1,NA,NA,NA
"753","CD37",NA,NA,1,1
"754","CD46",NA,1,1,1
"755","CD74",1,NA,NA,NA
"756","CD79A",1,NA,NA,NA
"757","CD81",3,NA,NA,NA
"758","CDADC1",2,NA,NA,NA
"759","CDAN1",1,NA,NA,NA
"760","CDC123",1,1,NA,1
"761","CDC16",1,2,2,2
"762","CDC23",5,NA,NA,1
"763","CDC25B",1,NA,NA,NA
"764","CDC26",1,NA,NA,NA
"765","CDC34",1,NA,NA,NA
"766","CDC37",NA,1,1,2
