"","Event","n","perc"
"1","A3",3217,7.99592374419009
"2","A5",1882,4.67775209405215
"3","AF",12842,31.9190714090423
"4","AL",6178,15.355553898541
"5","IR",6803,16.9090050456093
"6","MX",625,1.55345114706833
"7","SE",8686,21.5892426614968
