"","Genes","Number of Splicing Events","dataset"
"3506","EIF3J-DT",1,"HumanCTX"
"3507","EIF3K",1,"HumanCTX"
"3508","EIF3L",1,"HumanCTX"
"3509","EIF4A1",1,"HumanCTX"
"3510","EIF4B",1,"HumanCTX"
"3511","EIF4E",1,"HumanCTX"
"3512","EIF4G3",1,"HumanCTX"
"3513","EIF4H",1,"HumanCTX"
"3514","EIF6",1,"HumanCTX"
"3515","EIPR1",1,"HumanCTX"
"3516","ELAVL1",1,"HumanCTX"
"3517","ELF2",1,"HumanCTX"
"3518","ELMOD1",1,"HumanCTX"
"3519","ELOVL2",1,"HumanCTX"
"3520","ELOVL5",1,"HumanCTX"
"3521","ELP2",1,"HumanCTX"
"3522","ELP3",1,"HumanCTX"
"3523","ELP5",1,"HumanCTX"
"3524","ELP6",1,"HumanCTX"
"3525","EMC9",1,"HumanCTX"
"3526","EMD",1,"HumanCTX"
"3527","EML1",1,"HumanCTX"
"3528","EML3",1,"HumanCTX"
"3529","ENAH",1,"HumanCTX"
"3530","ENGASE",1,"HumanCTX"
"3531","ENO1",1,"HumanCTX"
"3532","ENTPD4",1,"HumanCTX"
"3533","ENY2",1,"HumanCTX"
"3534","EOMES",1,"HumanCTX"
"3535","EPB41",1,"HumanCTX"
"3536","EPB41L2",1,"HumanCTX"
"3537","EPHA7",1,"HumanCTX"
"3538","EPHX4",1,"HumanCTX"
"3539","EPM2A",1,"HumanCTX"
"3540","EPRS",1,"HumanCTX"
"3541","EPS8",1,"HumanCTX"
"3542","ERBIN",1,"HumanCTX"
"3543","ERGIC1",1,"HumanCTX"
"3544","ERGIC2",1,"HumanCTX"
"3545","ERLEC1",1,"HumanCTX"
"3546","ERP29",1,"HumanCTX"
"3547","ERRFI1",1,"HumanCTX"
"3548","ESS2",1,"HumanCTX"
"3549","ESYT1",1,"HumanCTX"
"3550","ESYT2",1,"HumanCTX"
"3551","ETFA",1,"HumanCTX"
"3552","ETFRF1",1,"HumanCTX"
"3553","ETHE1",1,"HumanCTX"
"3554","ETS2",1,"HumanCTX"
"3555","EXD3",1,"HumanCTX"
"3556","EXOG",1,"HumanCTX"
"3557","EXOSC1",1,"HumanCTX"
"3558","EXOSC3",1,"HumanCTX"
"3559","EXOSC9",1,"HumanCTX"
"3560","EXTL2",1,"HumanCTX"
"3561","EXTL3",1,"HumanCTX"
"3562","F8",1,"HumanCTX"
"3563","FAAP100",1,"HumanCTX"
"3564","FAAP20",1,"HumanCTX"
"3565","FABP6",1,"HumanCTX"
"3566","FABP7",1,"HumanCTX"
"3567","FADS2",1,"HumanCTX"
"3568","FAIM2",1,"HumanCTX"
"3569","FAM102A",1,"HumanCTX"
"3570","FAM104A",1,"HumanCTX"
"3571","FAM104B",1,"HumanCTX"
"3572","FAM110B",1,"HumanCTX"
"3573","FAM114A1",1,"HumanCTX"
"3574","FAM117A",1,"HumanCTX"
"3575","FAM13A",1,"HumanCTX"
"3576","FAM160B2",1,"HumanCTX"
"3577","FAM168A",1,"HumanCTX"
"3578","FAM168B",1,"HumanCTX"
"3579","FAM171A1",1,"HumanCTX"
"3580","FAM172A",1,"HumanCTX"
"3581","FAM173A",1,"HumanCTX"
"3582","FAM181A",1,"HumanCTX"
"3583","FAM189B",1,"HumanCTX"
"3584","FAM199X",1,"HumanCTX"
"3585","FAM200A",1,"HumanCTX"
"3586","FAM204A",1,"HumanCTX"
"3587","FAM20B",1,"HumanCTX"
"3588","FAM219A",1,"HumanCTX"
"3589","FAM221A",1,"HumanCTX"
"3590","FAM32A",1,"HumanCTX"
"3591","FAM45A",1,"HumanCTX"
"3592","FAM50A",1,"HumanCTX"
"3593","FAM57B",1,"HumanCTX"
"3594","FAM86DP",1,"HumanCTX"
"3595","FAM98A",1,"HumanCTX"
"3596","FAM98C",1,"HumanCTX"
"3597","FAN1",1,"HumanCTX"
"3598","FANCL",1,"HumanCTX"
"3599","FAR2P2",1,"HumanCTX"
"3600","FARP1",1,"HumanCTX"
"3601","FARS2",1,"HumanCTX"
"3602","FARSA",1,"HumanCTX"
"3603","FASTKD2",1,"HumanCTX"
"3604","FASTKD3",1,"HumanCTX"
"3605","FAXC",1,"HumanCTX"
"3606","FBLN2",1,"HumanCTX"
"3607","FBXL12",1,"HumanCTX"
"3608","FBXL15",1,"HumanCTX"
"3609","FBXL4",1,"HumanCTX"
"3610","FBXL5",1,"HumanCTX"
"3611","FBXL6",1,"HumanCTX"
"3612","FBXO25",1,"HumanCTX"
"3613","FBXO34",1,"HumanCTX"
"3614","FBXO38",1,"HumanCTX"
"3615","FBXW9",1,"HumanCTX"
"3616","FERMT2",1,"HumanCTX"
"3617","FEZ2",1,"HumanCTX"
"3618","FGD3",1,"HumanCTX"
"3619","FGF1",1,"HumanCTX"
"3620","FGF11",1,"HumanCTX"
"3621","FGF12",1,"HumanCTX"
"3622","FGF13",1,"HumanCTX"
"3623","FGF7P6",1,"HumanCTX"
"3624","FGFR1",1,"HumanCTX"
"3625","FGFR1OP",1,"HumanCTX"
"3626","FGFR1OP2",1,"HumanCTX"
"3627","FHOD3",1,"HumanCTX"
"3628","FKBP1A",1,"HumanCTX"
"3629","FKBP4",1,"HumanCTX"
"3630","FKBP9",1,"HumanCTX"
"3631","FLNA",1,"HumanCTX"
"3632","FLRT2",1,"HumanCTX"
"3633","FMNL1",1,"HumanCTX"
"3634","FMR1",1,"HumanCTX"
"3635","FOLH1",1,"HumanCTX"
"3636","FOPNL",1,"HumanCTX"
"3637","FOS",1,"HumanCTX"
"3638","FOXG1",1,"HumanCTX"
"3639","FOXG1-AS1",1,"HumanCTX"
"3640","FOXK2",1,"HumanCTX"
"3641","FRG1BP",1,"HumanCTX"
"3642","FRMD4A",1,"HumanCTX"
"3643","FRMD8",1,"HumanCTX"
"3644","FRMPD4",1,"HumanCTX"
"3645","FRS2",1,"HumanCTX"
"3646","FRY",1,"HumanCTX"
"3647","FRYL",1,"HumanCTX"
"3648","FSCN1",1,"HumanCTX"
"3649","FSD1L",1,"HumanCTX"
"3650","FSTL3",1,"HumanCTX"
"3651","FTL",1,"HumanCTX"
"3652","FTO",1,"HumanCTX"
"3653","FTX",1,"HumanCTX"
"3654","FUBP3",1,"HumanCTX"
"3655","FUCA1",1,"HumanCTX"
"3656","FUCA2",1,"HumanCTX"
"3657","FUZ",1,"HumanCTX"
"3658","FYTTD1",1,"HumanCTX"
"3659","FZD3",1,"HumanCTX"
"3660","G2E3",1,"HumanCTX"
"3661","GAA",1,"HumanCTX"
"3662","GABARAP",1,"HumanCTX"
"3663","GABARAPL2",1,"HumanCTX"
"3664","GABPA",1,"HumanCTX"
"3665","GABRA2",1,"HumanCTX"
"3666","GABRB3",1,"HumanCTX"
"3667","GABRG2",1,"HumanCTX"
"3668","GADD45GIP1",1,"HumanCTX"
"3669","GAL3ST1",1,"HumanCTX"
"3670","GALK1",1,"HumanCTX"
"3671","GALNT18",1,"HumanCTX"
"3672","GALNT7",1,"HumanCTX"
"3673","GALNT8",1,"HumanCTX"
"3674","GALNT9",1,"HumanCTX"
"3675","GALT",1,"HumanCTX"
"3676","GANAB",1,"HumanCTX"
"3677","GAP43",1,"HumanCTX"
"3678","GAPVD1",1,"HumanCTX"
"3679","GARS-DT",1,"HumanCTX"
"3680","GATB",1,"HumanCTX"
"3681","GBA",1,"HumanCTX"
"3682","GBF1",1,"HumanCTX"
"3683","GCA",1,"HumanCTX"
"3684","GCDH",1,"HumanCTX"
"3685","GDI1",1,"HumanCTX"
"3686","GDI2",1,"HumanCTX"
"3687","GDPD5",1,"HumanCTX"
"3688","GEMIN4",1,"HumanCTX"
"3689","GFM1",1,"HumanCTX"
"3690","GFM2",1,"HumanCTX"
"3691","GFOD1",1,"HumanCTX"
"3692","GGCT",1,"HumanCTX"
"3693","GGNBP2",1,"HumanCTX"
"3694","GHDC",1,"HumanCTX"
"3695","GINM1",1,"HumanCTX"
"3696","GKAP1",1,"HumanCTX"
"3697","GLA",1,"HumanCTX"
"3698","GLB1",1,"HumanCTX"
"3699","GLCCI1",1,"HumanCTX"
"3700","GLCE",1,"HumanCTX"
"3701","GLE1",1,"HumanCTX"
"3702","GLI4",1,"HumanCTX"
"3703","GLIS3",1,"HumanCTX"
"3704","GLMN",1,"HumanCTX"
"3705","GLMP",1,"HumanCTX"
"3706","GLRX",1,"HumanCTX"
"3707","GLT1D1",1,"HumanCTX"
"3708","GLUD1",1,"HumanCTX"
"3709","GMIP",1,"HumanCTX"
"3710","GMNN",1,"HumanCTX"
"3711","GNAI1",1,"HumanCTX"
"3712","GNAI2",1,"HumanCTX"
"3713","GNAI3",1,"HumanCTX"
"3714","GNB2",1,"HumanCTX"
"3715","GNE",1,"HumanCTX"
"3716","GNG2",1,"HumanCTX"
"3717","GNG4",1,"HumanCTX"
"3718","GNL2",1,"HumanCTX"
"3719","GNL3",1,"HumanCTX"
"3720","GNPAT",1,"HumanCTX"
"3721","GNPDA1",1,"HumanCTX"
"3722","GNPDA2",1,"HumanCTX"
"3723","GOLGA2",1,"HumanCTX"
"3724","GOLGA7",1,"HumanCTX"
"3725","GOLGA7B",1,"HumanCTX"
"3726","GOLPH3",1,"HumanCTX"
"3727","GON4L",1,"HumanCTX"
"3728","GOPC",1,"HumanCTX"
"3729","GOSR1",1,"HumanCTX"
"3730","GPATCH4",1,"HumanCTX"
"3731","GPATCH8",1,"HumanCTX"
"3732","GPCPD1",1,"HumanCTX"
"3733","GPHN",1,"HumanCTX"
"3734","GPNMB",1,"HumanCTX"
"3735","GPR12",1,"HumanCTX"
"3736","GPR137B",1,"HumanCTX"
"3737","GPR176",1,"HumanCTX"
"3738","GPR180",1,"HumanCTX"
"3739","GPR68",1,"HumanCTX"
"3740","GPX4",1,"HumanCTX"
"3741","GRAMD1B",1,"HumanCTX"
"3742","GRB10",1,"HumanCTX"
"3743","GRHPR",1,"HumanCTX"
"3744","GRK6",1,"HumanCTX"
"3745","GRM1",1,"HumanCTX"
"3746","GRM2",1,"HumanCTX"
"3747","GRM3",1,"HumanCTX"
"3748","GRN",1,"HumanCTX"
"3749","GRPEL2",1,"HumanCTX"
"3750","GSK3B",1,"HumanCTX"
"3751","GSKIP",1,"HumanCTX"
"3752","GSTK1",1,"HumanCTX"
"3753","GTDC1",1,"HumanCTX"
"3754","GTF2E2",1,"HumanCTX"
"3755","GTF3C1",1,"HumanCTX"
"3756","GTPBP3",1,"HumanCTX"
"3757","GTPBP4",1,"HumanCTX"
"3758","GUF1",1,"HumanCTX"
"3759","GULP1",1,"HumanCTX"
"3760","GYG1",1,"HumanCTX"
"3761","H2AFV",1,"HumanCTX"
"3762","H2AFX",1,"HumanCTX"
"3763","H2AFZ",1,"HumanCTX"
"3764","H3F3B",1,"HumanCTX"
"3765","HABP4",1,"HumanCTX"
"3766","HACD3",1,"HumanCTX"
"3767","HADHA",1,"HumanCTX"
"3768","HADHB",1,"HumanCTX"
"3769","HAGHL",1,"HumanCTX"
"3770","HAPLN4",1,"HumanCTX"
"3771","HARS2",1,"HumanCTX"
"3772","HAUS3",1,"HumanCTX"
"3773","HAUS4",1,"HumanCTX"
"3774","HAUS5",1,"HumanCTX"
"3775","HAUS7",1,"HumanCTX"
"3776","HAX1",1,"HumanCTX"
"3777","HBP1",1,"HumanCTX"
"3778","HCFC2",1,"HumanCTX"
"3779","HCN3",1,"HumanCTX"
"3780","HDAC6",1,"HumanCTX"
"3781","HDAC8",1,"HumanCTX"
"3782","HDHD3",1,"HumanCTX"
"3783","HEATR6",1,"HumanCTX"
"3784","HECTD1",1,"HumanCTX"
"3785","HENMT1",1,"HumanCTX"
"3786","HERC3",1,"HumanCTX"
"3787","HERPUD1",1,"HumanCTX"
"3788","HERPUD2",1,"HumanCTX"
"3789","HEXB",1,"HumanCTX"
"3790","HEY1",1,"HumanCTX"
"3791","HGSNAT",1,"HumanCTX"
"3792","HHLA3",1,"HumanCTX"
"3793","HIF1A",1,"HumanCTX"
"3794","HIF3A",1,"HumanCTX"
"3795","HIGD1A",1,"HumanCTX"
"3796","HILPDA",1,"HumanCTX"
"3797","HINT1",1,"HumanCTX"
"3798","HINT2",1,"HumanCTX"
"3799","HIRIP3",1,"HumanCTX"
"3800","HIST1H2AC",1,"HumanCTX"
"3801","HJURP",1,"HumanCTX"
"3802","HLF",1,"HumanCTX"
"3803","HLTF",1,"HumanCTX"
"3804","HMBS",1,"HumanCTX"
"3805","HMG20A",1,"HumanCTX"
"3806","HMGA1",1,"HumanCTX"
"3807","HMGB1P6",1,"HumanCTX"
"3808","HMGB2",1,"HumanCTX"
"3809","HMGB3",1,"HumanCTX"
"3810","HMGCLL1",1,"HumanCTX"
"3811","HMGCR",1,"HumanCTX"
"3812","HMGCS1",1,"HumanCTX"
"3813","HMGN2",1,"HumanCTX"
"3814","HMGXB4",1,"HumanCTX"
"3815","HMOX2",1,"HumanCTX"
"3816","HNRNPAB",1,"HumanCTX"
"3817","HNRNPH2",1,"HumanCTX"
"3818","HNRNPU",1,"HumanCTX"
"3819","HOPX",1,"HumanCTX"
"3820","HPCAL1",1,"HumanCTX"
"3821","HPCAL4",1,"HumanCTX"
"3822","HPRT1",1,"HumanCTX"
"3823","HRH3",1,"HumanCTX"
"3824","HS3ST2",1,"HumanCTX"
"3825","HS3ST5",1,"HumanCTX"
"3826","HSD17B12",1,"HumanCTX"
"3827","HSD17B14",1,"HumanCTX"
"3828","HSD3B7",1,"HumanCTX"
"3829","HSF2",1,"HumanCTX"
"3830","HSPA5",1,"HumanCTX"
"3831","HSPA9",1,"HumanCTX"
"3832","HSPB11",1,"HumanCTX"
"3833","HSPBP1",1,"HumanCTX"
"3834","HTATIP2",1,"HumanCTX"
"3835","HTR1F",1,"HumanCTX"
"3836","HTRA2",1,"HumanCTX"
"3837","HUWE1",1,"HumanCTX"
"3838","HVCN1",1,"HumanCTX"
"3839","HYAL2",1,"HumanCTX"
"3840","ICA1L",1,"HumanCTX"
"3841","ICE2",1,"HumanCTX"
"3842","ICMT",1,"HumanCTX"
"3843","ID4",1,"HumanCTX"
"3844","IDH1",1,"HumanCTX"
"3845","IDH3G",1,"HumanCTX"
"3846","IDNK",1,"HumanCTX"
"3847","IDUA",1,"HumanCTX"
"3848","IER3IP1",1,"HumanCTX"
"3849","IFFO1",1,"HumanCTX"
"3850","IFI27L1",1,"HumanCTX"
"3851","IFIT1",1,"HumanCTX"
"3852","IFNGR2",1,"HumanCTX"
"3853","IFT22",1,"HumanCTX"
"3854","IFT46",1,"HumanCTX"
"3855","IFT80",1,"HumanCTX"
"3856","IGBP1",1,"HumanCTX"
"3857","IGFBP3",1,"HumanCTX"
"3858","IGFLR1",1,"HumanCTX"
"3859","IGLON5",1,"HumanCTX"
"3860","IGSF21",1,"HumanCTX"
"3861","IKBKB",1,"HumanCTX"
"3862","IL17RC",1,"HumanCTX"
"3863","ILRUN",1,"HumanCTX"
"3864","ILVBL",1,"HumanCTX"
"3865","IMPA1",1,"HumanCTX"
"3866","INF2",1,"HumanCTX"
"3867","ING1",1,"HumanCTX"
"3868","INO80E",1,"HumanCTX"
"3869","INPP1",1,"HumanCTX"
"3870","INPP5D",1,"HumanCTX"
"3871","INPP5J",1,"HumanCTX"
"3872","INTS1",1,"HumanCTX"
"3873","INTS14",1,"HumanCTX"
"3874","INTS6",1,"HumanCTX"
"3875","INTS6L",1,"HumanCTX"
"3876","INTS9",1,"HumanCTX"
"3877","IP6K1",1,"HumanCTX"
"3878","IPO9",1,"HumanCTX"
"3879","IQCB1",1,"HumanCTX"
"3880","IQCC",1,"HumanCTX"
"3881","IRAK2",1,"HumanCTX"
"3882","ISCA1",1,"HumanCTX"
"3883","ISYNA1",1,"HumanCTX"
"3884","ITGA3",1,"HumanCTX"
"3885","ITGAE",1,"HumanCTX"
"3886","ITGB1",1,"HumanCTX"
"3887","ITGB4",1,"HumanCTX"
"3888","ITM2A",1,"HumanCTX"
"3889","ITM2B",1,"HumanCTX"
"3890","ITPR1",1,"HumanCTX"
"3891","ITPRID2",1,"HumanCTX"
"3892","ITPRIP",1,"HumanCTX"
"3893","ITSN1",1,"HumanCTX"
"3894","IVD",1,"HumanCTX"
"3895","JADE1",1,"HumanCTX"
"3896","JAKMIP2",1,"HumanCTX"
"3897","JAM3",1,"HumanCTX"
"3898","JDP2",1,"HumanCTX"
"3899","JMJD6",1,"HumanCTX"
"3900","JOSD2",1,"HumanCTX"
"3901","JTB",1,"HumanCTX"
"3902","KANSL3",1,"HumanCTX"
"3903","KAT2A",1,"HumanCTX"
"3904","KAT7",1,"HumanCTX"
"3905","KATNA1",1,"HumanCTX"
"3906","KBTBD2",1,"HumanCTX"
"3907","KCNB1",1,"HumanCTX"
"3908","KCNC2",1,"HumanCTX"
"3909","KCNIP4",1,"HumanCTX"
"3910","KCNK1",1,"HumanCTX"
"3911","KCNK2",1,"HumanCTX"
"3912","KCNN1",1,"HumanCTX"
"3913","KCNN2",1,"HumanCTX"
"3914","KCNN3",1,"HumanCTX"
"3915","KCNQ2",1,"HumanCTX"
"3916","KCNS3",1,"HumanCTX"
"3917","KCNV1",1,"HumanCTX"
"3918","KCTD1",1,"HumanCTX"
"3919","KCTD18",1,"HumanCTX"
"3920","KCTD3",1,"HumanCTX"
"3921","KDM1B",1,"HumanCTX"
"3922","KDM2A",1,"HumanCTX"
"3923","KDM4A",1,"HumanCTX"
"3924","KDM4C",1,"HumanCTX"
"3925","KDM5C",1,"HumanCTX"
"3926","KDM6B",1,"HumanCTX"
"3927","KDM8",1,"HumanCTX"
"3928","KHK",1,"HumanCTX"
"3929","KIAA0100",1,"HumanCTX"
"3930","KIAA0391",1,"HumanCTX"
"3931","KIAA0513",1,"HumanCTX"
"3932","KIAA0895",1,"HumanCTX"
"3933","KIAA1324",1,"HumanCTX"
"3934","KIAA1324L",1,"HumanCTX"
"3935","KIAA1522",1,"HumanCTX"
"3936","KIAA1549",1,"HumanCTX"
"3937","KIAA1586",1,"HumanCTX"
"3938","KIF1BP",1,"HumanCTX"
"3939","KIF1C",1,"HumanCTX"
"3940","KIF21A",1,"HumanCTX"
"3941","KIF2C",1,"HumanCTX"
"3942","KIF5A",1,"HumanCTX"
"3943","KIN",1,"HumanCTX"
"3944","KIRREL3",1,"HumanCTX"
"3945","KIT",1,"HumanCTX"
"3946","KIZ",1,"HumanCTX"
"3947","KLC4",1,"HumanCTX"
"3948","KLF10",1,"HumanCTX"
"3949","KLF11",1,"HumanCTX"
"3950","KLHDC10",1,"HumanCTX"
"3951","KLHDC2",1,"HumanCTX"
"3952","KLHDC3",1,"HumanCTX"
"3953","KLHDC8A",1,"HumanCTX"
"3954","KLHDC8B",1,"HumanCTX"
"3955","KLHL1",1,"HumanCTX"
"3956","KLHL18",1,"HumanCTX"
"3957","KLHL20",1,"HumanCTX"
"3958","KLHL23",1,"HumanCTX"
"3959","KLHL24",1,"HumanCTX"
"3960","KLHL28",1,"HumanCTX"
"3961","KLHL3",1,"HumanCTX"
"3962","KLHL5",1,"HumanCTX"
"3963","KLHL8",1,"HumanCTX"
"3964","KMT2C",1,"HumanCTX"
"3965","KPNA1",1,"HumanCTX"
"3966","KPNA4",1,"HumanCTX"
"3967","KPNA6",1,"HumanCTX"
"3968","KPTN",1,"HumanCTX"
"3969","KRBA2",1,"HumanCTX"
"3970","KRCC1",1,"HumanCTX"
"3971","KRT17P1",1,"HumanCTX"
"3972","KRT222",1,"HumanCTX"
"3973","KTN1",1,"HumanCTX"
"3974","KYAT3",1,"HumanCTX"
"3975","L3HYPDH",1,"HumanCTX"
"3976","L3MBTL4",1,"HumanCTX"
"3977","LAMA5",1,"HumanCTX"
"3978","LAMB1",1,"HumanCTX"
"3979","LAMP1",1,"HumanCTX"
"3980","LAMP2",1,"HumanCTX"
"3981","LAMP5",1,"HumanCTX"
"3982","LAMTOR3",1,"HumanCTX"
"3983","LAMTOR5",1,"HumanCTX"
"3984","LANCL1",1,"HumanCTX"
"3985","LAPTM4A",1,"HumanCTX"
"3986","LAPTM4B",1,"HumanCTX"
"3987","LARP1",1,"HumanCTX"
"3988","LARP4",1,"HumanCTX"
"3989","LARS",1,"HumanCTX"
"3990","LDB1",1,"HumanCTX"
"3991","LDLRAP1",1,"HumanCTX"
"3992","LEPROT",1,"HumanCTX"
"3993","LEPROTL1",1,"HumanCTX"
"3994","LGALS3BP",1,"HumanCTX"
"3995","LGI3",1,"HumanCTX"
"3996","LGMN",1,"HumanCTX"
"3997","LHFPL3",1,"HumanCTX"
"3998","LIMA1",1,"HumanCTX"
"3999","LIN37",1,"HumanCTX"
"4000","LIN52",1,"HumanCTX"
"4001","LIN7B",1,"HumanCTX"
"4002","LINC-PINT",1,"HumanCTX"
"4003","LINC00205",1,"HumanCTX"
"4004","LINC00342",1,"HumanCTX"
"4005","LINC00507",1,"HumanCTX"
"4006","LINC00511",1,"HumanCTX"
"4007","LINC00632",1,"HumanCTX"
"4008","LINC00634",1,"HumanCTX"
"4009","LINC00665",1,"HumanCTX"
"4010","LINC00888",1,"HumanCTX"
"4011","LINC01007",1,"HumanCTX"
"4012","LINC01018",1,"HumanCTX"
"4013","LINC01102",1,"HumanCTX"
"4014","LINC01184",1,"HumanCTX"
"4015","LINC01278",1,"HumanCTX"
"4016","LINC01551",1,"HumanCTX"
"4017","LINC01578",1,"HumanCTX"
"4018","LINC02009",1,"HumanCTX"
"4019","LINC02495",1,"HumanCTX"
"4020","LMAN1",1,"HumanCTX"
"4021","LMAN2L",1,"HumanCTX"
"4022","LMBR1",1,"HumanCTX"
"4023","LMNA",1,"HumanCTX"
"4024","LMO4",1,"HumanCTX"
"4025","LMO7",1,"HumanCTX"
"4026","LONP1",1,"HumanCTX"
"4027","LONP2",1,"HumanCTX"
"4028","LONRF1",1,"HumanCTX"
"4029","LOXL3",1,"HumanCTX"
"4030","LPAR1",1,"HumanCTX"
"4031","LPGAT1",1,"HumanCTX"
"4032","LPIN1",1,"HumanCTX"
"4033","LRATD1",1,"HumanCTX"
"4034","LRCH2",1,"HumanCTX"
"4035","LRCH3",1,"HumanCTX"
"4036","LRCH4",1,"HumanCTX"
"4037","LRFN4",1,"HumanCTX"
"4038","LRIF1",1,"HumanCTX"
"4039","LRP11",1,"HumanCTX"
"4040","LRP12",1,"HumanCTX"
"4041","LRP3",1,"HumanCTX"
"4042","LRP8",1,"HumanCTX"
"4043","LRPAP1",1,"HumanCTX"
"4044","LRRC14",1,"HumanCTX"
"4045","LRRC2",1,"HumanCTX"
"4046","LRRC3B",1,"HumanCTX"
"4047","LRRC42",1,"HumanCTX"
"4048","LRRC45",1,"HumanCTX"
"4049","LRRC4B",1,"HumanCTX"
"4050","LRRC4C",1,"HumanCTX"
"4051","LRRC61",1,"HumanCTX"
"4052","LRRC73",1,"HumanCTX"
"4053","LRRC8A",1,"HumanCTX"
"4054","LRRC8D",1,"HumanCTX"
"4055","LRRN2",1,"HumanCTX"
"4056","LRRN3",1,"HumanCTX"
"4057","LRSAM1",1,"HumanCTX"
"4058","LRTM2",1,"HumanCTX"
"4059","LSM1",1,"HumanCTX"
"4060","LSM12",1,"HumanCTX"
"4061","LSM14A",1,"HumanCTX"
"4062","LSP1P4",1,"HumanCTX"
"4063","LSR",1,"HumanCTX"
"4064","LTA4H",1,"HumanCTX"
"4065","LTBP1",1,"HumanCTX"
"4066","LTBP3",1,"HumanCTX"
"4067","LTBP4",1,"HumanCTX"
"4068","LTV1",1,"HumanCTX"
"4069","LUC7L2",1,"HumanCTX"
"4070","LY6E",1,"HumanCTX"
"4071","LYAR",1,"HumanCTX"
"4072","LYPD1",1,"HumanCTX"
"4073","LYPD8",1,"HumanCTX"
"4074","LYPLA2",1,"HumanCTX"
"4075","LYPLAL1",1,"HumanCTX"
"4076","LYRM2",1,"HumanCTX"
"4077","LYSMD4",1,"HumanCTX"
"4078","LZIC",1,"HumanCTX"
"4079","LZTFL1",1,"HumanCTX"
"4080","LZTR1",1,"HumanCTX"
"4081","M6PR",1,"HumanCTX"
"4082","MACF1",1,"HumanCTX"
"4083","MACROD1",1,"HumanCTX"
"4084","MAD1L1",1,"HumanCTX"
"4085","MAF1",1,"HumanCTX"
"4086","MAFG",1,"HumanCTX"
"4087","MAG",1,"HumanCTX"
"4088","MAGI2",1,"HumanCTX"
"4089","MAGI2-AS3",1,"HumanCTX"
"4090","MAGOHB",1,"HumanCTX"
"4091","MAL2",1,"HumanCTX"
"4092","MALAT1",1,"HumanCTX"
"4093","MALSU1",1,"HumanCTX"
"4094","MAMLD1",1,"HumanCTX"
"4095","MAN1A1",1,"HumanCTX"
"4096","MAN2A2",1,"HumanCTX"
"4097","MANBAL",1,"HumanCTX"
"4098","MANEAL",1,"HumanCTX"
"4099","MANSC1",1,"HumanCTX"
"4100","MAOA",1,"HumanCTX"
"4101","MAP11",1,"HumanCTX"
"4102","MAP1A",1,"HumanCTX"
"4103","MAP1LC3A",1,"HumanCTX"
"4104","MAP1S",1,"HumanCTX"
"4105","MAP2K2",1,"HumanCTX"
"4106","MAP2K3",1,"HumanCTX"
"4107","MAP2K5",1,"HumanCTX"
"4108","MAP3K11",1,"HumanCTX"
"4109","MAP3K12",1,"HumanCTX"
"4110","MAP3K13",1,"HumanCTX"
"4111","MAP3K7",1,"HumanCTX"
"4112","MAP4K3",1,"HumanCTX"
"4113","MAP4K4",1,"HumanCTX"
"4114","MAP6D1",1,"HumanCTX"
"4115","MAP7D2",1,"HumanCTX"
"4116","MAPK12",1,"HumanCTX"
"4117","MAPK1IP1L",1,"HumanCTX"
"4118","MAPK4",1,"HumanCTX"
"4119","MAPK8",1,"HumanCTX"
"4120","MAPK8IP2",1,"HumanCTX"
"4121","MAPK9",1,"HumanCTX"
"4122","MAPKAPK3",1,"HumanCTX"
"4123","MAPKAPK5",1,"HumanCTX"
"4124","MAPKAPK5-AS1",1,"HumanCTX"
"4125","MAPT",1,"HumanCTX"
"4126","MARCH7",1,"HumanCTX"
"4127","MARCH8",1,"HumanCTX"
"4128","MARK1",1,"HumanCTX"
"4129","MARK2",1,"HumanCTX"
"4130","MARK4",1,"HumanCTX"
"4131","MASP1",1,"HumanCTX"
"4132","MAST2",1,"HumanCTX"
"4133","MAST3",1,"HumanCTX"
"4134","MAT2B",1,"HumanCTX"
"4135","MATK",1,"HumanCTX"
"4136","MAU2",1,"HumanCTX"
"4137","MBD3",1,"HumanCTX"
"4138","MBIP",1,"HumanCTX"
"4139","MBLAC1",1,"HumanCTX"
"4140","MBNL1",1,"HumanCTX"
"4141","MBOAT2",1,"HumanCTX"
"4142","MBOAT7",1,"HumanCTX"
"4143","MBTPS1",1,"HumanCTX"
"4144","MCAT",1,"HumanCTX"
"4145","MCCC2",1,"HumanCTX"
"4146","MCFD2",1,"HumanCTX"
"4147","MCM3",1,"HumanCTX"
"4148","MCM3AP-AS1",1,"HumanCTX"
"4149","MCMBP",1,"HumanCTX"
"4150","MCTS1",1,"HumanCTX"
"4151","MDH2",1,"HumanCTX"
"4152","MDM1",1,"HumanCTX"
"4153","MDP1",1,"HumanCTX"
"4154","MEA1",1,"HumanCTX"
"4155","MECP2",1,"HumanCTX"
"4156","MED10",1,"HumanCTX"
"4157","MED16",1,"HumanCTX"
"4158","MED18",1,"HumanCTX"
"4159","MED23",1,"HumanCTX"
"4160","MED25",1,"HumanCTX"
"4161","MED29",1,"HumanCTX"
"4162","MED4",1,"HumanCTX"
"4163","MED8",1,"HumanCTX"
"4164","MEF2D",1,"HumanCTX"
"4165","MELK",1,"HumanCTX"
"4166","METTL15",1,"HumanCTX"
"4167","METTL18",1,"HumanCTX"
"4168","METTL21A",1,"HumanCTX"
"4169","MFAP2",1,"HumanCTX"
"4170","MFAP3",1,"HumanCTX"
"4171","MFGE8",1,"HumanCTX"
"4172","MFSD13A",1,"HumanCTX"
