"","Genes","Number of Splicing Events","dataset"
"53","GDAP1",5,"HumanCTX"
"54","GFAP",5,"HumanCTX"
"55","GPM6B",5,"HumanCTX"
"56","GRIA2",5,"HumanCTX"
"57","GUK1",5,"HumanCTX"
"58","HDAC10",5,"HumanCTX"
"59","HNRNPA2B1",5,"HumanCTX"
"60","HNRNPA3",5,"HumanCTX"
"61","HP1BP3",5,"HumanCTX"
"62","HSD11B1L",5,"HumanCTX"
"63","KCTD17",5,"HumanCTX"
"64","KEAP1",5,"HumanCTX"
"65","LETMD1",5,"HumanCTX"
"66","LPAR2",5,"HumanCTX"
"67","LUC7L",5,"HumanCTX"
"68","MCRS1",5,"HumanCTX"
"69","MED15",5,"HumanCTX"
"70","MLST8",5,"HumanCTX"
"71","MORF4L1",5,"HumanCTX"
"72","MTFR1L",5,"HumanCTX"
"73","NCDN",5,"HumanCTX"
"74","NDRG2",5,"HumanCTX"
"75","NOP56",5,"HumanCTX"
"76","NREP",5,"HumanCTX"
"77","NRSN2",5,"HumanCTX"
"78","NTRK3",5,"HumanCTX"
"79","PAQR6",5,"HumanCTX"
"80","PCBP4",5,"HumanCTX"
"81","PDLIM7",5,"HumanCTX"
"82","PLD3",5,"HumanCTX"
"83","POMGNT1",5,"HumanCTX"
"84","PPP1R12A",5,"HumanCTX"
"85","PPP2R2B",5,"HumanCTX"
"86","PSD",5,"HumanCTX"
"87","PSMC5",5,"HumanCTX"
"88","PTMA",5,"HumanCTX"
"89","PUF60",5,"HumanCTX"
"90","PWWP3A",5,"HumanCTX"
"91","RANGAP1",5,"HumanCTX"
"92","RBM4",5,"HumanCTX"
"93","RBMX",5,"HumanCTX"
"94","RGS11",5,"HumanCTX"
"95","SEMA3B",5,"HumanCTX"
"96","SEPT4",5,"HumanCTX"
"97","SF1",5,"HumanCTX"
"98","SGSM3",5,"HumanCTX"
"99","SLC22A17",5,"HumanCTX"
"100","SLC25A18",5,"HumanCTX"
"101","SLC25A23",5,"HumanCTX"
"102","SLC44A2",5,"HumanCTX"
"103","SMARCD3",5,"HumanCTX"
"104","SNAP25",5,"HumanCTX"
"105","SNHG29",5,"HumanCTX"
"106","STARD3",5,"HumanCTX"
"107","STK25",5,"HumanCTX"
"108","STRN4",5,"HumanCTX"
"109","TFG",5,"HumanCTX"
"110","TMEM132A",5,"HumanCTX"
"111","TMEM175",5,"HumanCTX"
"112","TPM3",5,"HumanCTX"
"113","TRAPPC2L",5,"HumanCTX"
"114","TRO",5,"HumanCTX"
"115","TTC3",5,"HumanCTX"
"116","ULK3",5,"HumanCTX"
"117","USP11",5,"HumanCTX"
"118","WASF1",5,"HumanCTX"
"119","WBP1",5,"HumanCTX"
"120","YY1AP1",5,"HumanCTX"
"121","ZBTB17",5,"HumanCTX"
"122","ZNF302",5,"HumanCTX"
"123","ZNF821",5,"HumanCTX"
"124","ZNF84",5,"HumanCTX"
"125","AARS",4,"HumanCTX"
"126","ABCC5",4,"HumanCTX"
"127","ABHD17A",4,"HumanCTX"
"128","ABTB1",4,"HumanCTX"
"129","AC009041.2",4,"HumanCTX"
"130","AC011511.1",4,"HumanCTX"
"131","AC016586.1",4,"HumanCTX"
"132","AC105052.3",4,"HumanCTX"
"133","ACADVL",4,"HumanCTX"
"134","ACIN1",4,"HumanCTX"
"135","ACTN1",4,"HumanCTX"
"136","ADAMTS10",4,"HumanCTX"
"137","ADGRB1",4,"HumanCTX"
"138","ADORA1",4,"HumanCTX"
"139","AKAP8L",4,"HumanCTX"
"140","AKR1B1",4,"HumanCTX"
"141","AL096870.1",4,"HumanCTX"
"142","AL121845.3",4,"HumanCTX"
"143","AMZ2P1",4,"HumanCTX"
"144","ANAPC15",4,"HumanCTX"
"145","ANAPC5",4,"HumanCTX"
"146","ANGEL1",4,"HumanCTX"
"147","ANKRD13D",4,"HumanCTX"
"148","ANKS3",4,"HumanCTX"
"149","APBB1",4,"HumanCTX"
"150","APLP1",4,"HumanCTX"
"151","ARFGAP2",4,"HumanCTX"
"152","ARFRP1",4,"HumanCTX"
"153","ARHGAP21",4,"HumanCTX"
"154","ARHGDIG",4,"HumanCTX"
"155","ARHGEF2",4,"HumanCTX"
"156","ARHGEF9",4,"HumanCTX"
"157","ARL6IP4",4,"HumanCTX"
"158","ASCC1",4,"HumanCTX"
"159","ASPH",4,"HumanCTX"
"160","ASRGL1",4,"HumanCTX"
"161","ATRX",4,"HumanCTX"
"162","B3GAT1",4,"HumanCTX"
"163","B4GALNT1",4,"HumanCTX"
"164","BABAM1",4,"HumanCTX"
"165","BAIAP3",4,"HumanCTX"
"166","BCAP29",4,"HumanCTX"
"167","BCS1L",4,"HumanCTX"
"168","BIN1",4,"HumanCTX"
"169","BRAT1",4,"HumanCTX"
"170","BRSK2",4,"HumanCTX"
"171","C11orf49",4,"HumanCTX"
"172","C12orf76",4,"HumanCTX"
"173","C1orf159",4,"HumanCTX"
"174","C1orf61",4,"HumanCTX"
"175","CA11",4,"HumanCTX"
"176","CALY",4,"HumanCTX"
"177","CAMK1G",4,"HumanCTX"
"178","CAPN10",4,"HumanCTX"
"179","CARS",4,"HumanCTX"
"180","CCNI",4,"HumanCTX"
"181","CCNL1",4,"HumanCTX"
"182","CCNL2",4,"HumanCTX"
"183","CDK20",4,"HumanCTX"
"184","CELF3",4,"HumanCTX"
"185","CELF4",4,"HumanCTX"
"186","CENPT",4,"HumanCTX"
"187","CERS4",4,"HumanCTX"
"188","CKB",4,"HumanCTX"
"189","CLDND1",4,"HumanCTX"
"190","CLK1",4,"HumanCTX"
"191","CLK4",4,"HumanCTX"
"192","CPNE6",4,"HumanCTX"
"193","CRMP1",4,"HumanCTX"
"194","CS",4,"HumanCTX"
"195","CTSB",4,"HumanCTX"
"196","CYBC1",4,"HumanCTX"
"197","CYC1",4,"HumanCTX"
"198","DCAF5",4,"HumanCTX"
"199","DCAF8",4,"HumanCTX"
"200","DEAF1",4,"HumanCTX"
"201","DHDDS",4,"HumanCTX"
"202","DHPS",4,"HumanCTX"
"203","DKK3",4,"HumanCTX"
"204","DMAC2",4,"HumanCTX"
"205","DOC2A",4,"HumanCTX"
"206","DTNA",4,"HumanCTX"
"207","DVL3",4,"HumanCTX"
"208","EIF4G2",4,"HumanCTX"
"209","EPB41L1",4,"HumanCTX"
"210","EWSR1",4,"HumanCTX"
"211","EXOC7",4,"HumanCTX"
"212","EXOSC8",4,"HumanCTX"
"213","FADS3",4,"HumanCTX"
"214","FAM107A",4,"HumanCTX"
"215","FAM131B",4,"HumanCTX"
"216","FAM228B",4,"HumanCTX"
"217","FAM241B",4,"HumanCTX"
"218","FAM49A",4,"HumanCTX"
"219","FAM49B",4,"HumanCTX"
"220","FHL1",4,"HumanCTX"
"221","FNBP1",4,"HumanCTX"
"222","FXYD6",4,"HumanCTX"
"223","G3BP2",4,"HumanCTX"
"224","GAS5",4,"HumanCTX"
"225","GATD3B",4,"HumanCTX"
"226","GBA2",4,"HumanCTX"
"227","GLUL",4,"HumanCTX"
"228","GMPPA",4,"HumanCTX"
"229","GMPR2",4,"HumanCTX"
"230","GNAS",4,"HumanCTX"
"231","GPBP1",4,"HumanCTX"
"232","GPR108",4,"HumanCTX"
"233","GPR137",4,"HumanCTX"
"234","GPR161",4,"HumanCTX"
"235","GPS1",4,"HumanCTX"
"236","GRIN1",4,"HumanCTX"
"237","GRINA",4,"HumanCTX"
"238","GTF3C5",4,"HumanCTX"
"239","HDAC3",4,"HumanCTX"
"240","HDLBP",4,"HumanCTX"
"241","HES6",4,"HumanCTX"
"242","HID1",4,"HumanCTX"
"243","HINFP",4,"HumanCTX"
"244","HMBOX1",4,"HumanCTX"
"245","HMGN1",4,"HumanCTX"
"246","HNRNPDL",4,"HumanCTX"
"247","HNRNPH1",4,"HumanCTX"
"248","HNRNPH3",4,"HumanCTX"
"249","HNRNPK",4,"HumanCTX"
"250","HSF1",4,"HumanCTX"
"251","ICA1",4,"HumanCTX"
"252","ICAM5",4,"HumanCTX"
"253","IDH3B",4,"HumanCTX"
"254","IGSF8",4,"HumanCTX"
"255","IMPDH1",4,"HumanCTX"
"256","INTS11",4,"HumanCTX"
"257","IP6K2",4,"HumanCTX"
"258","ITFG1",4,"HumanCTX"
"259","ITGB1BP1",4,"HumanCTX"
"260","ITM2C",4,"HumanCTX"
"261","JKAMP",4,"HumanCTX"
"262","KALRN",4,"HumanCTX"
"263","KATNB1",4,"HumanCTX"
"264","KCNH3",4,"HumanCTX"
"265","KCNIP2",4,"HumanCTX"
"266","KIAA0895L",4,"HumanCTX"
"267","KIAA1211L",4,"HumanCTX"
"268","KLC1",4,"HumanCTX"
"269","KLC2",4,"HumanCTX"
"270","KLHDC9",4,"HumanCTX"
"271","L1CAM",4,"HumanCTX"
"272","LGI4",4,"HumanCTX"
"273","LMBR1L",4,"HumanCTX"
"274","LMF2",4,"HumanCTX"
"275","LZTS3",4,"HumanCTX"
"276","MAGED2",4,"HumanCTX"
"277","MAGED4",4,"HumanCTX"
"278","MAGED4B",4,"HumanCTX"
"279","MAP4",4,"HumanCTX"
"280","MAP7D1",4,"HumanCTX"
"281","MAPK3",4,"HumanCTX"
"282","MAPK7",4,"HumanCTX"
"283","MARS",4,"HumanCTX"
"284","MBP",4,"HumanCTX"
"285","MCRIP2",4,"HumanCTX"
"286","MEAF6",4,"HumanCTX"
"287","METTL26",4,"HumanCTX"
"288","MFSD10",4,"HumanCTX"
"289","MIAT",4,"HumanCTX"
"290","MIB2",4,"HumanCTX"
"291","MIER2",4,"HumanCTX"
"292","MMP17",4,"HumanCTX"
"293","MOK",4,"HumanCTX"
"294","MORF4L2",4,"HumanCTX"
"295","MRPL55",4,"HumanCTX"
"296","MTA1",4,"HumanCTX"
"297","MZF1",4,"HumanCTX"
"298","NAP1L4",4,"HumanCTX"
"299","NAPA",4,"HumanCTX"
"300","NARS2",4,"HumanCTX"
"301","NAXD",4,"HumanCTX"
"302","NCAN",4,"HumanCTX"
"303","NECAB3",4,"HumanCTX"
"304","NIPA2",4,"HumanCTX"
"305","NLGN3",4,"HumanCTX"
"306","NME4",4,"HumanCTX"
"307","NOL4",4,"HumanCTX"
"308","novelGene",4,"HumanCTX"
"309","NPRL2",4,"HumanCTX"
"310","NRBP1",4,"HumanCTX"
"311","NRBP2",4,"HumanCTX"
"312","NRGN",4,"HumanCTX"
"313","NT5C2",4,"HumanCTX"
"314","NTM",4,"HumanCTX"
"315","NUP62",4,"HumanCTX"
"316","OAZ1",4,"HumanCTX"
"317","PAK3",4,"HumanCTX"
"318","PARP2",4,"HumanCTX"
"319","PCBP2",4,"HumanCTX"
"320","PCIF1",4,"HumanCTX"
"321","PCNP",4,"HumanCTX"
"322","PDE4DIP",4,"HumanCTX"
"323","PFN2",4,"HumanCTX"
"324","PHYHIP",4,"HumanCTX"
"325","PI4KB",4,"HumanCTX"
"326","PIANP",4,"HumanCTX"
"327","PIN1",4,"HumanCTX"
"328","PISD",4,"HumanCTX"
"329","PKP4",4,"HumanCTX"
"330","PLEKHA1",4,"HumanCTX"
"331","PLSCR3",4,"HumanCTX"
"332","POMT1",4,"HumanCTX"
"333","PPM1K",4,"HumanCTX"
"334","PPP1R16A",4,"HumanCTX"
"335","PPP2CA",4,"HumanCTX"
"336","PPP2R5B",4,"HumanCTX"
"337","PPP4C",4,"HumanCTX"
"338","PQLC1",4,"HumanCTX"
"339","PREB",4,"HumanCTX"
"340","PREPL",4,"HumanCTX"
"341","PRKAR1A",4,"HumanCTX"
"342","PRKCSH",4,"HumanCTX"
"343","PRKCZ",4,"HumanCTX"
"344","PTOV1",4,"HumanCTX"
"345","PTPN5",4,"HumanCTX"
"346","PTPRA",4,"HumanCTX"
"347","PTPRN",4,"HumanCTX"
"348","PYCR1",4,"HumanCTX"
"349","QARS",4,"HumanCTX"
"350","RAB40C",4,"HumanCTX"
"351","RABL2B",4,"HumanCTX"
"352","RBFOX1",4,"HumanCTX"
"353","RBFOX2",4,"HumanCTX"
"354","RBFOX3",4,"HumanCTX"
"355","RBM14-RBM4",4,"HumanCTX"
"356","RDH11",4,"HumanCTX"
"357","REPIN1",4,"HumanCTX"
"358","RHOT2",4,"HumanCTX"
"359","RHPN1",4,"HumanCTX"
"360","RIC8A",4,"HumanCTX"
"361","RMND5B",4,"HumanCTX"
"362","RNF167",4,"HumanCTX"
"363","RNPS1",4,"HumanCTX"
"364","RO60",4,"HumanCTX"
"365","RPL3",4,"HumanCTX"
"366","RPS14",4,"HumanCTX"
"367","RPS6KB2",4,"HumanCTX"
"368","RPUSD1",4,"HumanCTX"
"369","RSRC2",4,"HumanCTX"
"370","RSRP1",4,"HumanCTX"
"371","RTN3",4,"HumanCTX"
"372","RUFY2",4,"HumanCTX"
"373","RUNDC3A",4,"HumanCTX"
"374","RUNX1T1",4,"HumanCTX"
"375","RUSC1",4,"HumanCTX"
"376","SAFB",4,"HumanCTX"
"377","SAMD10",4,"HumanCTX"
"378","SCMH1",4,"HumanCTX"
"379","SDR39U1",4,"HumanCTX"
"380","SEPT2",4,"HumanCTX"
"381","SEPT8",4,"HumanCTX"
"382","SFXN5",4,"HumanCTX"
"383","SH2B1",4,"HumanCTX"
"384","SH3GLB2",4,"HumanCTX"
"385","SKA2",4,"HumanCTX"
"386","SLC2A8",4,"HumanCTX"
"387","SLC35B2",4,"HumanCTX"
"388","SLC38A1",4,"HumanCTX"
"389","SMARCC2",4,"HumanCTX"
