"","associated_gene","IR_Transcripts","total_num_transcripts","perc_IR_trascripts"
"1","1110018N20RIK",1,1,100
"2","1700047M11RIK",1,1,100
"3","1700080G11RIK",1,1,100
"4","2210418O10RIK",1,1,100
"5","2610316D01RIK",1,1,100
"6","4930451G09RIK",1,1,100
"7","5930412G12RIK",1,1,100
"8","A430057M04RIK",1,1,100
"9","A830019L24RIK",1,1,100
"10","A930024N18RIK",1,1,100
"11","A930024N18RIK_FAM120B",2,2,100
"12","AC159140.2_ZFP61",1,1,100
"13","ACTN3",1,1,100
"14","AHDC1",6,6,100
"15","ALG11",1,1,100
"16","APLF",1,1,100
"17","ASTE1",1,1,100
"18","C1QTNF4_KBTBD4",1,1,100
"19","C920006O11RIK",2,2,100
"20","CAR11_DBP",1,1,100
"21","CATSPERZ_KCNK4",1,1,100
"22","CBLL1",1,1,100
"23","CD79A",1,1,100
"24","CEP295",3,3,100
"25","CFL1_EFEMP2",1,1,100
"26","CIRBP_1600002K03RIK",2,2,100
"27","D8ERTD738E",1,1,100
"28","D8ERTD738E_MRI1",1,1,100
"29","DHX35",1,1,100
"30","DNAH2OS",1,1,100
"31","DOK3_DDX41",2,2,100
"32","DYNLT1A",1,1,100
"33","E330011O21RIK",1,1,100
"34","EGFL8",1,1,100
"35","ELMO2_SLC35C2",1,1,100
"36","ERF_GSK3A",1,1,100
"37","FAM43B_CDA",1,1,100
"38","FAM71E1",2,2,100
"39","GGN",1,1,100
"40","GM10353",2,2,100
"41","GM10418",1,1,100
"42","GM11613",2,2,100
"43","GM12522",1,1,100
"44","GM12841",1,1,100
"45","GM14403",3,3,100
"46","GM15246",2,2,100
"47","GM15537",1,1,100
"48","GM15956_RMC1",1,1,100
"49","GM16973_PSPC1",2,2,100
"50","GM17753",1,1,100
"51","GM18562",1,1,100
"52","GM20427",1,1,100
"53","GM20529_GMPPB",1,1,100
"54","GM28043",3,3,100
"55","GM30731",1,1,100
"56","GM32618",1,1,100
"57","GM37885",3,3,100
"58","GM41349",1,1,100
"59","GM42688",3,3,100
"60","GM42756",2,2,100
"61","GM43439",1,1,100
"62","GM45124_SYT3",1,1,100
"63","GM45441",1,1,100
"64","GM45552",4,4,100
"65","GM4631",1,1,100
"66","GM47079",1,1,100
"67","GM49320",1,1,100
"68","GM49328_GM49329",1,1,100
"69","GM49405",1,1,100
"70","GM49496",1,1,100
"71","GM9269",2,2,100
"72","GM9531_D430036J16RIK",1,1,100
"73","GM9962",1,1,100
"74","GPR52_RABGAP1L",1,1,100
"75","GSPT2",3,3,100
"76","H2-Q1",1,1,100
"77","HCFC2",1,1,100
"78","IFNAR1_A930006K02RIK",1,1,100
"79","IL20RA",1,1,100
"80","ITGAL",1,1,100
"81","ITGAV",1,1,100
"82","ITIH3",1,1,100
"83","KCND3OS",1,1,100
"84","KCNMB2",1,1,100
"85","KIF27",1,1,100
"86","LCA5L",1,1,100
"87","LRRC24_C030006K11RIK",1,1,100
"88","LRRC55",1,1,100
"89","LTK",1,1,100
"90","MAP3K9",1,1,100
"91","MASP2_SRM",1,1,100
"92","MBD6",3,3,100
"93","MBD6_GM4189",1,1,100
"94","METRN_FAM173A",1,1,100
"95","MGRN1_NUDT16L1",2,2,100
"96","MIAT",3,3,100
"97","MTCP1",1,1,100
"98","MYH1",1,1,100
"99","NAT8F1_NAT8F4",1,1,100
"100","NAT8F4",4,4,100
"101","NDOR1",1,1,100
"102","NDUFA13",1,1,100
"103","NOXO1",1,1,100
"104","NSFL1C",2,2,100
"105","NXF1",2,2,100
"106","OAZ2",3,3,100
"107","P2RX5",1,1,100
"108","PAF1",3,3,100
"109","PDZD7",1,1,100
"110","PIM2_OTUD5",2,2,100
"111","PISD-PS1",1,1,100
"112","PPME1",1,1,100
"113","PRRT2",2,2,100
"114","PRRT2_PAGR1B",2,2,100
"115","RECQL4",1,1,100
"116","RGP1",1,1,100
"117","RGS11",2,2,100
"118","RIPK1",1,1,100
"119","RWDD4A",1,1,100
"120","SCO1",1,1,100
"121","SELENOV",1,1,100
"122","SIDT1",2,2,100
"123","SLC22A7",1,1,100
"124","SLC44A4",1,1,100
"125","SLC8A1",1,1,100
"126","SNHG15",1,1,100
"127","SNRNP27_MXD1",1,1,100
"128","SPTSSA_EAPP",1,1,100
"129","SRCAP",2,2,100
"130","SSC4D_YWHAG",1,1,100
"131","STUB1_RHBDL1",2,2,100
"132","SYNE4_ALKBH6",1,1,100
"133","TASOR",3,3,100
"134","TEX9_GM27254",1,1,100
"135","TFR2",3,3,100
"136","TMEM269",1,1,100
"137","TNNT1",1,1,100
"138","TRABD_PANX2",1,1,100
"139","TRERF1",3,3,100
"140","TTLL3",1,1,100
"141","USP48",3,3,100
"142","XNDC1",2,2,100
"143","ZC3H12B",1,1,100
"144","ZFHX2OS_THTPA",1,1,100
"145","ZFP383",1,1,100
"146","ZFP512B",3,3,100
"147","ZFP558",1,1,100
"148","ZFP626",1,1,100
"149","ZFP853",1,1,100
"150","ZSWIM9",6,6,100
