"","associated_gene","IR_Transcripts","total_num_transcripts","perc_IR_trascripts"
"136","PPP1R16A",2,2,100
"137","PPP1R26",1,1,100
"138","PRPF31",1,1,100
"139","PRR4",1,1,100
"140","PSMB4",1,1,100
"141","PWRN1",1,1,100
"142","PXDN",3,3,100
"143","RABL2A",4,4,100
"144","RCCD1",3,3,100
"145","RING1",1,1,100
"146","ROBO3",3,3,100
"147","SCGB2B2_AC020910.5_SCGB1B2P",1,1,100
"148","SCML2",1,1,100
"149","SH3PXD2B",1,1,100
"150","SLC25A27",1,1,100
"151","SLC27A3",1,1,100
"152","SLC29A2",1,1,100
"153","SLC30A4",1,1,100
"154","SLC38A10",1,1,100
"155","SLC39A13",2,2,100
"156","SLC5A6",2,2,100
"157","SLC6A6",1,1,100
"158","SLC9A3-AS1",1,1,100
"159","SMG1",1,1,100
"160","SMUG1",1,1,100
"161","SPAG9",3,3,100
"162","STAG3L5P_PILRB_PILRA",1,1,100
"163","SUOX",1,1,100
"164","SUZ12P1",2,2,100
"165","TAMM41",1,1,100
"166","TAZ",6,6,100
"167","TEKT2",1,1,100
"168","TEX2",1,1,100
"169","TEX9",1,1,100
"170","TMC2",1,1,100
"171","TMEM143",1,1,100
"172","TRAPPC8",2,2,100
"173","TRIM16L",4,4,100
"174","TRIM74_STAG3L3",1,1,100
"175","TRIOBP",1,1,100
"176","TRIP12",1,1,100
"177","TRNT1_AC024060.1",1,1,100
"178","TSEN2",3,3,100
"179","TTC31",1,1,100
"180","TUBGCP6",2,2,100
"181","USE1",1,1,100
"182","VARS",1,1,100
"183","VASH2",2,2,100
"184","VCPKMT",1,1,100
"185","VPS50",1,1,100
"186","WASH2P",1,1,100
"187","WDR60",1,1,100
"188","WDR89",1,1,100
"189","YTHDC1",1,1,100
"190","ZNF23",1,1,100
"191","ZNF266",1,1,100
"192","ZNF446",2,2,100
"193","ZNF778",1,1,100
"194","ZNF836",1,1,100
"195","ZYX",3,3,100
