"","associated_gene","IR_Transcripts","total_num_transcripts","perc_IR_trascripts"
"1","AATK",1,1,100
"2","ABHD11",1,1,100
"3","AC005229.5_AC006974.2",1,1,100
"4","AC009126.1",1,1,100
"5","AC010327.6_PPP6R1",1,1,100
"6","AC011511.1",5,5,100
"7","AC026273.1",1,1,100
"8","AC026362.1",1,1,100
"9","AC044860.1",2,2,100
"10","AC093673.2_ZYX",1,1,100
"11","AC096537.1",1,1,100
"12","AC127024.2",1,1,100
"13","AC139768.1",1,1,100
"14","AC241952.1",1,1,100
"15","AC245060.4",1,1,100
"16","ADAMTS13",1,1,100
"17","AGAP4",1,1,100
"18","AHDC1",2,2,100
"19","AL157935.2",1,1,100
"20","AL590560.1",2,2,100
"21","AL603910.1_EEF1A1",1,1,100
"22","ANKRD39",1,1,100
"23","AP1G2",1,1,100
"24","AP2M1",11,11,100
"25","APBB3",1,1,100
"26","ARHGEF18",1,1,100
"27","ARID3B",1,1,100
"28","ARL16",1,1,100
"29","ARMCX5-GPRASP2",1,1,100
"30","ARRDC1",1,1,100
"31","ASTE1",1,1,100
"32","ATG2A",1,1,100
"33","ATG9B",1,1,100
"34","ATP2A2",1,1,100
"35","ATP6V1E2",1,1,100
"36","AZIN2",1,1,100
"37","B3GALNT2",1,1,100
"38","CABYR",1,1,100
"39","CALY",1,1,100
"40","CAPRIN2",1,1,100
"41","CARM1",1,1,100
"42","CBSL",1,1,100
"43","CCDC13_HIGD1A",1,1,100
"44","CCDC59",1,1,100
"45","CEACAM19",1,1,100
"46","CENPO",1,1,100
"47","CENPW",1,1,100
"48","CEP350",1,1,100
"49","CES4A",1,1,100
"50","CFAP410",1,1,100
"51","CHRNB2",1,1,100
"52","COMMD4",1,1,100
"53","CPLANE1",1,1,100
"54","CRYBB2P1",2,2,100
"55","CTNS",1,1,100
"56","CWC25",1,1,100
"57","D2HGDH",1,1,100
"58","DCAF4",2,2,100
"59","DGCR5",1,1,100
"60","DHRS1",1,1,100
"61","DHRS11",1,1,100
"62","DICER1-AS1",1,1,100
"63","DMTN",1,1,100
"64","DNAH14",1,1,100
"65","DNASE1L2_E4F1",1,1,100
"66","DUS1L",1,1,100
"67","E4F1",1,1,100
"68","EEF1D",1,1,100
"69","EMC9",1,1,100
"70","EPHB6",2,2,100
"71","ERI2",1,1,100
"72","ESF1",1,1,100
"73","FAHD2A",1,1,100
"74","FAM104B",1,1,100
"75","FBXL21P",1,1,100
"76","FBXL8_HSF4",1,1,100
"77","FOXM1",1,1,100
"78","FOXN2",1,1,100
"79","FRG1BP",1,1,100
"80","GBAP1",1,1,100
"81","GLA",2,2,100
"82","GNRH2_MRPS26",1,1,100
"83","GOLGA2P10",1,1,100
"84","GPAM",1,1,100
"85","HYI",3,3,100
"86","IFT43",1,1,100
"87","IFT80",1,1,100
"88","IQCC_CCDC28B",1,1,100
"89","KDM2B",5,5,100
"90","KHSRP",1,1,100
"91","LINC00869",1,1,100
"92","LINC01305",1,1,100
"93","LRCH4",2,2,100
"94","LRCH4_SAP25",1,1,100
"95","LRRTM4",1,1,100
"96","MAN2A2",2,2,100
"97","MAPK3",1,1,100
"98","MAPKBP1",1,1,100
"99","MEF2A",2,2,100
"100","METTL15",1,1,100
"101","METTL22",1,1,100
"102","MIPEPP3",2,2,100
"103","MITD1",1,1,100
"104","MRRF",1,1,100
"105","MTERF4",1,1,100
"106","MYEF2",3,3,100
"107","MZT2A",1,1,100
"108","NBR2",1,1,100
"109","NCLN",1,1,100
"110","NDUFAF8",1,1,100
"111","NOMO3",1,1,100
"112","NPIPA1",1,1,100
"113","NPIPA8",1,1,100
"114","NR4A1",1,1,100
"115","NSUN5P2",3,3,100
"116","NYNRIN",1,1,100
"117","OAZ2",1,1,100
"118","OFD1",1,1,100
"119","OGFOD2",1,1,100
"120","OSGEPL1",1,1,100
"121","PCGF1",1,1,100
"122","PCGF2",2,2,100
"123","PCNT",1,1,100
"124","PGP_BRICD5",1,1,100
"125","PIGF",1,1,100
"126","PIGL",1,1,100
"127","PIGV",1,1,100
"128","PIH1D1",1,1,100
"129","PLCB2",1,1,100
"130","PLCXD1",1,1,100
"131","PLEKHA1",1,1,100
"132","PLEKHG2",1,1,100
"133","POLR2A",1,1,100
"134","POLR2J",1,1,100
"135","POU2F2",1,1,100
