"","associated_gene","IR_Transcripts","total_num_transcripts","perc_IR_trascripts"
"145","RFPL1S_AC000035.1",1,1,100
"146","RMDN3",1,1,100
"147","RNF103-CHMP3",1,1,100
"148","RNF157-AS1",1,1,100
"149","RNF208",2,2,100
"150","RPS6KL1",2,2,100
"151","RPSAP19_OLFM3",1,1,100
"152","SATB1-AS1",1,1,100
"153","SCML2",2,2,100
"154","SH3PXD2B",1,1,100
"155","SHC4",1,1,100
"156","SLC25A45",1,1,100
"157","SLC29A2",2,2,100
"158","SLC30A4",1,1,100
"159","SPSB2",1,1,100
"160","SSH3",2,2,100
"161","STAG3L1",1,1,100
"162","STAG3L5P-PVRIG2P-PILRB",1,1,100
"163","SUOX_AC034102.1",1,1,100
"164","TEKT2",1,1,100
"165","TEX2",1,1,100
"166","TEX9",1,1,100
"167","TMC2",1,1,100
"168","TMEM191C",1,1,100
"169","TMEM220-AS1",1,1,100
"170","TNNT2",1,1,100
"171","TRAPPC8",2,2,100
"172","TRIM16L",4,4,100
"173","TRIM21",1,1,100
"174","TRIM74_STAG3L3",1,1,100
"175","TRNT1_AC024060.1",1,1,100
"176","TSEN2",4,4,100
"177","TSEN34",1,1,100
"178","USP51",1,1,100
"179","VARS",1,1,100
"180","VASH2",2,2,100
"181","VSIG10",1,1,100
"182","WASHC1",1,1,100
"183","WDR89",1,1,100
"184","WDR97",1,1,100
"185","WNT11",1,1,100
"186","ZBTB47",2,2,100
"187","ZFP14",1,1,100
"188","ZNF10",1,1,100
"189","ZNF142",1,1,100
"190","ZNF192P1",1,1,100
"191","ZNF266",2,2,100
"192","ZNF446",2,2,100
"193","ZNF778",1,1,100
"194","ZNF836",1,1,100
"195","ZNF852_ZNF445",1,1,100
"196","ZNRD2",1,1,100
"197","ZYX_AC093673.2",1,1,100
