"","associated_gene","IR_Transcripts","total_num_transcripts","perc_IR_trascripts"
"1","ABL2",1,1,100
"2","AC004967.1_OR7E38P",1,1,100
"3","AC005229.5_AC006974.2",1,1,100
"4","AC007066.2",1,1,100
"5","AC009065.5",1,1,100
"6","AC009126.1",1,1,100
"7","AC010327.6_PPP6R1",1,1,100
"8","AC010605.1",1,1,100
"9","AC011330.3",1,1,100
"10","AC011511.1",5,5,100
"11","AC019257.1",1,1,100
"12","AC020910.5_SCGB1B2P_SCGB2B2",1,1,100
"13","AC023593.1",1,1,100
"14","AC026362.1",1,1,100
"15","AC044860.1",3,3,100
"16","AC068587.4",1,1,100
"17","AC084125.4_MFSD3",1,1,100
"18","AC096537.1",1,1,100
"19","AC127024.2",1,1,100
"20","AC134772.1_CCDC51",1,1,100
"21","AC138776.1",1,1,100
"22","AC148477.7_AC148477.1",1,1,100
"23","AC233992.2_FBXL6",1,1,100
"24","AC245060.4",1,1,100
"25","ACAP2",1,1,100
"26","ACP6",2,2,100
"27","ADAMTS13",1,1,100
"28","AHDC1",3,3,100
"29","AL117348.2",1,1,100
"30","AL121845.3",4,4,100
"31","AL583722.4_TMEM179",1,1,100
"32","AL603910.1_EEF1A1",1,1,100
"33","AL807752.6",1,1,100
"34","ANKRD2",1,1,100
"35","APBB3",2,2,100
"36","APBB3_SRA1",1,1,100
"37","ARHGAP27P1-BPTFP1-KPNA2P3",1,1,100
"38","ARHGAP9",1,1,100
"39","ASIC3",1,1,100
"40","ASTE1",1,1,100
"41","ATP6V1E2",2,2,100
"42","BICDL1",1,1,100
"43","BRICD5_PGP",2,2,100
"44","CATSPER2_AC011330.1",1,1,100
"45","CBSL",2,2,100
"46","CCDC159",1,1,100
"47","CD247",1,1,100
"48","CD37",1,1,100
"49","CDIPTOSP",1,1,100
"50","CEACAM19",1,1,100
"51","CENPO",1,1,100
"52","CENPW",1,1,100
"53","CORO6",3,3,100
"54","CPLANE1",1,1,100
"55","CRAMP1",1,1,100
"56","CTIF",5,5,100
"57","CTNS",2,2,100
"58","CYP4Z1",1,1,100
"59","DGCR5",3,3,100
"60","DHRS11",1,1,100
"61","DICER1-AS1",1,1,100
"62","DNAH14",1,1,100
"63","DNAI1",1,1,100
"64","DNAJC4",1,1,100
"65","E4F1_DNASE1L2",1,1,100
"66","ECHDC2",1,1,100
"67","EDC4_NRN1L",1,1,100
"68","EIF1AD",1,1,100
"69","ERI2",1,1,100
"70","ERMARD",1,1,100
"71","ESF1",1,1,100
"72","FAM66C",1,1,100
"73","FAR2P3",3,3,100
"74","FBXL21P",1,1,100
"75","FDX2",2,2,100
"76","FNDC5",1,1,100
"77","FOXG1_LINC01551",1,1,100
"78","FOXM1",1,1,100
"79","FOXN2",2,2,100
"80","FUT1",1,1,100
"81","GBAP1",1,1,100
"82","GDF9",1,1,100
"83","GNLY",1,1,100
"84","GNRH2_MRPS26",1,1,100
"85","GOLGA2P10",1,1,100
"86","GOLGA8A",1,1,100
"87","GRB14",1,1,100
"88","GUSBP11",3,3,100
"89","HAUS7",1,1,100
"90","HIGD1A_CCDC13",1,1,100
"91","HPR",1,1,100
"92","HSF4",4,4,100
"93","HSF4_FBXL8",2,2,100
"94","IQCC_CCDC28B",1,1,100
"95","IQSEC3",2,2,100
"96","KDM2B",5,5,100
"97","KHSRP",1,1,100
"98","KIAA2012",1,1,100
"99","KRT17P6",1,1,100
"100","LCN12",1,1,100
"101","LENG8",1,1,100
"102","LINC01252",1,1,100
"103","LINC01305",1,1,100
"104","LINC01322",1,1,100
"105","LRCH4",3,3,100
"106","LRRC56",1,1,100
"107","MAP3K2-DT",1,1,100
"108","MAPK13",1,1,100
"109","MIPEPP3",2,2,100
"110","MITD1",2,2,100
"111","MRPL39",1,1,100
"112","MSTO2P",1,1,100
"113","MTMR9LP",1,1,100
"114","NBR2",1,1,100
"115","NCF1",1,1,100
"116","NME9",1,1,100
"117","NOXA1",6,6,100
"118","NPIPA1",3,3,100
"119","NPIPA8",1,1,100
"120","NRBP2_AC234917.1",1,1,100
"121","NSUN5P2",5,5,100
"122","NYNRIN",1,1,100
"123","OAZ2",1,1,100
"124","OR2T8",1,1,100
"125","PGP",1,1,100
"126","PIDD1",1,1,100
"127","PIGL",1,1,100
"128","PIK3CD",2,2,100
"129","PILRA_PILRB_STAG3L5P",1,1,100
"130","PLCB2",2,2,100
"131","PLCXD1",1,1,100
"132","PLEKHG2",1,1,100
"133","POLR2A",1,1,100
"134","POU2F2",1,1,100
"135","PROSER3",1,1,100
"136","PRPF31",2,2,100
"137","PRR4",1,1,100
"138","PSAP",2,2,100
"139","PTCH2",1,1,100
"140","PWRN1",1,1,100
"141","PXDN",3,3,100
"142","RAB6C-AS1",1,1,100
"143","REEP4",1,1,100
"144","RFC5",1,1,100
