"","Gene","Event","No_of_Events","Sample"
"6589","CCNY","AL",1,"Mouse"
"6590","CCNYL1","AF",1,"Mouse"
"6591","CCP110","AF",3,"Mouse"
"6592","CCPG1","AF",3,"Mouse"
"6593","CCPG1","AL",3,"Mouse"
"6594","CCR6","AF",1,"Mouse"
"6595","CCRL2","AF",2,"Mouse"
"6596","CCSER2","AF",2,"Mouse"
"6597","CCSER2","AL",1,"Mouse"
"6598","CCT2","AF",2,"Mouse"
"6599","CCT3","AF",1,"Mouse"
"6600","CCT4","AL",2,"Mouse"
"6601","CCT5","AF",2,"Mouse"
"6602","CCT6A","AF",1,"Mouse"
"6603","CCT6A","AL",1,"Mouse"
"6604","CCT7","AF",2,"Mouse"
"6605","CCT7","AL",1,"Mouse"
"6606","CCT8","AF",1,"Mouse"
"6607","CD151","AF",2,"Mouse"
"6608","CD164","AF",2,"Mouse"
"6609","CD164L2","AF",1,"Mouse"
"6610","CD200","AL",1,"Mouse"
"6611","CD2BP2","AF",2,"Mouse"
"6612","CD320","AF",1,"Mouse"
"6613","CD320","AL",1,"Mouse"
"6614","CD34","AF",1,"Mouse"
"6615","CD34","AL",1,"Mouse"
"6616","CD37","AF",1,"Mouse"
"6617","CD47","AF",5,"Mouse"
"6618","CD47","AL",2,"Mouse"
"6619","CD55","AL",1,"Mouse"
"6620","CD63","AF",2,"Mouse"
"6621","CD74","AF",1,"Mouse"
"6622","CD81","AF",1,"Mouse"
"6623","CD81","AL",1,"Mouse"
"6624","CD83","AF",1,"Mouse"
"6625","CDADC1","AF",1,"Mouse"
"6626","CDADC1","AL",8,"Mouse"
"6627","CDC123","AL",2,"Mouse"
"6628","CDC16","AL",1,"Mouse"
"6629","CDC23","AF",1,"Mouse"
"6630","CDC23","AL",2,"Mouse"
"6631","CDC26","AF",1,"Mouse"
"6632","CDC34","AF",1,"Mouse"
"6633","CDC37L1","AF",2,"Mouse"
"6634","CDC37L1","AL",5,"Mouse"
"6635","CDC40","AL",1,"Mouse"
"6636","CDC42","AL",3,"Mouse"
"6637","CDC42BPA","AF",5,"Mouse"
"6638","CDC42BPA","AL",2,"Mouse"
"6639","CDC42EP4","AF",2,"Mouse"
"6640","CDC42SE2","AF",1,"Mouse"
"6641","CDC42SE2","AL",1,"Mouse"
"6642","CDC7","AF",2,"Mouse"
"6643","CDCA4","AF",1,"Mouse"
"6644","CDH10","AF",2,"Mouse"
"6645","CDH10","AL",1,"Mouse"
"6646","CDH11","AF",1,"Mouse"
"6647","CDH13","AF",1,"Mouse"
"6648","CDH13","AL",1,"Mouse"
"6649","CDH18","AL",2,"Mouse"
"6650","CDH2","AL",1,"Mouse"
"6651","CDH6","AL",1,"Mouse"
"6652","CDH8","AL",4,"Mouse"
"6653","CDH9","AF",1,"Mouse"
"6654","CDH9","AL",1,"Mouse"
"6655","CDIP1","AF",3,"Mouse"
"6656","CDIP1","AL",1,"Mouse"
"6657","CDIPT","AF",2,"Mouse"
"6658","CDK12","AF",3,"Mouse"
"6659","CDK12","AL",2,"Mouse"
"6660","CDK14","AF",6,"Mouse"
"6661","CDK14","AL",1,"Mouse"
"6662","CDK16","AF",1,"Mouse"
"6663","CDK17","AF",7,"Mouse"
"6664","CDK18","AF",1,"Mouse"
"6665","CDK19","AF",1,"Mouse"
"6666","CDK19","AL",1,"Mouse"
"6667","CDK20","AF",2,"Mouse"
"6668","CDK2AP1","AF",2,"Mouse"
"6669","CDK2AP2","AF",1,"Mouse"
"6670","CDK4","AF",2,"Mouse"
"6671","CDK4","AL",1,"Mouse"
"6672","CDK5RAP1","AF",1,"Mouse"
"6673","CDK5RAP3","AF",1,"Mouse"
"6674","CDK8","AF",2,"Mouse"
"6675","CDK9","AF",2,"Mouse"
"6676","CDK9","AL",1,"Mouse"
"6677","CDKAL1","AF",1,"Mouse"
"6678","CDKL1","AF",2,"Mouse"
"6679","CDKL1","AL",1,"Mouse"
"6680","CDKL2","AF",1,"Mouse"
"6681","CDKL3","AF",1,"Mouse"
"6682","CDKL3","AL",2,"Mouse"
"6683","CDKL4","AF",1,"Mouse"
"6684","CDKN1B","AF",1,"Mouse"
"6685","CDKN1C","AF",3,"Mouse"
"6686","CDKN2C","AF",1,"Mouse"
"6687","CDS1","AF",1,"Mouse"
"6688","CDS2","AF",1,"Mouse"
"6689","CDS2","AL",1,"Mouse"
"6690","CDV3","AF",2,"Mouse"
"6691","CDV3","AL",3,"Mouse"
"6692","CEBPG","AF",1,"Mouse"
"6693","CEBPZOS","AF",1,"Mouse"
"6694","CEBPZOS","AL",1,"Mouse"
"6695","CELF1","AF",5,"Mouse"
"6696","CELF1","AL",1,"Mouse"
"6697","CELF2","AF",9,"Mouse"
"6698","CELF2","AL",2,"Mouse"
"6699","CELF3","AF",1,"Mouse"
"6700","CELF3","AL",1,"Mouse"
"6701","CELF4","AF",8,"Mouse"
"6702","CELF4","AL",1,"Mouse"
"6703","CELF5","AF",4,"Mouse"
"6704","CELF6","AF",4,"Mouse"
"6705","CELF6","AL",2,"Mouse"
"6706","CELRR","AF",1,"Mouse"
"6707","CELRR","AL",1,"Mouse"
"6708","CELSR1","AF",1,"Mouse"
"6709","CELSR1","AL",1,"Mouse"
"6710","CELSR2","AF",3,"Mouse"
"6711","CELSR2","AL",2,"Mouse"
"6712","CEND1","AF",1,"Mouse"
"6713","CEND1","AL",1,"Mouse"
"6714","CENPA","AF",1,"Mouse"
"6715","CENPA","AL",1,"Mouse"
"6716","CENPC1","AL",1,"Mouse"
"6717","CENPM","AF",1,"Mouse"
"6718","CENPX","AF",1,"Mouse"
"6719","CEP104","AF",2,"Mouse"
"6720","CEP104","AL",1,"Mouse"
"6721","CEP135","AF",1,"Mouse"
"6722","CEP170","AF",1,"Mouse"
"6723","CEP170B","AF",2,"Mouse"
"6724","CEP192","AL",1,"Mouse"
"6725","CEP290","AF",1,"Mouse"
"6726","CEP290","AL",1,"Mouse"
"6727","CEP295","AL",1,"Mouse"
"6728","CEP44","AF",1,"Mouse"
"6729","CEP57","AF",1,"Mouse"
"6730","CEP57L1","AL",1,"Mouse"
"6731","CEP63","AF",1,"Mouse"
"6732","CEP68","AL",2,"Mouse"
"6733","CEP70","AF",2,"Mouse"
"6734","CEP70","AL",1,"Mouse"
"6735","CEP83","AF",1,"Mouse"
"6736","CEP83","AL",2,"Mouse"
"6737","CEP83OS","AF",2,"Mouse"
"6738","CEP85","AF",2,"Mouse"
"6739","CEP89","AL",1,"Mouse"
"6740","CEP97","AL",1,"Mouse"
"6741","CEPT1","AF",2,"Mouse"
"6742","CERK","AF",3,"Mouse"
"6743","CERKL","AL",1,"Mouse"
"6744","CERS2","AF",5,"Mouse"
"6745","CERS2","AL",1,"Mouse"
"6746","CERS4","AF",3,"Mouse"
"6747","CERS4","AL",3,"Mouse"
"6748","CERS5","AF",1,"Mouse"
"6749","CERS5","AL",1,"Mouse"
"6750","CERS6","AF",3,"Mouse"
"6751","CERS6","AL",1,"Mouse"
"6752","CETN3","AF",1,"Mouse"
"6753","CETN3","AL",1,"Mouse"
"6754","CFAP20","AL",1,"Mouse"
"6755","CFAP298","AL",1,"Mouse"
"6756","CFAP300","AF",1,"Mouse"
"6757","CFAP36","AL",2,"Mouse"
"6758","CFAP45","AL",2,"Mouse"
"6759","CFAP97","AF",3,"Mouse"
"6760","CFAP97","AL",1,"Mouse"
"6761","CFL1","AF",1,"Mouse"
"6762","CFL1","AL",1,"Mouse"
"6763","CFL2","AF",1,"Mouse"
"6764","CFLAR","AF",3,"Mouse"
"6765","CFLAR","AL",3,"Mouse"
"6766","CGN","AF",1,"Mouse"
"6767","CGN","AL",1,"Mouse"
"6768","CGNL1","AF",1,"Mouse"
"6769","CGRRF1","AF",1,"Mouse"
"6770","CGRRF1","AL",1,"Mouse"
"6771","CHADL","AF",1,"Mouse"
"6772","CHADL","AL",1,"Mouse"
"6773","CHAF1A","AF",1,"Mouse"
"6774","CHCHD1","AF",1,"Mouse"
"6775","CHCHD1_FUT11","AF",1,"Mouse"
"6776","CHCHD10","AF",1,"Mouse"
"6777","CHCHD2","AL",1,"Mouse"
"6778","CHCHD3","AL",1,"Mouse"
"6779","CHCHD5","AF",1,"Mouse"
"6780","CHD2","AF",2,"Mouse"
"6781","CHD2","AL",1,"Mouse"
"6782","CHD3","AF",2,"Mouse"
"6783","CHD4","AF",3,"Mouse"
"6784","CHD4","AL",1,"Mouse"
"6785","CHD5","AF",4,"Mouse"
"6786","CHD5","AL",2,"Mouse"
"6787","CHD6","AF",1,"Mouse"
"6788","CHD6","AL",1,"Mouse"
"6789","CHD7","AF",3,"Mouse"
"6790","CHD7","AL",2,"Mouse"
"6791","CHD8","AF",3,"Mouse"
"6792","CHD9","AF",4,"Mouse"
"6793","CHD9","AL",3,"Mouse"
"6794","CHERP","AF",1,"Mouse"
"6795","CHFR","AF",3,"Mouse"
"6796","CHGB","AF",4,"Mouse"
"6797","CHGB","AL",1,"Mouse"
"6798","CHID1","AF",1,"Mouse"
"6799","CHIL1","AF",2,"Mouse"
"6800","CHKA","AF",2,"Mouse"
"6801","CHKA","AL",1,"Mouse"
"6802","CHKB","AF",1,"Mouse"
"6803","CHL1","AF",7,"Mouse"
"6804","CHL1","AL",2,"Mouse"
"6805","CHMP1A","AF",2,"Mouse"
"6806","CHMP2A","AF",2,"Mouse"
"6807","CHMP3","AF",4,"Mouse"
"6808","CHMP3","AL",2,"Mouse"
"6809","CHMP4B","AF",2,"Mouse"
"6810","CHMP4B","AL",2,"Mouse"
"6811","CHMP5","AF",1,"Mouse"
"6812","CHMP5","AL",1,"Mouse"
"6813","CHMP7","AF",1,"Mouse"
"6814","CHN1","AF",2,"Mouse"
"6815","CHN2","AF",1,"Mouse"
"6816","CHORDC1","AF",3,"Mouse"
"6817","CHORDC1","AL",1,"Mouse"
"6818","CHP1","AF",3,"Mouse"
"6819","CHPF2","AF",3,"Mouse"
"6820","CHPF2","AL",1,"Mouse"
"6821","CHPT1","AL",2,"Mouse"
"6822","CHRD","AF",6,"Mouse"
"6823","CHRD","AL",1,"Mouse"
"6824","CHRDL1","AL",1,"Mouse"
"6825","CHRM1","AF",2,"Mouse"
"6826","CHRM1","AL",1,"Mouse"
"6827","CHRM2","AF",1,"Mouse"
"6828","CHRM2","AL",1,"Mouse"
"6829","CHRM3","AL",1,"Mouse"
"6830","CHRM4","AF",1,"Mouse"
"6831","CHRNA4","AF",1,"Mouse"
"6832","CHST1","AF",3,"Mouse"
"6833","CHST1","AL",1,"Mouse"
"6834","CHST10","AF",1,"Mouse"
"6835","CHST15","AF",2,"Mouse"
"6836","CHST8","AF",1,"Mouse"
"6837","CHST9","AL",1,"Mouse"
"6838","CHTOP","AL",1,"Mouse"
"6839","CHUK","AF",1,"Mouse"
"6840","CHURC1","AF",3,"Mouse"
"6841","CHURC1","AL",1,"Mouse"
"6842","CIAO1","AF",1,"Mouse"
"6843","CIAO2B","AL",1,"Mouse"
"6844","CIAPIN1","AF",2,"Mouse"
"6845","CIAPIN1","AL",1,"Mouse"
"6846","CIART","AF",3,"Mouse"
"6847","CIART","AL",2,"Mouse"
"6848","CIC","AF",4,"Mouse"
"6849","CINP","AL",4,"Mouse"
"6850","CIPC","AF",5,"Mouse"
"6851","CIR1","AF",1,"Mouse"
"6852","CIRBP","AF",1,"Mouse"
"6853","CIRBP","AL",1,"Mouse"
"6854","CISD2","AF",1,"Mouse"
"6855","CISD2","AL",1,"Mouse"
"6856","CIT","AF",3,"Mouse"
"6857","CIT","AL",2,"Mouse"
"6858","CITED2","AF",1,"Mouse"
"6859","CITED2","AL",1,"Mouse"
"6860","CIZ1","AF",6,"Mouse"
"6861","CKAP5","AF",3,"Mouse"
"6862","CKAP5","AL",1,"Mouse"
"6863","CKB","AF",5,"Mouse"
"6864","CKB","AL",1,"Mouse"
"6865","CKLF","AF",1,"Mouse"
"6866","CKMT1","AF",2,"Mouse"
"6867","CLASP1","AF",4,"Mouse"
"6868","CLASP2","AF",7,"Mouse"
"6869","CLASP2","AL",4,"Mouse"
"6870","CLBA1","AF",1,"Mouse"
"6871","CLCN2","AF",1,"Mouse"
"6872","CLCN2","AL",1,"Mouse"
"6873","CLCN3","AF",2,"Mouse"
"6874","CLCN3","AL",1,"Mouse"
"6875","CLCN4","AF",6,"Mouse"
"6876","CLCN6","AF",2,"Mouse"
"6877","CLCN7","AF",1,"Mouse"
"6878","CLDN10","AF",4,"Mouse"
"6879","CLDN10","AL",1,"Mouse"
"6880","CLDN12","AF",2,"Mouse"
"6881","CLDND1","AF",3,"Mouse"
"6882","CLDND1","AL",1,"Mouse"
"6883","CLEC11A","AF",2,"Mouse"
"6884","CLEC16A","AF",1,"Mouse"
"6885","CLEC16A","AL",1,"Mouse"
"6886","CLIC4","AL",1,"Mouse"
"6887","CLINT1","AF",1,"Mouse"
"6888","CLIP1","AL",3,"Mouse"
"6889","CLIP2","AF",2,"Mouse"
"6890","CLIP2","AL",1,"Mouse"
"6891","CLIP3","AF",4,"Mouse"
"6892","CLIP4","AF",6,"Mouse"
"6893","CLIP4","AL",2,"Mouse"
"6894","CLK2","AL",1,"Mouse"
"6895","CLK3","AF",4,"Mouse"
"6896","CLK3","AL",1,"Mouse"
"6897","CLK4","AF",3,"Mouse"
"6898","CLMN","AF",1,"Mouse"
"6899","CLMN","AL",1,"Mouse"
"6900","CLN3","AF",1,"Mouse"
"6901","CLN6","AF",1,"Mouse"
"6902","CLN8","AF",1,"Mouse"
"6903","CLN8","AL",1,"Mouse"
"6904","CLNS1A","AF",1,"Mouse"
"6905","CLNS1A","AL",1,"Mouse"
"6906","CLOCK","AF",1,"Mouse"
"6907","CLOCK","AL",1,"Mouse"
"6908","CLPB","AF",1,"Mouse"
"6909","CLPB","AL",3,"Mouse"
"6910","CLPP","AF",2,"Mouse"
"6911","CLPP","AL",2,"Mouse"
"6912","CLPTM1","AF",1,"Mouse"
"6913","CLPX","AF",1,"Mouse"
"6914","CLPX","AL",1,"Mouse"
"6915","CLSTN1","AF",5,"Mouse"
"6916","CLSTN3","AL",2,"Mouse"
"6917","CLTA","AF",2,"Mouse"
"6918","CLTA","AL",2,"Mouse"
"6919","CLTB","AL",2,"Mouse"
"6920","CLU","AF",7,"Mouse"
"6921","CLUAP1","AF",3,"Mouse"
"6922","CLUH","AF",4,"Mouse"
"6923","CLVS1","AF",3,"Mouse"
"6924","CLVS2","AF",1,"Mouse"
"6925","CLYBL","AF",1,"Mouse"
"6926","CLYBL","AL",1,"Mouse"
"6927","CMAS","AF",3,"Mouse"
"6928","CMAS","AL",1,"Mouse"
"6929","CMBL","AF",2,"Mouse"
"6930","CMC4","AF",1,"Mouse"
"6931","CMIP","AF",3,"Mouse"
"6932","CMPK2","AF",2,"Mouse"
"6933","CMSS1","AF",1,"Mouse"
"6934","CMSS1","AL",1,"Mouse"
"6935","CMTM5","AF",2,"Mouse"
"6936","CMTM6","AF",1,"Mouse"
"6937","CMTM8","AL",1,"Mouse"
"6938","CMTR1","AL",1,"Mouse"
"6939","CMYA5","AF",1,"Mouse"
"6940","CNBD2","AF",1,"Mouse"
"6941","CNBP","AF",1,"Mouse"
"6942","CNDP2","AF",2,"Mouse"
"6943","CNEP1R1","AL",2,"Mouse"
"6944","CNIH2","AF",1,"Mouse"
"6945","CNIH2","AL",2,"Mouse"
"6946","CNIH3","AF",3,"Mouse"
"6947","CNIH3","AL",3,"Mouse"
"6948","CNIH4","AF",1,"Mouse"
"6949","CNKSR2","AF",1,"Mouse"
"6950","CNKSR2","AL",1,"Mouse"
"6951","CNNM1","AF",2,"Mouse"
"6952","CNNM1","AL",3,"Mouse"
"6953","CNNM3","AF",1,"Mouse"
"6954","CNOT1","AF",1,"Mouse"
"6955","CNOT2","AF",1,"Mouse"
"6956","CNOT3","AL",2,"Mouse"
"6957","CNOT4","AL",1,"Mouse"
"6958","CNOT6","AL",1,"Mouse"
"6959","CNOT6L","AF",3,"Mouse"
"6960","CNOT6L","AL",1,"Mouse"
"6961","CNOT8","AF",3,"Mouse"
"6962","CNOT8","AL",1,"Mouse"
"6963","CNP","AF",1,"Mouse"
"6964","CNP","AL",1,"Mouse"
"6965","CNPPD1","AF",4,"Mouse"
"6966","CNPY2","AF",1,"Mouse"
"6967","CNPY2","AL",1,"Mouse"
"6968","CNPY3","AL",1,"Mouse"
"6969","CNR1","AF",5,"Mouse"
"6970","CNR1","AL",1,"Mouse"
"6971","CNTFR","AF",4,"Mouse"
"6972","CNTN1","AF",6,"Mouse"
"6973","CNTN1","AL",2,"Mouse"
"6974","CNTN3","AF",1,"Mouse"
"6975","CNTN4","AF",2,"Mouse"
"6976","CNTN4","AL",1,"Mouse"
"6977","CNTNAP1","AF",1,"Mouse"
"6978","CNTNAP1","AL",1,"Mouse"
"6979","CNTNAP2","AF",1,"Mouse"
"6980","CNTNAP3","AL",2,"Mouse"
"6981","CNTNAP4","AF",1,"Mouse"
"6982","CNTNAP4","AL",1,"Mouse"
"6983","COA5","AF",1,"Mouse"
"6984","COASY","AF",2,"Mouse"
"6985","COBL","AF",1,"Mouse"
"6986","COBL","AL",2,"Mouse"
"6987","COBLL1","AF",2,"Mouse"
"6988","COG1","AF",1,"Mouse"
"6989","COG1","AL",1,"Mouse"
"6990","COG2","AF",2,"Mouse"
"6991","COG2","AL",1,"Mouse"
"6992","COG4","AF",3,"Mouse"
"6993","COG5","AF",1,"Mouse"
"6994","COG5","AL",1,"Mouse"
"6995","COG7","AF",1,"Mouse"
"6996","COG8","AL",1,"Mouse"
"6997","COL11A2","AF",2,"Mouse"
"6998","COL16A1","AF",2,"Mouse"
"6999","COL18A1","AF",1,"Mouse"
"7000","COL23A1","AL",1,"Mouse"
"7001","COL25A1","AF",1,"Mouse"
"7002","COL25A1","AL",1,"Mouse"
"7003","COL4A3BP","AF",1,"Mouse"
"7004","COL4A3BP","AL",2,"Mouse"
"7005","COL5A1","AF",1,"Mouse"
"7006","COL5A1","AL",1,"Mouse"
"7007","COL9A2","AF",2,"Mouse"
"7008","COLGALT1","AF",1,"Mouse"
"7009","COMMD1","AF",1,"Mouse"
"7010","COMMD10","AL",1,"Mouse"
"7011","COMMD3","AF",2,"Mouse"
"7012","COMMD4","AF",2,"Mouse"
"7013","COMMD5","AL",1,"Mouse"
"7014","COMMD6","AF",1,"Mouse"
"7015","COMMD6","AL",1,"Mouse"
"7016","COMMD8","AF",2,"Mouse"
"7017","COMT","AF",1,"Mouse"
"7018","COMT","AL",2,"Mouse"
"7019","COMTD1","AL",1,"Mouse"
"7020","COPA","AF",4,"Mouse"
"7021","COPA","AL",1,"Mouse"
"7022","COPE","AF",3,"Mouse"
"7023","COPE","AL",1,"Mouse"
"7024","COPG1","AF",2,"Mouse"
"7025","COPG1","AL",4,"Mouse"
"7026","COPG2","AF",3,"Mouse"
"7027","COPG2","AL",1,"Mouse"
"7028","COPRS","AL",1,"Mouse"
"7029","COPS4","AF",3,"Mouse"
"7030","COPS4","AL",1,"Mouse"
"7031","COPS5","AF",1,"Mouse"
"7032","COPS6","AF",1,"Mouse"
"7033","COPS6","AL",2,"Mouse"
"7034","COPS7A","AF",3,"Mouse"
"7035","COPS7A","AL",2,"Mouse"
"7036","COPS7B","AL",1,"Mouse"
"7037","COPS8","AF",2,"Mouse"
"7038","COPS8","AL",1,"Mouse"
"7039","COPS9","AF",1,"Mouse"
"7040","COQ10A","AF",2,"Mouse"
"7041","COQ10B","AF",1,"Mouse"
"7042","COQ10B","AL",1,"Mouse"
"7043","COQ2","AF",1,"Mouse"
"7044","COQ4","AF",2,"Mouse"
"7045","COQ4","AL",1,"Mouse"
"7046","COQ6","AF",1,"Mouse"
"7047","COQ7","AF",1,"Mouse"
"7048","COQ8B","AF",1,"Mouse"
"7049","CORO1A","AF",3,"Mouse"
"7050","CORO1A","AL",1,"Mouse"
"7051","CORO1C","AF",2,"Mouse"
"7052","CORO2B","AF",1,"Mouse"
"7053","CORO6","AF",2,"Mouse"
"7054","CORO7","AL",1,"Mouse"
"7055","COX10","AF",1,"Mouse"
"7056","COX14","AF",1,"Mouse"
"7057","COX14","AL",1,"Mouse"
"7058","COX15","AF",1,"Mouse"
"7059","COX16","AL",1,"Mouse"
"7060","COX17","AF",1,"Mouse"
"7061","COX19","AL",1,"Mouse"
"7062","COX4I1","AF",1,"Mouse"
"7063","COX4I2","AF",1,"Mouse"
"7064","COX5B","AF",2,"Mouse"
"7065","COX5B","AL",1,"Mouse"
"7066","COX6A1","AF",1,"Mouse"
"7067","COX6B1","AF",1,"Mouse"
"7068","COX6B2","AL",1,"Mouse"
"7069","COX6C","AF",3,"Mouse"
"7070","COX7A2L","AF",2,"Mouse"
"7071","COX7A2L","AL",1,"Mouse"
"7072","COX7B","AL",1,"Mouse"
"7073","COX7C","AF",1,"Mouse"
"7074","COX7C","AL",1,"Mouse"
"7075","COX8A","AF",1,"Mouse"
"7076","CP","AF",1,"Mouse"
"7077","CP","AL",2,"Mouse"
"7078","CPE","AF",5,"Mouse"
"7079","CPEB1","AF",5,"Mouse"
"7080","CPEB1","AL",1,"Mouse"
"7081","CPEB2","AF",1,"Mouse"
"7082","CPEB3","AF",6,"Mouse"
"7083","CPEB4","AF",1,"Mouse"
"7084","CPLX1","AF",1,"Mouse"
"7085","CPLX1","AL",1,"Mouse"
"7086","CPLX2","AF",2,"Mouse"
"7087","CPNE4","AF",1,"Mouse"
"7088","CPNE4","AL",1,"Mouse"
"7089","CPNE5","AF",1,"Mouse"
"7090","CPNE6","AF",2,"Mouse"
"7091","CPNE7","AF",5,"Mouse"
"7092","CPNE7","AL",1,"Mouse"
"7093","CPNE8","AL",2,"Mouse"
"7094","CPPED1","AF",2,"Mouse"
"7095","CPPED1","AL",1,"Mouse"
"7096","CPQ","AF",1,"Mouse"
"7097","CPQ","AL",1,"Mouse"
"7098","CPSF1","AF",2,"Mouse"
"7099","CPSF1","AL",1,"Mouse"
"7100","CPSF3","AF",1,"Mouse"
"7101","CPSF3","AL",1,"Mouse"
"7102","CPSF6","AL",1,"Mouse"
"7103","CPSF7","AF",4,"Mouse"
"7104","CPSF7","AL",2,"Mouse"
"7105","CPT1C","AL",1,"Mouse"
"7106","CPTP","AL",1,"Mouse"
"7107","CR1L","AF",2,"Mouse"
"7108","CR1L","AL",1,"Mouse"
"7109","CRABP2","AF",1,"Mouse"
"7110","CRACR2B","AF",1,"Mouse"
"7111","CRADD","AF",1,"Mouse"
"7112","CRAT","AF",2,"Mouse"
"7113","CRBN","AL",2,"Mouse"
"7114","CRCP","AF",2,"Mouse"
"7115","CRCP","AL",1,"Mouse"
"7116","CREB3","AL",1,"Mouse"
"7117","CREB3L1","AF",1,"Mouse"
"7118","CREB5","AL",1,"Mouse"
"7119","CREBBP","AF",2,"Mouse"
"7120","CREBBP","AL",1,"Mouse"
"7121","CREBL2","AF",1,"Mouse"
"7122","CREBRF","AF",2,"Mouse"
"7123","CREBRF","AL",1,"Mouse"
"7124","CREBZF","AF",2,"Mouse"
"7125","CREBZF","AL",1,"Mouse"
"7126","CREG1","AL",1,"Mouse"
"7127","CRELD1","AF",1,"Mouse"
"7128","CREM","AF",1,"Mouse"
"7129","CRHBP","AF",2,"Mouse"
"7130","CRHR1","AF",2,"Mouse"
"7131","CRIM1","AF",1,"Mouse"
"7132","CRIM1","AL",1,"Mouse"
"7133","CRIP2","AF",2,"Mouse"
"7134","CRIPT","AF",2,"Mouse"
"7135","CRIPT","AL",2,"Mouse"
"7136","CRK","AF",1,"Mouse"
"7137","CRK","AL",1,"Mouse"
"7138","CRKL","AF",1,"Mouse"
"7139","CRLF2","AF",3,"Mouse"
"7140","CRLF3","AL",1,"Mouse"
"7141","CRMP1","AF",1,"Mouse"
"7142","CROCC","AF",2,"Mouse"
"7143","CROT","AF",1,"Mouse"
"7144","CROT","AL",2,"Mouse"
"7145","CRPPA","AF",1,"Mouse"
"7146","CRPPA","AL",1,"Mouse"
"7147","CRTAC1","AF",1,"Mouse"
"7148","CRTAC1","AL",5,"Mouse"
"7149","CRTC1","AF",1,"Mouse"
"7150","CRTC1","AL",1,"Mouse"
"7151","CRTC2","AF",1,"Mouse"
"7152","CRTC3","AL",1,"Mouse"
"7153","CRY2","AF",2,"Mouse"
"7154","CRYAB","AF",3,"Mouse"
"7155","CRYM","AF",1,"Mouse"
"7156","CRYZ","AF",1,"Mouse"
"7157","CRYZL1","AL",3,"Mouse"
"7158","CRYZL1_DONSON","AL",1,"Mouse"
"7159","CS","AF",1,"Mouse"
"7160","CSAD","AF",4,"Mouse"
"7161","CSDC2","AF",4,"Mouse"
"7162","CSDE1","AF",2,"Mouse"
"7163","CSDE1","AL",2,"Mouse"
"7164","CSE1L","AL",1,"Mouse"
"7165","CSF1","AF",1,"Mouse"
"7166","CSF1","AL",1,"Mouse"
"7167","CSF1R","AF",1,"Mouse"
"7168","CSF2RA","AF",3,"Mouse"
"7169","CSF2RA","AL",3,"Mouse"
"7170","CSF3R","AF",1,"Mouse"
"7171","CSGALNACT1","AF",1,"Mouse"
"7172","CSGALNACT2","AF",1,"Mouse"
"7173","CSMD1","AF",3,"Mouse"
"7174","CSMD1","AL",1,"Mouse"
"7175","CSMD2","AF",1,"Mouse"
"7176","CSMD2","AL",1,"Mouse"
"7177","CSMD3","AF",2,"Mouse"
"7178","CSMD3","AL",1,"Mouse"
"7179","CSNK1A1","AF",4,"Mouse"
"7180","CSNK1A1","AL",5,"Mouse"
"7181","CSNK1D","AF",1,"Mouse"
"7182","CSNK1D","AL",2,"Mouse"
"7183","CSNK1E","AF",4,"Mouse"
"7184","CSNK1E","AL",2,"Mouse"
"7185","CSNK1G1","AF",3,"Mouse"
"7186","CSNK1G1","AL",1,"Mouse"
"7187","CSNK1G2","AF",1,"Mouse"
"7188","CSNK1G3","AF",1,"Mouse"
"7189","CSNK1G3","AL",1,"Mouse"
"7190","CSNK2A2","AF",1,"Mouse"
"7191","CSNK2A2","AL",1,"Mouse"
"7192","CSNK2B","AF",3,"Mouse"
"7193","CSPG4","AF",1,"Mouse"
"7194","CSPG4","AL",1,"Mouse"
"7195","CSPG5","AF",4,"Mouse"
"7196","CSPG5","AL",3,"Mouse"
"7197","CSPP1","AF",3,"Mouse"
"7198","CSPP1","AL",3,"Mouse"
"7199","CSRNP3","AF",2,"Mouse"
"7200","CSRNP3","AL",1,"Mouse"
"7201","CSRP1","AF",1,"Mouse"
"7202","CST3","AF",1,"Mouse"
"7203","CST3","AL",2,"Mouse"
"7204","CSTF1","AF",2,"Mouse"
"7205","CSTF2","AF",3,"Mouse"
"7206","CSTF2","AL",1,"Mouse"
"7207","CSTF3","AF",1,"Mouse"
"7208","CSTF3","AL",2,"Mouse"
"7209","CT010433.1","AF",1,"Mouse"
"7210","CT010433.1","AL",1,"Mouse"
"7211","CTBP1","AF",2,"Mouse"
"7212","CTBP1","AL",1,"Mouse"
"7213","CTBP2","AF",3,"Mouse"
"7214","CTC1","AF",4,"Mouse"
"7215","CTDSP1","AF",2,"Mouse"
"7216","CTDSP1","AL",1,"Mouse"
"7217","CTDSP2","AF",2,"Mouse"
"7218","CTDSPL","AF",2,"Mouse"
"7219","CTDSPL2","AL",1,"Mouse"
"7220","CTF1","AF",1,"Mouse"
"7221","CTNNA1","AF",5,"Mouse"
"7222","CTNNA1","AL",1,"Mouse"
"7223","CTNNA2","AF",2,"Mouse"
"7224","CTNNA2","AL",1,"Mouse"
"7225","CTNNAL1","AF",1,"Mouse"
"7226","CTNNB1","AF",2,"Mouse"
"7227","CTNNBIP1","AF",2,"Mouse"
"7228","CTNNBIP1","AL",1,"Mouse"
"7229","CTNNBL1","AL",1,"Mouse"
"7230","CTNND2","AF",6,"Mouse"
"7231","CTNND2","AL",1,"Mouse"
"7232","CTPS","AF",2,"Mouse"
