"","Gene","Event","No_of_Events","Sample"
"47","4930430F08Rik","SE",1,"Mouse"
"48","4930447M23Rik","SE",1,"Mouse"
"49","4930480K23Rik","SE",1,"Mouse"
"50","4930539E08Rik","SE",1,"Mouse"
"51","4931428F04Rik","SE",1,"Mouse"
"52","4931440J10Rik","SE",1,"Mouse"
"53","4933404O12Rik","SE",1,"Mouse"
"54","4933427D14Rik","SE",1,"Mouse"
"55","4933431E20Rik","MX",4,"Mouse"
"56","4933431E20Rik","SE",10,"Mouse"
"57","4933434E20Rik","MX",1,"Mouse"
"58","4933434E20Rik","SE",3,"Mouse"
"59","5330434G04Rik","SE",1,"Mouse"
"60","5530601H04Rik","SE",1,"Mouse"
"61","5730480H06Rik","SE",2,"Mouse"
"62","6030458C11Rik","SE",1,"Mouse"
"63","6430548M08Rik","SE",1,"Mouse"
"64","8030453O22Rik","MX",1,"Mouse"
"65","8030453O22Rik","SE",1,"Mouse"
"66","8030462N17Rik","SE",1,"Mouse"
"67","9030407P20Rik","SE",1,"Mouse"
"68","9130024F11Rik","MX",1,"Mouse"
"69","9130221H12Rik","SE",1,"Mouse"
"70","9130401M01Rik","SE",1,"Mouse"
"71","9330179D12Rik","SE",2,"Mouse"
"72","9330182L06Rik","SE",1,"Mouse"
"73","9430015G10Rik","SE",1,"Mouse"
"74","9430038I01Rik","SE",1,"Mouse"
"75","9530077C05Rik","SE",1,"Mouse"
"76","9930021J03Rik","SE",1,"Mouse"
"77","A230050P20Rik","SE",1,"Mouse"
"78","A230072C01Rik","SE",1,"Mouse"
"79","A230083G16Rik","SE",1,"Mouse"
"80","A330076H08Rik","SE",1,"Mouse"
"81","A430046D13Rik","SE",1,"Mouse"
"82","A730056A06Rik","SE",1,"Mouse"
"83","A830018L16Rik","SE",1,"Mouse"
"84","A930005H10Rik","SE",1,"Mouse"
"85","A930017M01Rik","SE",3,"Mouse"
"86","Aaas","SE",1,"Mouse"
"87","Aak1","SE",2,"Mouse"
"88","Aamdc","MX",2,"Mouse"
"89","Aamdc","SE",6,"Mouse"
"90","Aar2","SE",2,"Mouse"
"91","Aasdh","SE",2,"Mouse"
"92","Aasdhppt","SE",1,"Mouse"
"93","Aass","SE",1,"Mouse"
"94","Aatf","SE",1,"Mouse"
"95","Aatk","SE",1,"Mouse"
"96","Abat","SE",1,"Mouse"
"97","Abca3","SE",1,"Mouse"
"98","Abca8b","SE",1,"Mouse"
"99","Abcb1b","SE",1,"Mouse"
"100","Abcc8","SE",2,"Mouse"
"101","Abcf1","SE",2,"Mouse"
"102","Abcg2","SE",1,"Mouse"
"103","Abhd1","SE",1,"Mouse"
"104","Abhd10","SE",1,"Mouse"
"105","Abhd12","MX",3,"Mouse"
"106","Abhd12","SE",5,"Mouse"
