,associated_gene,Adult,Fetal,Adult_TPM,Fetal_TPM,diff
485,CTIF,1.55630250076729,1.66275783168157,36,46,10
486,CTNNBIP1,NA,2.40140054078154,NA,252,NA
487,CTNND1,NA,2.07188200730613,NA,118,NA
488,CTNND2,1.43136376415899,1.49136169383427,27,31,3.99999999999999
489,CTNS,NA,1,NA,10,NA
490,CTSB,2.15533603746506,NA,143,NA,NA
491,CTSF,2.7427251313047,2.51719589794997,553,329,224
492,CTTN,1.92427928606188,NA,84,NA,NA
493,CTU2,NA,1.7481880270062,NA,56,NA
494,CUEDC1,1.5910646070265,NA,39,NA,NA
495,CUEDC2,NA,2.14301480025409,NA,139,NA
496,CUL2,1.70757017609794,1.88649072517248,51,77,26
497,CWC15,NA,1.49136169383427,NA,31,NA
498,CWC25,NA,1.17609125905568,NA,15,NA
499,CXXC1,1.8750612633917,2.27875360095283,75,190,115
500,CYB5R3,2.94987770403687,2.88649072517248,891,770,121
501,CYFIP2,NA,1.7481880270062,NA,56,NA
502,CYP51A1,NA,2.70586371228392,NA,508,NA
503,CZIB,1.75587485567249,1.49136169383427,57,31,26
504,D2HGDH,NA,1,NA,10,NA
505,DALRD3,1.68124123737559,1.66275783168157,48,46,1.99999999999999
506,DAZAP1,NA,1.96378782734556,NA,92,NA
507,DAZAP2,NA,1.88649072517248,NA,77,NA
508,DBI,NA,1.88649072517248,NA,77,NA
509,DBN1,2.03342375548695,2.62940959910272,108,426,318
510,DBNL,NA,2.4814426285023,NA,303,NA
511,DCAF15,1.77815125038364,2.05307844348342,60,113,53.0000000000001
512,DCAF4,1.32221929473392,1.32221929473392,21,21,0
513,DCAF8,1.89209460269048,NA,78,NA,NA
514,DCTD,NA,2.03342375548695,NA,108,NA
515,DCTN1,2.77232170672292,NA,592,NA,NA
516,DCTN3,2.17318626841227,NA,149,NA,NA
517,DCTN4,NA,2.05307844348342,NA,113,NA
518,DCX,NA,2.68394713075151,NA,483,NA
519,DCXR,2.22271647114758,NA,167,NA,NA
520,DDRGK1,2.02118929906994,1.7481880270062,105,56,49
521,DDX1,NA,2.82412583391655,NA,667,NA
522,DDX20,NA,1.49136169383427,NA,31,NA
523,DDX27,NA,1.93951925261862,NA,87,NA
524,DDX39A,1.68124123737559,2.20139712432045,48,159,111
525,DDX3Y,1.55630250076729,NA,36,NA,NA
526,DDX41,2.25285303097989,2.30102999566398,179,200,21
527,DDX42,NA,1.79239168949825,NA,62,NA
528,DDX47,2.13672056715641,1.85733249643127,137,72,65
529,DDX5,2.49276038902684,2.78247262416629,311,606,295
530,DDX50,1.79934054945358,NA,63,NA,NA
531,DDX55,1.32221929473392,NA,21,NA,NA
532,DDX56,1.17609125905568,NA,15,NA,NA
533,DEAF1,2.73559889969818,NA,544,NA,NA
534,DEF8,NA,2.14301480025409,NA,139,NA
535,DEGS1,1.89209460269048,NA,78,NA,NA
536,DEK,1.83884909073726,NA,69,NA,NA
537,DELE1,1.51851393987789,1.55630250076729,33,36,3
538,DENND6B,2.03342375548695,NA,108,NA,NA
539,DERA,NA,1.66275783168157,NA,46,NA
540,DGCR2,NA,2.40993312333129,NA,257,NA
541,DGCR5,1.73239375982297,1.32221929473392,54,21,33
542,DGCR6,1.07918124604762,NA,12,NA,NA
543,DGCR6L,2.35024801833416,NA,224,NA,NA
544,DGCR8,NA,1.7481880270062,NA,56,NA
545,DGKQ,1.38021124171161,NA,24,NA,NA
546,DGKZ,3.01828430842653,NA,1043,NA,NA
547,DHCR7,2.02118929906994,NA,105,NA,NA
548,DHPS,2.15533603746506,2.39093510710338,143,246,103
549,DHRS1,NA,1,NA,10,NA
550,DHRS11,NA,1,NA,10,NA
551,DHRS12,1.32221929473392,NA,21,NA,NA
552,DHX15,NA,2.5092025223311,NA,323,NA
553,DHX30,2.28103336724773,2.46686762035411,191,293,102
554,DHX34,NA,1.32221929473392,NA,21,NA
555,DHX38,NA,1.66275783168157,NA,46,NA
556,DICER1-AS1,NA,1.41497334797082,NA,26,NA
557,DIP2A,1.38021124171161,NA,24,NA,NA
558,DIPK1B,1.75587485567249,1.61278385671974,57,41,16
559,DISP3,NA,1.66275783168157,NA,46,NA
560,DLD,NA,2.42651126136458,NA,267,NA
561,DLGAP4,1.79934054945358,2.70156798505593,63,503,440
562,DMAC2,1.70757017609794,NA,51,NA,NA
563,DMAC2L,NA,1.41497334797082,NA,26,NA
564,DMAP1,NA,2.03342375548695,NA,108,NA
565,DMPK,1.8750612633917,NA,75,NA,NA
566,DMTN,1.38021124171161,1,24,10,14
567,DMXL1,1.17609125905568,NA,15,NA,NA
568,DNAH14,NA,1,NA,10,NA
569,DNAI1,0.778151250383644,NA,6,NA,NA
570,DNAJB2,2.26007138798507,2.45024910831936,182,282,99.9999999999999
571,DNAJC10,1.38021124171161,1.49136169383427,24,31,7
572,DNAJC14,1.65321251377534,2.0899051114394,45,123,78
573,DNAJC4,0.954242509439325,NA,9,NA,NA
574,DNAJC8,NA,1.99122607569249,NA,98,NA
575,DNASE1L2_E4F1,NA,1,NA,10,NA
576,DNM1,3.42488163663107,NA,2660,NA,NA
577,DOC2A,2.41995574848976,NA,263,NA,NA
578,DOCK4,NA,1.55630250076729,NA,36,NA
579,DOCK9,NA,1.61278385671974,NA,41,NA
580,DOK4,NA,2.65991620006985,NA,457,NA
581,DPAGT1,1.43136376415899,NA,27,NA,NA
582,DPCD,1.38021124171161,NA,24,NA,NA
583,DPF1,1.89209460269048,2.0899051114394,78,123,45
584,DPF2,NA,2.79309160017658,NA,621,NA
585,DPH1,2.03342375548695,1.85733249643127,108,72,36
586,DPH2,NA,1.93951925261862,NA,87,NA
587,DPH7,1.5910646070265,2.20139712432045,39,159,120
588,DPM1,1.25527250510331,NA,18,NA,NA
589,DPM2,NA,2.22788670461367,NA,169,NA
590,DPP3,NA,2.14301480025409,NA,139,NA
591,DPP7,2.82412583391655,2.40993312333129,667,257,410
592,DRG2,1.92427928606188,NA,84,NA,NA
593,DTX3,2.69810054562339,2.63447727016073,499,431,67.9999999999999
594,DUS1L,1.85733249643127,1.17609125905568,72,15,57
595,DUS3L,1.83884909073726,2.24303804868629,69,175,106
596,DUS3L_PRR22,1.07918124604762,NA,12,NA,NA
597,DUSP1,2.11058971029925,2.57978359661681,129,380,251
598,DUSP18,NA,2.07188200730613,NA,118,NA
599,DVL3,2.20682587603185,2.07188200730613,161,118,42.9999999999999
600,DYNC1I1,2.55509444857832,2.5910646070265,359,390,30.9999999999997
601,DYNC1LI1,2.06818586174616,NA,117,NA,NA
602,DYNC1LI2,2.07918124604762,2.22788670461367,120,169,49
603,DYNC2LI1,NA,1.41497334797082,NA,26,NA
604,DYNLT1,1.25527250510331,1.79239168949825,18,62,44
605,DZIP3,1.79934054945358,NA,63,NA,NA
606,E2F4,1.90848501887865,2.07188200730613,81,118,37
607,E4F1,NA,1.17609125905568,NA,15,NA
608,EAPP,1.90848501887865,NA,81,NA,NA
609,ECH1,2.50105926221775,2.30102999566398,317,200,117
610,ECHDC2,1.07918124604762,NA,12,NA,NA
611,ECHS1,2.58994960132571,2.26717172840301,389,185,204
612,ECI2,1.8750612633917,NA,75,NA,NA
613,EDC4,1.93951925261862,2.38201704257487,87,241,154
614,EDC4_NRN1L,0.778151250383644,NA,6,NA,NA
615,EDEM3,0.778151250383644,1.61278385671974,6,41,35
616,EDF1,NA,1.70757017609794,NA,51,NA
617,EEF1A1,NA,4.00354669310213,NA,10082,NA
618,EEF1A2,3.28239550474253,NA,1916,NA,NA
619,EEF1AKNMT,1.51851393987789,1.55630250076729,33,36,3
620,EEF1D,1.98227123303957,1.70757017609794,96,51,45
621,EFNA3,NA,2.32221929473392,NA,210,NA
622,EFTUD2,NA,1.32221929473392,NA,21,NA
623,EGFL7,2.35024801833416,NA,224,NA,NA
624,EHBP1,0.954242509439325,1.7481880270062,9,56,47
625,EID1,0.778151250383644,NA,6,NA,NA
626,EIF1,NA,2.5092025223311,NA,323,NA
627,EIF1AD,0.954242509439325,NA,9,NA,NA
628,EIF2AK1,0.778151250383644,NA,6,NA,NA
629,EIF2B1,NA,2.51719589794997,NA,329,NA
630,EIF2B2,NA,1.61278385671974,NA,41,NA
631,EIF2B4,2.06818586174616,2.0899051114394,117,123,6.00000000000001
632,EIF2B5,NA,2.45788189673399,NA,287,NA
633,EIF3B,2.2380461031288,NA,173,NA,NA
634,EIF3G,1.89209460269048,1.88649072517248,78,77,0.999999999999986
635,EIF3H,NA,1.41497334797082,NA,26,NA
636,EIF3I,NA,2.42651126136458,NA,267,NA
637,EIF4A1,NA,2.42651126136458,NA,267,NA
638,EIF4A2,2.00860017176192,2.33445375115093,102,216,114
639,EIF4G2,2.88024177589548,2.36361197989214,759,231,528
640,EIF5,2.27415784926368,1.91381385238372,188,82,106
641,ELAC2,2.19033169817029,NA,155,NA,NA
642,ELOF1,1.83884909073726,NA,69,NA,NA
643,ELOVL1,1.8750612633917,NA,75,NA,NA
644,EMC10,NA,2.14301480025409,NA,139,NA
645,EMC4,NA,1.93951925261862,NA,87,NA
646,EMC9,NA,1,NA,10,NA
647,EMD,NA,1.91381385238372,NA,82,NA
648,ENC1,2.97772360528885,NA,950,NA,NA
649,ENDOG,1.90848501887865,NA,81,NA,NA
650,ENO1,3.17955179116519,2.97266559226611,1512,939,573
651,ENO2,3.43120288455652,2.92531209149965,2699,842,1857
652,ENOPH1,NA,2.40993312333129,NA,257,NA
653,ENTPD6,2.7701152947871,2.32221929473392,589,210,379
654,EPHB6,2.50514997831991,1.96378782734556,320,92,228
655,EPN2,1.8750612633917,1.88649072517248,75,77,1.99999999999999
656,ERAL1,NA,2.27875360095283,NA,190,NA
657,ERCC3,NA,2.39093510710338,NA,246,NA
658,ERGIC2,1.55630250076729,NA,36,NA,NA
659,ERGIC3,2.13672056715641,NA,137,NA,NA
660,ERI2,NA,1,NA,10,NA
661,ERI3,2.29446622616159,2.41830129131975,197,262,64.9999999999999
662,ERMARD,0.954242509439325,NA,9,NA,NA
663,ESF1,0.954242509439325,1.55630250076729,9,36,27
664,ETNPPL,2.5092025223311,NA,323,NA,NA
665,EVI5L,2.23044892137827,NA,170,NA,NA
666,EVL,2.54032947479087,2.10720996964787,347,128,219
667,EWSR1,NA,3.19312459835446,NA,1560,NA
668,EXOC7,2.14612803567824,2.85003325768977,140,708,568
669,EXOSC10,1.85733249643127,2.4345689040342,72,272,200
670,EXOSC8,1.55630250076729,2.33445375115093,36,216,180
671,EXOSC9,NA,1.79239168949825,NA,62,NA
672,EZH1,NA,1.7481880270062,NA,56,NA
673,EZH2,NA,1.91381385238372,NA,82,NA
674,EZR,NA,3.04493154614916,NA,1109,NA
675,F3,1.90848501887865,NA,81,NA,NA
676,FAAH,2.04532297878666,NA,111,NA,NA
677,FAAP20,1.55630250076729,NA,36,NA,NA
678,FABP7,NA,2.45788189673399,NA,287,NA
679,FADS2,NA,2.78604121024255,NA,611,NA
680,FADS3,2.20682587603185,2.14301480025409,161,139,22
681,FAHD2A,1.47712125471966,1,30,10,20
682,FAHD2B,2.03342375548695,1.41497334797082,108,26,82
683,FAHD2CP,1.77815125038364,NA,60,NA,NA
684,FAIM2,1.90848501887865,NA,81,NA,NA
685,FAM104B,1.17609125905568,1.91381385238372,15,82,67
686,FAM122B,1.92427928606188,NA,84,NA,NA
687,FAM131A,NA,1.91381385238372,NA,82,NA
688,FAM131B,2.26007138798507,2.26717172840301,182,185,3.00000000000003
689,FAM133B,1.07918124604762,1.55630250076729,12,36,24
690,FAM149A,1.6232492903979,1.32221929473392,42,21,21
691,FAM160A2,1.75587485567249,2.20139712432045,57,159,102
692,FAM173A,NA,1.41497334797082,NA,26,NA
693,FAM214B,1.65321251377534,2.05307844348342,45,113,68.0000000000001
694,FAM219A,2.54406804435028,NA,350,NA,NA
695,FAM219B,2.02118929906994,NA,105,NA,NA
696,FAM241B,NA,1.70757017609794,NA,51,NA
697,FAM3A,2.14612803567824,NA,140,NA,NA
698,FAM45A,1.75587485567249,1.85733249643127,57,72,15
699,FAM49B,2.26717172840301,2.32221929473392,185,210,24.9999999999999
700,FAM50A,NA,1.66275783168157,NA,46,NA
701,FAM53C,1.85733249643127,1.79239168949825,72,62,10
702,FAM57B,2.58658730467176,2.90091306773767,386,796,409.999999999999
703,FAM66C,0.778151250383644,NA,6,NA,NA
704,FAM76B,NA,2.03342375548695,NA,108,NA
705,FAM86DP,1.25527250510331,NA,18,NA,NA
706,FAM98C,1.5910646070265,NA,39,NA,NA
707,FANCL,NA,1.96378782734556,NA,92,NA
708,FAR2P3,1.07918124604762,NA,12,NA,NA
709,FARP1,NA,1.79239168949825,NA,62,NA
710,FARSA,NA,2.61909333062674,NA,416,NA
711,FARSB,NA,2.63948648926859,NA,436,NA
712,FASTK,2.41497334797082,2.27875360095283,260,190,69.9999999999999
713,FASTKD3,1.32221929473392,1.55630250076729,21,36,15
714,FBXL15,1.8750612633917,1.70757017609794,75,51,24
715,FBXL16,2.91009054559407,NA,813,NA,NA
716,FBXL21P,NA,1,NA,10,NA
717,FBXL6,1.55630250076729,1.7481880270062,36,56,20
718,FBXL6_AC233992.2,0.778151250383644,NA,6,NA,NA
719,FBXL8_HSF4,NA,1,NA,10,NA
720,FBXO2,2.99255351783214,NA,983,NA,NA
721,FBXO44,2.37839790094814,2.12385164096709,239,133,106
722,FBXO5,NA,2.05307844348342,NA,113,NA
723,FBXO9,NA,2.14301480025409,NA,139,NA
724,FBXW5,2.78103693862113,2.61384182187607,604,411,193
725,FBXW7,2.23044892137827,2.26717172840301,170,185,14.9999999999999
726,FBXW9,1.47712125471966,NA,30,NA,NA
727,FCGRT,1.73239375982297,1.49136169383427,54,31,23
728,FDPS,NA,2.18752072083646,NA,154,NA
729,FDX2,1.07918124604762,NA,12,NA,NA
730,FEZ1,NA,3.2380461031288,NA,1730,NA
731,FGF17,1.32221929473392,NA,21,NA,NA
732,FHL1,2.6570558528571,2.67851837904011,454,477,23.0000000000002
733,FIBP,NA,1.93951925261862,NA,87,NA
734,FIP1L1,NA,1.82607480270083,NA,67,NA
735,FKBP8,NA,2.94101424370557,NA,873,NA
736,FLAD1,NA,2.17318626841227,NA,149,NA
737,FLII,1.73239375982297,2.05307844348342,54,113,59
738,FLNA,1.32221929473392,1.79239168949825,21,62,41
739,FLOT1,1.73239375982297,NA,54,NA,NA
740,FLRT2,NA,1.49136169383427,NA,31,NA
741,FLYWCH1,2.13033376849501,1.85733249643127,135,72,63
742,FMNL2,1.25527250510331,NA,18,NA,NA
743,FNBP1,1.8750612633917,NA,75,NA,NA
744,FNBP1L,NA,2.70156798505593,NA,503,NA
745,FNBP4,1.17609125905568,1.88649072517248,15,77,62
746,FNDC4,NA,2.37291200297011,NA,236,NA
747,FNDC5,0.778151250383644,NA,6,NA,NA
748,FNTA,2.00860017176192,2.24303804868629,102,175,73
749,FOXM1,NA,1.41497334797082,NA,26,NA
750,FOXN2,0.778151250383644,1.41497334797082,6,26,20
751,FRG1BP,NA,1.17609125905568,NA,15,NA
752,FSD1,2.31386722036915,2.34439227368511,206,221,15
753,FTH1,2.60314437262018,1.99122607569249,401,98,303
754,FTL,3.63356944255409,2.9434945159061,4301,878,3423
755,FTSJ1,1.70757017609794,1.55630250076729,51,36,15
756,FUBP1,NA,2.3541084391474,NA,226,NA
757,FUS,2.06818586174616,2.61384182187607,117,411,294
758,FUT1,0.778151250383644,NA,6,NA,NA
759,FUT8,NA,1.49136169383427,NA,31,NA
760,FXYD1,2.0899051114394,NA,123,NA,NA
761,FYN,1.77815125038364,NA,60,NA,NA
762,G3BP2,2.25285303097989,NA,179,NA,NA
763,GABRA1,2.23044892137827,NA,170,NA,NA
764,GAD1,NA,1.93951925261862,NA,87,NA
765,GALE,NA,1.61278385671974,NA,41,NA
766,GALK1,1.55630250076729,NA,36,NA,NA
767,GALNT7,NA,1.61278385671974,NA,41,NA
768,GALNT9,2.2380461031288,NA,173,NA,NA
769,GALT,1.38021124171161,1.66275783168157,24,46,22
770,GAPDH,NA,3.23146959043068,NA,1704,NA
771,GAPVD1,1.07918124604762,1.41497334797082,12,26,14
772,GAS5,NA,1.96378782734556,NA,92,NA
773,GATD3B,2.43933269383026,2.29003461136252,275,195,80.0000000000002
774,GBA,NA,1.41497334797082,NA,26,NA
775,GBA2,2.33243845991561,NA,215,NA,NA
776,GBAP1,NA,1,NA,10,NA
777,GCA,NA,1.49136169383427,NA,31,NA
778,GCDH,NA,1.49136169383427,NA,31,NA
779,GDAP1,1.47712125471966,1.93951925261862,30,87,57
780,GDAP1L1,1.25527250510331,1.85733249643127,18,72,54
781,GDF9,0.778151250383644,NA,6,NA,NA
782,GDI1,3.57379958221574,3.76155198856418,3748,5775,2027
783,GDPD2,NA,1.32221929473392,NA,21,NA
784,GDPD3_MAPK3,NA,1.32221929473392,NA,21,NA
785,GDPD5,1.51851393987789,NA,33,NA,NA
786,GEMIN4,NA,1.17609125905568,NA,15,NA
787,GET4,2.05690485133647,1.41497334797082,114,26,88
788,GFAP,3.93926958633873,NA,8695,NA,NA
789,GGA2,NA,1.49136169383427,NA,31,NA
790,GGA3,NA,1.91381385238372,NA,82,NA
791,GGPS1,1.75587485567249,1.79239168949825,57,62,4.99999999999999
792,GGT7,NA,1.96378782734556,NA,92,NA
793,GHITM,NA,1.41497334797082,NA,26,NA
794,GINM1,NA,1.49136169383427,NA,31,NA
795,GLA,NA,1.41497334797082,NA,26,NA
796,GLG1,NA,1.82607480270083,NA,67,NA
797,GLI4,NA,1.41497334797082,NA,26,NA
798,GLOD4,2.00860017176192,NA,102,NA,NA
799,GLRX3,NA,1.96378782734556,NA,92,NA
800,GLS2,2.2148438480477,NA,164,NA,NA
801,GLT8D1,1.73239375982297,2.14301480025409,54,139,85
802,GLUL,NA,3.37032800777951,NA,2346,NA
803,GMPPA,1.32221929473392,1.49136169383427,21,31,10
804,GMPR2,1.75587485567249,NA,57,NA,NA
805,GNAI2,2.07918124604762,2.01283722470517,120,103,17
806,GNB1,3.01199311465926,2.45024910831936,1028,282,746.000000000001
807,GNE,NA,1.32221929473392,NA,21,NA
808,GNL2,NA,2.34439227368511,NA,221,NA
809,GNL3,1.83884909073726,1.32221929473392,69,21,48
810,GNLY,0.778151250383644,NA,6,NA,NA
811,GNPTG,1.5910646070265,1.70757017609794,39,51,12
812,GNRH2_MRPS26,NA,1.66275783168157,NA,46,NA
813,GOLGA2P10,NA,1,NA,10,NA
814,GOLGA8A,0.778151250383644,NA,6,NA,NA
815,GOT1,2.96848294855394,NA,930,NA,NA
816,GPAA1,NA,2.63447727016073,NA,431,NA
817,GPAM,NA,1,NA,10,NA
818,GPAT4,1.92427928606188,2.22788670461367,84,169,85
819,GPATCH2L,1.07918124604762,NA,12,NA,NA
820,GPC1,NA,2.24303804868629,NA,175,NA
821,GPCPD1,NA,1.32221929473392,NA,21,NA
822,GPHN,1.8750612633917,NA,75,NA,NA
823,GPM6B,2.78532983501077,2.88081359228079,610,760,150
824,GPR108,2.0899051114394,1.66275783168157,123,46,77
825,GPR137,2.46239799789896,2.26717172840301,290,185,105
826,GPR162,2.54406804435028,2.07188200730613,350,118,232
827,GPRC5B,1.43136376415899,NA,27,NA,NA
828,GPS1,2.50105926221775,NA,317,NA,NA
829,GPS2,2.27415784926368,2.10720996964787,188,128,60.0000000000001
830,GPX4,2.56229286445647,NA,365,NA,NA
831,GRAMD2B,1.65321251377534,NA,45,NA,NA
832,GRIA2,1.95424250943932,2.34439227368511,90,221,131
833,GRIA3,2.02118929906994,NA,105,NA,NA
834,GRIN1,3.00432137378264,NA,1010,NA,NA
835,GRINA,2.78958071216443,2.78247262416629,616,606,10.0000000000005
836,GRIPAP1,2.56229286445647,2.48855071650044,365,308,56.9999999999999
837,GRM2,1.79934054945358,1.7481880270062,63,56,6.99999999999999
838,GRN,2.15533603746506,NA,143,NA,NA
839,GSS,2.19865708695442,2.18752072083646,158,154,4
840,GSTA4,NA,2.03342375548695,NA,108,NA
841,GSTK1,1.6232492903979,1.41497334797082,42,26,16
842,GSTP1,2.40483371661994,1.66275783168157,254,46,208
843,GTF2I,2.02118929906994,2.5910646070265,105,390,285
844,GTF2IP4,2.48855071650044,2.07188200730613,308,118,190
845,GTF3A,NA,2.12385164096709,NA,133,NA
846,GTF3C5,1.96848294855394,2.50242711998443,93,318,225
847,GTPBP2,NA,1.32221929473392,NA,21,NA
848,GUCY1A1,1.81954393554187,NA,66,NA,NA
849,GUK1,2.9912260756925,2.3541084391474,980.000000000001,226,754.000000000001
850,GUSBP11,1.38021124171161,1.41497334797082,24,26,2.00000000000001
851,H3F3B,NA,2.93550726582471,NA,862,NA
852,HAGH,1.85733249643127,NA,72,NA,NA
853,HAGHL,1.70757017609794,NA,51,NA,NA
854,HAPLN2,2.52113808370404,NA,332,NA,NA
855,HAPLN4,1.43136376415899,NA,27,NA,NA
856,HARS,2.63346845557959,NA,430,NA,NA
857,HARS2,NA,2.12385164096709,NA,133,NA
858,HAUS3,NA,1.7481880270062,NA,56,NA
859,HAUS4,1.38021124171161,NA,24,NA,NA
860,HAUS5,1.51851393987789,NA,33,NA,NA
861,HBP1,NA,2.40993312333129,NA,257,NA
862,HBS1L,2.37291200297011,NA,236,NA,NA
863,HCFC1R1,2.11058971029925,NA,129,NA,NA
864,HCFC2,NA,1.7481880270062,NA,56,NA
865,HCN3,NA,1.99122607569249,NA,98,NA
866,HDAC1,NA,2.07188200730613,NA,118,NA
867,HDAC10,1.73239375982297,1.32221929473392,54,21,33
868,HDAC6,NA,1.96378782734556,NA,92,NA
869,HDGF,2.28780172993023,NA,194,NA,NA
870,HDGFL2,2.30102999566398,NA,200,NA,NA
871,HENMT1,NA,1.91381385238372,NA,82,NA
872,HERC2P2,1.70757017609794,NA,51,NA,NA
873,HERPUD2,NA,1.88649072517248,NA,77,NA
874,HES6,NA,2.75204844781944,NA,565,NA
875,HEXA,NA,1.49136169383427,NA,31,NA
876,HEXD,NA,1.70757017609794,NA,51,NA
877,HGS,1.65321251377534,2.71011736511182,45,513,468
878,HID1,2.34439227368511,2.0899051114394,221,123,97.9999999999999
879,HINFP,NA,2.31175386105575,NA,205,NA
880,HINT2,1.8750612633917,NA,75,NA,NA
881,HIP1R,1.83884909073726,2.34439227368511,69,221,152
882,HLTF,NA,2.05307844348342,NA,113,NA
883,HMBOX1,NA,2.20139712432045,NA,159,NA
884,HMBS,1.5910646070265,1.41497334797082,39,26,13
885,HMG20B,1.73239375982297,2.05307844348342,54,113,59
886,HMGB1,1.96848294855394,2.25527250510331,93,180,87
887,HMGCS1,NA,2.9329808219232,NA,857,NA
888,HMGN1,1.79934054945358,2.96094619573383,63,914.000000000001,851.000000000001
889,HMGN2,2.26007138798507,2.30102999566398,182,200,18.0000000000001
890,HMGN3,2.19033169817029,2.25527250510331,155,180,25
891,HNRNPA1,2.83122969386706,3.22891340599469,678,1694,1016
892,HNRNPA2B1,2.46239799789896,3.19173039336286,290,1555,1265
893,HNRNPA3,NA,1.85733249643127,NA,72,NA
894,HNRNPC,1.75587485567249,2.26717172840301,57,185,128
895,HNRNPD,1.5910646070265,2.10720996964787,39,128,89
896,HNRNPDL,2.52891670027765,2.84385542262316,338,698,360
897,HNRNPH1,NA,2.14301480025409,NA,139,NA
898,HNRNPH3,NA,2.50242711998443,NA,318,NA
899,HNRNPLL,NA,1.79239168949825,NA,62,NA
900,HNRNPM,2.43933269383026,2.9329808219232,275,857,582
901,HNRNPUL1,1.8750612633917,2.20139712432045,75,159,83.9999999999999
902,HP1BP3,2.20682587603185,2.89486965674525,161,785,624
903,HPCA,1.8750612633917,NA,75,NA,NA
904,HPR,0.778151250383644,NA,6,NA,NA
905,HRH3,2.06818586174616,NA,117,NA,NA
906,HSD11B1L,2.37839790094814,NA,239,NA,NA
907,HSD17B12,NA,2.18752072083646,NA,154,NA
908,HSDL1,NA,1.66275783168157,NA,46,NA
909,HSF1,2.43933269383026,2.49554433754645,275,313,37.9999999999998
910,HSF4,1.38021124171161,NA,24,NA,NA
911,HSF4_FBXL8,0.778151250383644,NA,6,NA,NA
912,HSP90AB1,NA,3.47085132452612,NA,2957,NA
913,HSP90B1,2.55144999797288,NA,356,NA,NA
914,HSPA5,1.17609125905568,NA,15,NA,NA
915,HSPA8,3.44963265047007,3.64591327503384,2816,4425,1609
916,HSPA9,1.77815125038364,NA,60,NA,NA
917,HSPD1,2.6570558528571,2.01283722470517,454,103,351
918,HSPH1,2.30749603791321,2.32221929473392,203,210,6.99999999999989
919,HYI,1.07918124604762,1.55630250076729,12,36,24
920,HYOU1,1.99563519459755,2.03342375548695,99,108,9.00000000000004
921,IARS,1.38021124171161,2.18752072083646,24,154,130
922,ICA1,1.83884909073726,NA,69,NA,NA
923,ICAM5,2.19033169817029,NA,155,NA,NA
924,ID4,1.47712125471966,1.41497334797082,30,26,4
925,IDH3A,NA,2.3541084391474,NA,226,NA
926,IDH3B,2.28780172993023,2.03342375548695,194,108,85.9999999999999
927,IDI1,NA,2.66931688056611,NA,467,NA
928,IDS,2.41497334797082,NA,260,NA,NA
929,IDUA,NA,1.41497334797082,NA,26,NA
930,IFRD2,1.77815125038364,NA,60,NA,NA
931,IFT20,1.8750612633917,NA,75,NA,NA
932,IFT27,NA,1.70757017609794,NA,51,NA
933,IFT43,1.55630250076729,1.49136169383427,36,31,5
934,IFT57,NA,1.61278385671974,NA,41,NA
935,IFT80,NA,1,NA,10,NA
936,IGLV5-52_AC245060.4,1.07918124604762,NA,12,NA,NA
937,IGSF8,2.82412583391655,2.71933128698373,667,524,143
938,IK,NA,2.84073323461181,NA,693,NA
939,IKBKG,NA,1.88649072517248,NA,77,NA
940,ILF2,NA,1.93951925261862,NA,87,NA
941,ILF3,NA,2.45024910831936,NA,282,NA
942,ILK,2.39445168082622,2.42651126136458,248,267,19
943,ILKAP,NA,1.66275783168157,NA,46,NA
944,IMP4,2.35024801833416,NA,224,NA,NA
945,IMPDH1,1.99563519459755,1.82607480270083,99,67,32
946,IMPDH2,NA,2.42651126136458,NA,267,NA
947,INPP4A,1.5910646070265,NA,39,NA,NA
948,INPP5J,1.81954393554187,NA,66,NA,NA
949,INPP5K,NA,2.0899051114394,NA,123,NA
950,INTS11,2.40993312333129,2.31175386105575,257,205,52.0000000000001
951,INTS12,NA,1.85733249643127,NA,72,NA
952,INTS6L,0.778151250383644,NA,6,NA,NA
953,IP6K2,NA,2.75204844781944,NA,565,NA
954,IQCC,1.32221929473392,NA,21,NA,NA
955,IQCC_CCDC28B,NA,1,NA,10,NA
956,IQSEC2,1.25527250510331,NA,18,NA,NA
957,IQSEC3,1.25527250510331,NA,18,NA,NA
958,IRAK1,1.95424250943932,NA,90,NA,NA
959,IRF9,1.89209460269048,NA,78,NA,NA
960,ISCU,2.56229286445647,2.26717172840301,365,185,180
961,IST1,1.25527250510331,2.56820172406699,18,370,352
962,ISYNA1,NA,2.41830129131975,NA,262,NA
963,ITM2C,NA,2.96331551138611,NA,919,NA
964,IVNS1ABP,NA,2.49554433754645,NA,313,NA
965,JKAMP,1.77815125038364,NA,60,NA,NA
966,JMJD4,1.51851393987789,NA,33,NA,NA
967,JMJD8,2.2380461031288,1.85733249643127,173,72,101
968,JTB,2.28103336724773,1.66275783168157,191,46,145
969,JUP,1.07918124604762,2.26717172840301,12,185,173
970,KANK1,1.25527250510331,NA,18,NA,NA
971,KAT6B,NA,2.07188200730613,NA,118,NA
972,KATNB1,2.42488163663107,2.38201704257487,266,241,25.0000000000001
973,KATNBL1,NA,2.05307844348342,NA,113,NA
974,KBTBD2,NA,1.96378782734556,NA,92,NA
975,KCNH3,2.32633586092875,NA,212,NA,NA
976,KCNIP2,NA,1.32221929473392,NA,21,NA
977,KCNT1,1.51851393987789,NA,33,NA,NA
