,associated_gene,Adult,Fetal,Adult_TPM,Fetal_TPM,diff
70,ACD,NA,2.14301480025409,NA,139,NA
71,ACHE,2.15533603746506,1.41497334797082,143,26,117
72,ACP6,0.778151250383644,NA,6,NA,NA
73,ACSS1,1.89209460269048,1.61278385671974,78,41,37
74,ACTB,4.2055020947442,4.28499438672299,16051,19275,3223.99999999999
75,ACTG1,3.42488163663107,3.58771096501891,2660,3870,1210
76,ACTL6B,NA,2.46686762035411,NA,293,NA
77,ACTN1,1.99563519459755,NA,99,NA,NA
78,ACTR1A,NA,2.73158876518674,NA,539,NA
79,ACTR1B,2.38381536598043,2.24303804868629,242,175,66.9999999999999
80,ACTR5,1.17609125905568,NA,15,NA,NA
81,ADA,1.51851393987789,NA,33,NA,NA
82,ADAM10,NA,2.32221929473392,NA,210,NA
83,ADAM11,1.79934054945358,NA,63,NA,NA
84,ADAM15,1.5910646070265,NA,39,NA,NA
85,ADAMTS10,NA,1.88649072517248,NA,77,NA
86,ADAMTS13,NA,1,NA,10,NA
87,ADAT1,1.43136376415899,1.79239168949825,27,62,35
88,ADCK5,1.65321251377534,2.03342375548695,45,108,63
89,ADCY3,1.79934054945358,NA,63,NA,NA
90,ADD1,2.74741180788642,2.80002935924413,559,631,72.0000000000002
91,ADD3,2.36735592102602,NA,233,NA,NA
92,ADIPOR1,2.50514997831991,2.45024910831936,320,282,38
93,ADRM1,NA,2.26717172840301,NA,185,NA
94,AFTPH,1.79934054945358,2.2148438480477,63,164,101
95,AGAP4,0.778151250383644,1.32221929473392,6,21,15
96,AGPAT1,0.778151250383644,NA,6,NA,NA
97,AGPAT4,1.75587485567249,1.32221929473392,57,21,36
98,AGRN,1.25527250510331,NA,18,NA,NA
99,AHCYL1,NA,1.88649072517248,NA,77,NA
100,AHDC1,NA,1.32221929473392,NA,21,NA
101,AIG1,1.65321251377534,1.85733249643127,45,72,27
102,AIP,2.12057393120585,NA,132,NA,NA
103,AKAP8L,2.50514997831991,2.77887447200274,320,601,281
104,AKIRIN2,NA,2.54900326202579,NA,354,NA
105,AKR1A1,NA,2.0899051114394,NA,123,NA
106,AKR1B1,NA,2.53655844257153,NA,344,NA
107,AKT2,1.32221929473392,NA,21,NA,NA
108,AL049834.1,1.47712125471966,1.79239168949825,30,62,32
109,AL096870.1,1.8750612633917,2.41830129131975,75,262,187
110,AL117348.2,0.778151250383644,NA,6,NA,NA
111,AL121845.3,1.07918124604762,NA,12,NA,NA
112,AL157935.2,1.25527250510331,1,18,10,8
113,AL391807.1,1.5910646070265,NA,39,NA,NA
114,AL590560.1,1.32221929473392,1.32221929473392,21,21,0
115,AL603910.1_EEF1A1,NA,1.17609125905568,NA,15,NA
116,ALAD,2.2380461031288,1.91381385238372,173,82,91
117,ALDH1L1,1.96848294855394,NA,93,NA,NA
118,ALDH2,NA,2.40140054078154,NA,252,NA
119,ALDOA,3.48415742436538,NA,3049,NA,NA
120,ALDOC,3.2135177569963,NA,1635,NA,NA
121,ALG12,1.51851393987789,1.82607480270083,33,67,34
122,ALG8,NA,1.49136169383427,NA,31,NA
123,ALKBH6,1.65321251377534,NA,45,NA,NA
124,AMDHD2,1.38021124171161,NA,24,NA,NA
125,AMER2,1.17609125905568,NA,15,NA,NA
126,AMZ2P1,NA,1.85733249643127,NA,72,NA
