"","associated_gene","Human_Detected_LogTPM_Isoseq","Human","Mouse_Detected_LogTPM_Isoseq","Mouse","isoseq_comparison"
"1","A4GALT",0.586430352952502,"Human",0.808800300667845,"Mouse",0.725061986831945
"2","AAAS",2.00967622688931,"Human",1.46201281444319,"Mouse",1.37459549399004
"3","AACS",1.95749821522424,"Human",1.03924922204612,"Mouse",1.88356957474573
"4","AAGAB",1.51584927866679,"Human",1.25595833201006,"Mouse",1.20692640833139
"5","AAK1",1.91886881286811,"Human",1.81312167445049,"Mouse",1.05832324432924
"6","AAMP",2.51070963901438,"Human",2.68904207656333,"Mouse",0.933681797282676
"7","AAR2",1.89818421400826,"Human",0.922743652974682,"Mouse",2.05710893582309
"8","AARS",2.65831236025863,"Human",2.57595616675003,"Mouse",1.03197111603514
"9","AARS2",0.887460348616483,"Human",1.62834423620971,"Mouse",0.545007823826133
"10","AARSD1",1.98437036162454,"Human",1.25595833201006,"Mouse",1.5799651238817
"11","AASDH",0.586430352952502,"Human",0.85019298582607,"Mouse",0.689761457373952
"12","AASDHPPT",2.7020408646268,"Human",1.18901154237945,"Mouse",2.27251020559437
"13","AATF",2.177494959979,"Human",1.44226875624743,"Mouse",1.50977059618522
"14","AATK",1.62782303811073,"Human",2.58767477267058,"Mouse",0.629067862508374
"15","ABAT",1.71676412144751,"Human",2.87363252040642,"Mouse",0.597419506236902
"16","ABCA2",1.48952033994445,"Human",1.95492833634608,"Mouse",0.761930916981068
"17","ABCA3",1.28540035728852,"Human",1.94552086782425,"Mouse",0.660697286031186
"18","ABCA5",1.70037370525934,"Human",1.06407280577115,"Mouse",1.59798624308141
"19","ABCA7",0.586430352952502,"Human",0.954928336346083,"Mouse",0.614109279861153
"20","ABCB10",1.18849034428046,"Human",1.56467515634034,"Mouse",0.759576413969695
"21","ABCB6",1.99297053338646,"Human",1.62834423620971,"Mouse",1.22392457876443
"22","ABCB7",0.586430352952502,"Human",1.57222829423078,"Mouse",0.372993130262558
"23","ABCB8",0.98437036162454,"Human",1.24016406482683,"Mouse",0.793742045542974
"24","ABCB9",1.71676412144751,"Human",1.86949814102146,"Mouse",0.918302128136647
"25","ABCC1",0.586430352952502,"Human",0.76304281010717,"Mouse",0.768541876267909
"26","ABCC10",0.586430352952502,"Human",1.10983029633183,"Mouse",0.528396417804372
"27","ABCC5",2.29823758199369,"Human",1.71189028765979,"Mouse",1.34251452827357
"28","ABCC8",1.51584927866679,"Human",1.43204959106575,"Mouse",1.05851730842553
"29","ABCD1",0.762521612008183,"Human",1.54916299016209,"Mouse",0.492215226448445
"30","ABCD3",1.56415395824135,"Human",2.29735101716829,"Mouse",0.680851096133025
"31","ABCD4",1.56415395824135,"Human",1.20674030933988,"Mouse",1.29618108066431
"32","ABCE1",1.06355160767216,"Human",0.85019298582607,"Mouse",1.25095316640232
"33","ABCF2",1.28540035728852,"Human",1.69529102584033,"Mouse",0.758218109867814
"34","ABCF3",1.48952033994445,"Human",1.03924922204612,"Mouse",1.43326577335494
"35","ABCG1",1.36458160333615,"Human",0.586951551051488,"Mouse",2.32486241989067
"36","ABCG2",0.887460348616483,"Human",1.38858389728465,"Mouse",0.63911179609089
"37","ABCG4",1.23964286672785,"Human",2.13308275596554,"Mouse",0.581150854677798
"38","ABHD1",0.586430352952502,"Human",1.49899638069636,"Mouse",0.391215322801564
"39","ABHD10",2.35358621903468,"Human",1.38858389728465,"Mouse",1.69495427941882
"40","ABHD11",1.36458160333615,"Human",1.7725881280134,"Mouse",0.769824406341635
"41","ABHD12",2.5454717452736,"Human",2.71080319201857,"Mouse",0.939010162289994
"42","ABHD12B",0.98437036162454,"Human",0.410860291995807,"Mouse",2.39587611848016
"43","ABHD13",0.762521612008183,"Human",1.2711982985668,"Mouse",0.599844739304545
"44","ABHD14A",2.01779411711149,"Human",0.410860291995807,"Mouse",4.91114414418048
"45","ABHD14B",1.13049839730278,"Human",1.13101959540176,"Mouse",0.999539178541994
"46","ABHD16A",0.762521612008183,"Human",2.43514066804289,"Mouse",0.313132469928737
"47","ABHD17A",2.74779835518748,"Human",2.88361674131302,"Mouse",0.952899986957456
"48","ABHD17B",1.60761965202244,"Human",1.80880030066784,"Mouse",0.888776749665994
"49","ABHD17C",1.80391429716641,"Human",1.90222198583008,"Mouse",0.948319549770753
"50","ABHD2",1.18849034428046,"Human",0.76304281010717,"Mouse",1.55756705723174
"51","ABHD3",1.73255838863074,"Human",2.4743812916858,"Mouse",0.700198629229995
"52","ABHD4",1.56415395824135,"Human",1.54119406049081,"Mouse",1.01489747354932
"53","ABHD5",0.586430352952502,"Human",1.41086029199581,"Mouse",0.415654445928828
"54","ABHD6",2.13049839730278,"Human",1.71189028765979,"Mouse",1.24452975325612
"55","ABHD8",2.51328706190219,"Human",2.98691355298248,"Mouse",0.841432809259793
"56","ABI1",1.77676205112279,"Human",1.59413013567861,"Mouse",1.11456524869372
"57","ABI2",1.36458160333615,"Human",1.74329875191141,"Mouse",0.782758320591907
"58","ABITRAM",1.74779835518748,"Human",1.6721231607883,"Mouse",1.04525695007029
"59","ABL1",1.13049839730278,"Human",1.59413013567861,"Mouse",0.709163180596627
"60","ABL2",0.586430352952502,"Human",0.109830296331826,"Mouse",5.33942247757161
"61","ABLIM1",0.586430352952502,"Human",0.109830296331826,"Mouse",5.33942247757161
"62","ABLIM2",1.64712819330611,"Human",2.02628424488175,"Mouse",0.812881113529181
"63","ABLIM3",0.586430352952502,"Human",1.17052813668544,"Mouse",0.50099637469039
"64","ABR",1.18849034428046,"Human",2.82666801963135,"Mouse",0.420456288473333
"65","ABRACL",1.51584927866679,"Human",1.28592155538751,"Mouse",1.17880384873866
"66","ABRAXAS2",1.5864303529525,"Human",1.83410616593261,"Mouse",0.864961027022024
"67","ABT1",1.23964286672785,"Human",0.109830296331826,"Mouse",11.2868935815539
"68","ABTB1",2.32679304244675,"Human",1.73307958672973,"Mouse",1.34257714432915
"69","ABTB2",0.762521612008183,"Human",1.6476493914051,"Mouse",0.462793611302167
"70","ACAA2",1.18849034428046,"Human",1.97611763541602,"Mouse",0.601426920634843
"71","ACACA",0.762521612008183,"Human",0.586951551051488,"Mouse",1.2991218962488
"72","ACACB",0.586430352952502,"Human",0.410860291995807,"Mouse",1.42732302044532
"73","ACAD11",1.36458160333615,"Human",1.59413013567861,"Mouse",0.856003893782016
"74","ACAD8",1.79055033560843,"Human",1.30016199450212,"Mouse",1.37717480066328
"75","ACAD9",2.03358838429472,"Human",0.653898340682102,"Mouse",3.10994577868698
"76","ACADM",2.20447844966459,"Human",1.98777724796101,"Mouse",1.10901684377657
"77","ACADS",1.56415395824135,"Human",1.47155813234942,"Mouse",1.06292366156415
"78","ACADSB",1.18849034428046,"Human",0.586951551051488,"Mouse",2.02485254899038
"79","ACADVL",2.67279018362725,"Human",2.31259098372503,"Mouse",1.15575568807331
"80","ACAP2",1.36458160333615,"Human",1.35286834501812,"Mouse",1.00865809179523
"81","ACAP3",2.21481928300281,"Human",2.52563802396737,"Mouse",0.876934565438515
"82","ACAT1",1.18849034428046,"Human",0.109830296331826,"Mouse",10.8211521226322
"83","ACAT2",1.70037370525934,"Human",1.41086029199581,"Mouse",1.20520345983654
"84","ACBD3",1.18849034428046,"Human",0.586951551051488,"Mouse",2.02485254899038
"85","ACBD4",1.13049839730278,"Human",1.68386156405954,"Mouse",0.67137252932914
"86","ACBD5",1.90864964768642,"Human",1.70642739195829,"Mouse",1.1185062175403
"87","ACBD6",1.68334036596056,"Human",0.653898340682102,"Mouse",2.57431509033134
"88","ACD",2.06355160767216,"Human",2.09883491203036,"Mouse",0.983189099744836
"89","ACE",0.586430352952502,"Human",1.2711982985668,"Mouse",0.461320907692896
"90","ACHE",2.01779411711149,"Human",1.01292028332377,"Mouse",1.99205618678141
"91","ACIN1",2.10494429283039,"Human",1.98489155972353,"Mouse",1.06048327049342
"92","ACKR1",0.586430352952502,"Human",0.410860291995807,"Mouse",1.42732302044532
"93","ACKR3",1.66561159900013,"Human",1.30016199450212,"Mouse",1.28108005467269
"94","ACLY",2.28540035728852,"Human",2.40429652249342,"Mouse",0.950548460186768
"95","ACO1",1.84170285805581,"Human",0.586951551051488,"Mouse",3.13774255261189
"96","ACO2",2.92786487753064,"Human",3.10414744900146,"Mouse",0.943210632108495
"97","ACOT1",1.54067286239183,"Human",1.67803202039882,"Mouse",0.918142707447056
"98","ACOT11",0.586430352952502,"Human",1.98489155972353,"Mouse",0.295447048519963
"99","ACOT13",0.586430352952502,"Human",2.03410958239371,"Mouse",0.288298309013618
"100","ACOT2",1.70037370525934,"Human",1.10983029633183,"Mouse",1.53210244023736
"101","ACOT7",2.60346369225128,"Human",2.92640299235793,"Mouse",0.889646333416834
"102","ACOT8",1.70037370525934,"Human",1.28592155538751,"Mouse",1.32229971426751
"103","ACOT9",0.586430352952502,"Human",1.32731424054573,"Mouse",0.441817269067638
"104","ACOX1",1.48952033994445,"Human",2.65698941765924,"Mouse",0.56060454364048
"105","ACOX3",1.5864303529525,"Human",1.60814085012143,"Mouse",0.986499629577045
"106","ACP1",2.1366587060076,"Human",0.410860291995807,"Mouse",5.2004507313873
"107","ACP2",1.79055033560843,"Human",1.30016199450212,"Mouse",1.37717480066328
"108","ACP6",0.98437036162454,"Human",1.51637047676578,"Mouse",0.649162178179618
"109","ACSBG1",0.762521612008183,"Human",1.25595833201006,"Mouse",0.607123335682503
"110","ACSF2",0.586430352952502,"Human",1.61498027465173,"Mouse",0.36311920470915
"111","ACSF3",1.54067286239183,"Human",1.28592155538751,"Mouse",1.19810796851255
"112","ACSL1",1.74779835518748,"Human",1.85019298582607,"Mouse",0.944657324169416
"113","ACSL3",1.23964286672785,"Human",1.92607159632361,"Mouse",0.643612038666691
"114","ACSL4",1.54067286239183,"Human",1.6476493914051,"Mouse",0.935073244604518
