"","associated_gene","Human_Detected_LogTPM_Isoseq","Human","Mouse_Detected_LogTPM_Isoseq","Mouse"
"112","2310022B05RIK",NA,NA,2.91328741198024,"Mouse"
"113","2310030G06RIK",NA,NA,0.507770305003864,"Mouse"
"114","2310033P09RIK",NA,NA,0.653898340682102,"Mouse"
"115","2310040G24RIK",NA,NA,0.109830296331826,"Mouse"
"116","2310057M21RIK",NA,NA,0.507770305003864,"Mouse"
"117","2310061I04RIK",NA,NA,2.0289083887079,"Mouse"
"118","2410002F23RIK",NA,NA,2.25128006973229,"Mouse"
"119","2410004B18RIK",NA,NA,1.71728531954649,"Mouse"
"120","2410004I01RIK",NA,NA,0.285921555387507,"Mouse"
"121","2410006H16RIK",NA,NA,1.78192815426754,"Mouse"
"122","2410080I02RIK",NA,NA,0.109830296331826,"Mouse"
"123","2410080I02RIK_KLF9",NA,NA,0.109830296331826,"Mouse"
"124","2410131K14RIK",NA,NA,0.285921555387507,"Mouse"
"125","2510002D24RIK",NA,NA,1.35286834501812,"Mouse"
"126","2510009E07RIK",NA,NA,2.06887168865292,"Mouse"
"127","2510039O18RIK",NA,NA,1.63487510336867,"Mouse"
"128","2610001J05RIK",NA,NA,0.507770305003864,"Mouse"
"129","2610002M06RIK",NA,NA,1.36510280143513,"Mouse"
"130","2610005L07RIK",NA,NA,2.07831324488576,"Mouse"
"131","2610008E11RIK",NA,NA,1.32731424054573,"Mouse"
"132","2610021A01RIK",NA,NA,1.08755390162067,"Mouse"
"133","2610035D17RIK",NA,NA,1.25595833201006,"Mouse"
"134","2610044O15RIK8",NA,NA,1.13101959540176,"Mouse"
"135","2610301B20RIK",NA,NA,1.92274365297468,"Mouse"
"136","2610316D01RIK",NA,NA,0.109830296331826,"Mouse"
"137","2610316D01RIK_5930409G06RIK",NA,NA,0.285921555387507,"Mouse"
"138","2610318N02RIK",NA,NA,0.410860291995807,"Mouse"
"139","2610507B11RIK",NA,NA,2.25440450394144,"Mouse"
"140","2700033N17RIK_MEIS2",NA,NA,0.109830296331826,"Mouse"
"141","2700038G22RIK",NA,NA,0.109830296331826,"Mouse"
"142","2700049A03RIK",NA,NA,0.109830296331826,"Mouse"
"143","2700062C07RIK",NA,NA,0.808800300667845,"Mouse"
"144","2700081O15RIK",NA,NA,0.109830296331826,"Mouse"
"145","2700097O09RIK",NA,NA,0.88798154671547,"Mouse"
"146","2810001G20RIK",NA,NA,1.18901154237945,"Mouse"
"147","2810002D19RIK",NA,NA,0.507770305003864,"Mouse"
"148","2810004N23RIK",NA,NA,1.61498027465173,"Mouse"
"149","2810006K23RIK",NA,NA,1.24016406482683,"Mouse"
"150","2810021J22RIK",NA,NA,0.808800300667845,"Mouse"
"151","2810025M15RIK",NA,NA,1.54119406049081,"Mouse"
"152","2810029C07RIK",NA,NA,0.76304281010717,"Mouse"
"153","2810032G03RIK",NA,NA,0.507770305003864,"Mouse"
"154","2810039B14RIK",NA,NA,0.410860291995807,"Mouse"
"155","2810407A14RIK",NA,NA,0.410860291995807,"Mouse"
"156","2810410L24RIK",NA,NA,0.653898340682102,"Mouse"
"157","2810414N06RIK",NA,NA,0.285921555387507,"Mouse"
"158","2810433D01RIK",NA,NA,0.109830296331826,"Mouse"
"159","2810455O05RIK_CCSAP",NA,NA,1.83410616593261,"Mouse"
"160","2810457G06RIK",NA,NA,0.109830296331826,"Mouse"
"161","2810459M11RIK",NA,NA,0.109830296331826,"Mouse"
"162","2810468N07RIK",NA,NA,1.39986490769434,"Mouse"
"163","2900011O08RIK",NA,NA,1.2711982985668,"Mouse"
"164","2900026A02RIK",NA,NA,0.285921555387507,"Mouse"
"165","2900041M22RIK",NA,NA,0.109830296331826,"Mouse"
"166","2900052N01RIK",NA,NA,2.22544080800613,"Mouse"
"167","2900060N12RIK",NA,NA,0.507770305003864,"Mouse"
"168","2900076A07RIK",NA,NA,1.08755390162067,"Mouse"
"169","2900079G21RIK",NA,NA,1.44226875624743,"Mouse"
"170","3010001F23RIK",NA,NA,0.285921555387507,"Mouse"
"171","3110001I22RIK",NA,NA,0.507770305003864,"Mouse"
"172","3110009E18RIK",NA,NA,0.711890287659788,"Mouse"
"173","3110021N24RIK_TXNDC12",NA,NA,0.410860291995807,"Mouse"
"174","3110039I08RIK",NA,NA,1.08755390162067,"Mouse"
"175","3110039I08RIK_GM8707",NA,NA,0.984891559723526,"Mouse"
"176","3110040N11RIK",NA,NA,0.586951551051488,"Mouse"
"177","3110056K07RIK",NA,NA,0.88798154671547,"Mouse"
"178","3110082I17RIK",NA,NA,1.48089815860356,"Mouse"
"179","3110082J24RIK",NA,NA,0.711890287659788,"Mouse"
"180","3300002I08RIK",NA,NA,0.109830296331826,"Mouse"
"181","3300002P13RIK",NA,NA,0.109830296331826,"Mouse"
"182","3830406C13RIK",NA,NA,1.51637047676578,"Mouse"
"183","3830408C21RIK",NA,NA,0.109830296331826,"Mouse"
"184","4430402I18RIK",NA,NA,0.109830296331826,"Mouse"
"185","4632404H12RIK",NA,NA,0.285921555387507,"Mouse"
"186","4632404H12RIK_CHRNB2",NA,NA,0.109830296331826,"Mouse"
"187","4632427E13RIK",NA,NA,0.109830296331826,"Mouse"
"188","4632428C04RIK",NA,NA,0.109830296331826,"Mouse"
"189","4732414G09RIK",NA,NA,0.109830296331826,"Mouse"
"190","4732463B04RIK",NA,NA,0.109830296331826,"Mouse"
"191","4732471J01RIK",NA,NA,0.85019298582607,"Mouse"
"192","4732491K20RIK",NA,NA,0.410860291995807,"Mouse"
"193","4833411C07RIK",NA,NA,0.109830296331826,"Mouse"
"194","4833415N18RIK",NA,NA,0.410860291995807,"Mouse"
"195","4833420G17RIK",NA,NA,1.10983029633183,"Mouse"
"196","4833438C02RIK",NA,NA,0.410860291995807,"Mouse"
"197","4833439L19RIK",NA,NA,2.38629210050507,"Mouse"
"198","4921504A21RIK",NA,NA,0.109830296331826,"Mouse"
"199","4921524J17RIK",NA,NA,1.55698832767405,"Mouse"
"200","4921531C22RIK",NA,NA,0.109830296331826,"Mouse"
"201","4930402H24RIK",NA,NA,0.88798154671547,"Mouse"
"202","4930412C18RIK",NA,NA,0.109830296331826,"Mouse"
"203","4930430F08RIK",NA,NA,1.74329875191141,"Mouse"
"204","4930432K21RIK",NA,NA,0.109830296331826,"Mouse"
"205","4930447M23RIK",NA,NA,1.2711982985668,"Mouse"
"206","4930451G09RIK",NA,NA,0.109830296331826,"Mouse"
"207","4930452B06RIK",NA,NA,0.88798154671547,"Mouse"
"208","4930453N24RIK",NA,NA,0.507770305003864,"Mouse"
"209","4930466K18RIK_ASF1A",NA,NA,0.285921555387507,"Mouse"
"210","4930480K23RIK",NA,NA,0.653898340682102,"Mouse"
"211","4930503L19RIK",NA,NA,0.586951551051488,"Mouse"
"212","4930522L14RIK",NA,NA,0.586951551051488,"Mouse"
"213","4930539E08RIK",NA,NA,1.03924922204612,"Mouse"
"214","4930539J05RIK",NA,NA,0.109830296331826,"Mouse"
"215","4930539J05RIK_GM43379",NA,NA,0.410860291995807,"Mouse"
"216","4930563E22RIK",NA,NA,0.410860291995807,"Mouse"
"217","4930570G19RIK",NA,NA,0.76304281010717,"Mouse"
"218","4930579G24RIK",NA,NA,0.507770305003864,"Mouse"
"219","4931406C07RIK",NA,NA,0.984891559723526,"Mouse"
"220","4931406P16RIK",NA,NA,0.76304281010717,"Mouse"
"221","4931414P19RIK",NA,NA,0.984891559723526,"Mouse"
"222","4931428F04RIK",NA,NA,1.41086029199581,"Mouse"
"223","4931440J10RIK_WDFY2",NA,NA,0.586951551051488,"Mouse"
"224","4932438A13RIK",NA,NA,1.01292028332377,"Mouse"
"225","4933404O12RIK",NA,NA,1.66613279709911,"Mouse"
"226","4933407L21RIK",NA,NA,0.109830296331826,"Mouse"
"227","4933412E12RIK",NA,NA,0.88798154671547,"Mouse"
"228","4933412O06RIK",NA,NA,0.109830296331826,"Mouse"
"229","4933421O10RIK",NA,NA,1.10983029633183,"Mouse"
"230","4933427D14RIK",NA,NA,0.85019298582607,"Mouse"
"231","4933431E20RIK",NA,NA,1.9610886450509,"Mouse"
"232","4933434E20RIK",NA,NA,2.1289465867789,"Mouse"
