"","associated_gene","Human_Detected_LogTPM_Isoseq","Human","Mouse_Detected_LogTPM_Isoseq","Mouse"
"1","0610009B22RIK",NA,NA,1.82163752537302,"Mouse"
"2","0610009L18RIK",NA,NA,0.922743652974682,"Mouse"
"3","1110002L01RIK",NA,NA,1.13101959540176,"Mouse"
"4","1110008L16RIK",NA,NA,1.17052813668544,"Mouse"
"5","1110018N20RIK",NA,NA,0.109830296331826,"Mouse"
"6","1110019D14RIK",NA,NA,0.285921555387507,"Mouse"
"7","1110038B12RIK",NA,NA,0.109830296331826,"Mouse"
"8","1110046J04RIK",NA,NA,0.76304281010717,"Mouse"
"9","1110065P20RIK",NA,NA,1.31395027898775,"Mouse"
"10","1300002E11RIK",NA,NA,1.06407280577115,"Mouse"
"11","1500004A13RIK",NA,NA,1.77728324922178,"Mouse"
"12","1500009C09RIK",NA,NA,1.72787839304392,"Mouse"
"13","1500011B03RIK",NA,NA,2.46681169732496,"Mouse"
"14","1500015A07RIK",NA,NA,1.35286834501812,"Mouse"
"15","1500015O10RIK",NA,NA,0.653898340682102,"Mouse"
"16","1500026H17RIK",NA,NA,0.285921555387507,"Mouse"
"17","1500035N22RIK",NA,NA,0.653898340682102,"Mouse"
"18","1600017P15RIK",NA,NA,0.109830296331826,"Mouse"
"19","1600020E01RIK",NA,NA,0.88798154671547,"Mouse"
"20","1700003E16RIK_DCTN1",NA,NA,0.109830296331826,"Mouse"
"21","1700003M07RIK",NA,NA,1.10983029633183,"Mouse"
"22","1700014D04RIK",NA,NA,0.109830296331826,"Mouse"
"23","1700020I14RIK",NA,NA,1.47155813234942,"Mouse"
"24","1700023F06RIK",NA,NA,0.653898340682102,"Mouse"
"25","1700028E10RIK",NA,NA,0.109830296331826,"Mouse"
"26","1700028I16RIK",NA,NA,0.109830296331826,"Mouse"
"27","1700029I15RIK_PEX16",NA,NA,0.285921555387507,"Mouse"
"28","1700047I17RIK2",NA,NA,0.507770305003864,"Mouse"
"29","1700047M11RIK",NA,NA,0.285921555387507,"Mouse"
"30","1700048O20RIK",NA,NA,0.507770305003864,"Mouse"
"31","1700056N10RIK_MAPK1",NA,NA,2.38743951063592,"Mouse"
"32","1700064M15RIK",NA,NA,0.109830296331826,"Mouse"
"33","1700080G11RIK",NA,NA,0.285921555387507,"Mouse"
"34","1700086L19RIK",NA,NA,0.507770305003864,"Mouse"
"35","1700086L19RIK_DBPHT2",NA,NA,0.410860291995807,"Mouse"
"36","1700086O06RIK",NA,NA,0.954928336346083,"Mouse"
"37","1700095J03RIK",NA,NA,0.285921555387507,"Mouse"
"38","1700101I11RIK",NA,NA,0.109830296331826,"Mouse"
"39","1810014B01RIK",NA,NA,0.711890287659788,"Mouse"
"40","1810021B22RIK",NA,NA,0.711890287659788,"Mouse"
"41","1810022K09RIK",NA,NA,1.71189028765979,"Mouse"
"42","1810024B03RIK",NA,NA,0.410860291995807,"Mouse"
"43","1810026B05RIK",NA,NA,0.76304281010717,"Mouse"
"44","1810032O08RIK",NA,NA,0.109830296331826,"Mouse"
"45","1810037I17RIK",NA,NA,0.507770305003864,"Mouse"
"46","1810043G02RIK",NA,NA,1.68386156405954,"Mouse"
"47","1810044D09RIK",NA,NA,0.285921555387507,"Mouse"
"48","1810058I24RIK",NA,NA,0.711890287659788,"Mouse"
"49","2010001A14RIK",NA,NA,0.410860291995807,"Mouse"
"50","2010007H06RIK",NA,NA,0.109830296331826,"Mouse"
"51","2010008C14RIK_LPAR5",NA,NA,0.109830296331826,"Mouse"
"52","2010204K13RIK",NA,NA,1.36510280143513,"Mouse"
"53","2010315B03RIK",NA,NA,1.15122298149005,"Mouse"
"54","2210008F06RIK",NA,NA,0.109830296331826,"Mouse"
"55","2210406O10RIK",NA,NA,0.109830296331826,"Mouse"
"56","2210408F21RIK",NA,NA,1.31395027898775,"Mouse"
"57","2210418O10RIK",NA,NA,0.109830296331826,"Mouse"
"58","2310009A05RIK",NA,NA,1.01292028332377,"Mouse"
"59","2310010J17RIK",NA,NA,0.808800300667845,"Mouse"
"60","2310014F06RIK",NA,NA,0.109830296331826,"Mouse"
"61","2310015A10RIK",NA,NA,0.887981546715469,"Mouse"
"62","2310040G24RIK",NA,NA,0.109830296331826,"Mouse"
"63","2410004I01RIK",NA,NA,0.285921555387507,"Mouse"
"64","2410006H16RIK",NA,NA,1.78192815426754,"Mouse"
"65","2410080I02RIK",NA,NA,0.109830296331826,"Mouse"
"66","2410080I02RIK_KLF9",NA,NA,0.109830296331826,"Mouse"
"67","2510002D24RIK",NA,NA,1.35286834501812,"Mouse"
"68","2610001J05RIK",NA,NA,0.507770305003864,"Mouse"
"69","2610002M06RIK",NA,NA,1.36510280143513,"Mouse"
"70","2610005L07RIK",NA,NA,2.07831324488576,"Mouse"
"71","2610008E11RIK",NA,NA,1.32731424054573,"Mouse"
"72","2610021A01RIK",NA,NA,1.08755390162067,"Mouse"
"73","2610035D17RIK",NA,NA,1.25595833201006,"Mouse"
"74","2610044O15RIK8",NA,NA,1.13101959540176,"Mouse"
"75","2610316D01RIK",NA,NA,0.109830296331826,"Mouse"
"76","2610316D01RIK_5930409G06RIK",NA,NA,0.285921555387507,"Mouse"
"77","2610318N02RIK",NA,NA,0.410860291995807,"Mouse"
"78","2700033N17RIK_MEIS2",NA,NA,0.109830296331826,"Mouse"
"79","2700038G22RIK",NA,NA,0.109830296331826,"Mouse"
"80","2700062C07RIK",NA,NA,0.808800300667845,"Mouse"
"81","2700097O09RIK",NA,NA,0.88798154671547,"Mouse"
"82","2810001G20RIK",NA,NA,1.18901154237945,"Mouse"
"83","2810002D19RIK",NA,NA,0.507770305003864,"Mouse"
"84","2810021J22RIK",NA,NA,0.808800300667845,"Mouse"
"85","2810025M15RIK",NA,NA,1.54119406049081,"Mouse"
"86","2810029C07RIK",NA,NA,0.76304281010717,"Mouse"
"87","2810032G03RIK",NA,NA,0.507770305003864,"Mouse"
"88","2810039B14RIK",NA,NA,0.410860291995807,"Mouse"
"89","2810407A14RIK",NA,NA,0.410860291995807,"Mouse"
"90","2810410L24RIK",NA,NA,0.653898340682102,"Mouse"
"91","2810414N06RIK",NA,NA,0.285921555387507,"Mouse"
"92","2810433D01RIK",NA,NA,0.109830296331826,"Mouse"
"93","2810455O05RIK_CCSAP",NA,NA,1.83410616593261,"Mouse"
"94","2810457G06RIK",NA,NA,0.109830296331826,"Mouse"
"95","2810468N07RIK",NA,NA,1.39986490769434,"Mouse"
"96","2900011O08RIK",NA,NA,1.2711982985668,"Mouse"
"97","2900026A02RIK",NA,NA,0.285921555387507,"Mouse"
"98","2900041M22RIK",NA,NA,0.109830296331826,"Mouse"
"99","2900052N01RIK",NA,NA,2.22544080800613,"Mouse"
"100","2900060N12RIK",NA,NA,0.507770305003864,"Mouse"
"101","2900076A07RIK",NA,NA,1.08755390162067,"Mouse"
"102","2900079G21RIK",NA,NA,1.44226875624743,"Mouse"
"103","3010001F23RIK",NA,NA,0.285921555387507,"Mouse"
"104","3110001I22RIK",NA,NA,0.507770305003864,"Mouse"
"105","3110021N24RIK_TXNDC12",NA,NA,0.410860291995807,"Mouse"
"106","3110039I08RIK",NA,NA,1.08755390162067,"Mouse"
"107","3110039I08RIK_GM8707",NA,NA,0.984891559723526,"Mouse"
"108","3110056K07RIK",NA,NA,0.88798154671547,"Mouse"
"109","3110082J24RIK",NA,NA,0.711890287659788,"Mouse"
"110","3300002I08RIK",NA,NA,0.109830296331826,"Mouse"
