"","associated_gene","Human","Human_Detected_Num_Isoseq","Human_Known_Num_Gencode","Human_Normalised","Mouse","Mouse_Detected_Num_Isoseq","Mouse_Known_Num_Gencode","Mouse_Normalised","Detected","isoseq_comparison_HumanvsMouse","isoseq_comparison_MousevsHuman","isoseq_comparison_normalisedHumanvsMouse","isoseq_comparison_normalisedMousevsHuman","isoseq_comparison_diff"
"2498","A4GALT","Human",1,7,0.142857142857143,"Mouse",2,4,0.5,"Both",0.5,2,0.285714285714286,3.5,1
"2676","AAAS","Human",7,20,0.35,"Mouse",2,13,0.153846153846154,"Both",3.5,0.285714285714286,2.275,0.43956043956044,5
"2677","AACS","Human",4,12,0.333333333333333,"Mouse",4,6,0.666666666666667,"Both",1,1,0.5,2,0
"2686","AAGAB","Human",3,7,0.428571428571429,"Mouse",6,3,2,"Both",0.5,2,0.214285714285714,4.66666666666667,3
"2687","AAK1","Human",2,13,0.153846153846154,"Mouse",5,9,0.555555555555556,"Both",0.4,2.5,0.276923076923077,3.61111111111111,3
"2689","AAMP","Human",6,10,0.6,"Mouse",2,6,0.333333333333333,"Both",3,0.333333333333333,1.8,0.555555555555556,4
"2691","AAR2","Human",2,3,0.666666666666667,"Mouse",5,5,1,"Both",0.4,2.5,0.666666666666667,1.5,3
"2694","AARS","Human",4,7,0.571428571428571,"Mouse",3,7,0.428571428571429,"Both",1.33333333333333,0.75,1.33333333333333,0.75,1
"2695","AARS2","Human",1,2,0.5,"Mouse",3,4,0.75,"Both",0.333333333333333,3,0.666666666666667,1.5,2
"2696","AARSD1","Human",4,19,0.210526315789474,"Mouse",4,5,0.8,"Both",1,1,0.263157894736842,3.8,0
"2698","AASDH","Human",1,10,0.1,"Mouse",3,15,0.2,"Both",0.333333333333333,3,0.5,2,2
"2699","AASDHPPT","Human",1,5,0.2,"Mouse",4,3,1.33333333333333,"Both",0.25,4,0.15,6.66666666666667,3
"2702","AATF","Human",2,9,0.222222222222222,"Mouse",2,4,0.5,"Both",1,1,0.444444444444444,2.25,0
"2703","AATK","Human",4,11,0.363636363636364,"Mouse",18,9,2,"Both",0.222222222222222,4.5,0.181818181818182,5.5,14
"2707","ABAT","Human",3,16,0.1875,"Mouse",3,7,0.428571428571429,"Both",1,1,0.4375,2.28571428571429,0
"2723","ABCA2","Human",5,24,0.208333333333333,"Mouse",7,7,1,"Both",0.714285714285714,1.4,0.208333333333333,4.8,2
"2724","ABCA3","Human",2,6,0.333333333333333,"Mouse",2,9,0.222222222222222,"Both",1,1,1.5,0.666666666666667,0
"2726","ABCA5","Human",3,14,0.214285714285714,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,0.535714285714286,1.86666666666667,1
"2728","ABCA7","Human",1,19,0.0526315789473684,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.0789473684210526,12.6666666666667,1
"2735","ABCB10","Human",1,3,0.333333333333333,"Mouse",1,1,1,"Both",1,1,0.333333333333333,3,0
"2744","ABCB6","Human",5,13,0.384615384615385,"Mouse",2,6,0.333333333333333,"Both",2.5,0.4,1.15384615384615,0.866666666666667,3
"2745","ABCB7","Human",1,17,0.0588235294117647,"Mouse",1,2,0.5,"Both",1,1,0.117647058823529,8.5,0
"2746","ABCB8","Human",2,22,0.0909090909090909,"Mouse",5,9,0.555555555555556,"Both",0.4,2.5,0.163636363636364,6.11111111111111,3
"2747","ABCB9","Human",6,21,0.285714285714286,"Mouse",4,6,0.666666666666667,"Both",1.5,0.666666666666667,0.428571428571429,2.33333333333333,2
"2748","ABCC1","Human",1,8,0.125,"Mouse",2,12,0.166666666666667,"Both",0.5,2,0.75,1.33333333333333,1
"2749","ABCC10","Human",1,10,0.1,"Mouse",1,7,0.142857142857143,"Both",1,1,0.7,1.42857142857143,0
"2756","ABCC5","Human",8,13,0.615384615384615,"Mouse",7,13,0.538461538461538,"Both",1.14285714285714,0.875,1.14285714285714,0.875,1
"2761","ABCC8","Human",5,54,0.0925925925925926,"Mouse",5,8,0.625,"Both",1,1,0.148148148148148,6.75,0
"2763","ABCD1","Human",1,3,0.333333333333333,"Mouse",2,2,1,"Both",0.5,2,0.333333333333333,3,1
"2769","ABCD3","Human",1,7,0.142857142857143,"Mouse",2,6,0.333333333333333,"Both",0.5,2,0.428571428571429,2.33333333333333,1
"2770","ABCD4","Human",7,28,0.25,"Mouse",2,10,0.2,"Both",3.5,0.285714285714286,1.25,0.8,5
"2771","ABCE1","Human",1,10,0.1,"Mouse",2,4,0.5,"Both",0.5,2,0.2,5,1
"2773","ABCF2","Human",4,6,0.666666666666667,"Mouse",4,1,4,"Both",1,1,0.166666666666667,6,0
"2776","ABCF3","Human",3,18,0.166666666666667,"Mouse",5,10,0.5,"Both",0.6,1.66666666666667,0.333333333333333,3,2
"2777","ABCG1","Human",2,11,0.181818181818182,"Mouse",1,5,0.2,"Both",2,0.5,0.909090909090909,1.1,1
"2778","ABCG2","Human",2,5,0.4,"Mouse",6,13,0.461538461538462,"Both",0.333333333333333,3,0.866666666666667,1.15384615384615,4
"2780","ABCG4","Human",1,6,0.166666666666667,"Mouse",4,10,0.4,"Both",0.25,4,0.416666666666667,2.4,3
"2783","ABHD1","Human",1,8,0.125,"Mouse",5,2,2.5,"Both",0.2,5,0.05,20,4
"2784","ABHD10","Human",3,5,0.6,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"2785","ABHD11","Human",4,14,0.285714285714286,"Mouse",2,7,0.285714285714286,"Both",2,0.5,1,1,2
"2788","ABHD12","Human",8,9,0.888888888888889,"Mouse",12,7,1.71428571428571,"Both",0.666666666666667,1.5,0.518518518518518,1.92857142857143,4
"2789","ABHD12B","Human",2,9,0.222222222222222,"Mouse",1,6,0.166666666666667,"Both",2,0.5,1.33333333333333,0.75,1
"2790","ABHD13","Human",1,1,1,"Mouse",2,2,1,"Both",0.5,2,1,1,1
"2791","ABHD14A","Human",3,6,0.5,"Mouse",1,8,0.125,"Both",3,0.333333333333333,4,0.25,2
"2793","ABHD14B","Human",1,8,0.125,"Mouse",2,10,0.2,"Both",0.5,2,0.625,1.6,1
"2796","ABHD16A","Human",1,16,0.0625,"Mouse",10,7,1.42857142857143,"Both",0.1,10,0.04375,22.8571428571429,9
"2798","ABHD17A","Human",8,6,1.33333333333333,"Mouse",6,4,1.5,"Both",1.33333333333333,0.75,0.888888888888889,1.125,2
"2807","ABHD17B","Human",2,2,1,"Mouse",1,3,0.333333333333333,"Both",2,0.5,3,0.333333333333333,1
"2808","ABHD17C","Human",1,5,0.2,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.3,3.33333333333333,1
"2810","ABHD2","Human",1,10,0.1,"Mouse",1,2,0.5,"Both",1,1,0.2,5,0
"2811","ABHD3","Human",4,10,0.4,"Mouse",9,5,1.8,"Both",0.444444444444444,2.25,0.222222222222222,4.5,5
"2812","ABHD4","Human",2,10,0.2,"Mouse",5,8,0.625,"Both",0.4,2.5,0.32,3.125,3
"2813","ABHD5","Human",1,16,0.0625,"Mouse",4,8,0.5,"Both",0.25,4,0.125,8,3
"2814","ABHD6","Human",3,7,0.428571428571429,"Mouse",7,3,2.33333333333333,"Both",0.428571428571429,2.33333333333333,0.183673469387755,5.44444444444445,4
"2815","ABHD8","Human",1,3,0.333333333333333,"Mouse",11,3,3.66666666666667,"Both",0.0909090909090909,11,0.0909090909090909,11,10
"2816","ABI1","Human",8,13,0.615384615384615,"Mouse",5,15,0.333333333333333,"Both",1.6,0.625,1.84615384615385,0.541666666666667,3
"2818","ABI2","Human",3,24,0.125,"Mouse",11,12,0.916666666666667,"Both",0.272727272727273,3.66666666666667,0.136363636363636,7.33333333333333,8
"2821","ABITRAM","Human",2,4,0.5,"Mouse",3,4,0.75,"Both",0.666666666666667,1.5,0.666666666666667,1.5,1
"2823","ABL1","Human",2,3,0.666666666666667,"Mouse",4,10,0.4,"Both",0.5,2,1.66666666666667,0.6,2
"2824","ABL2","Human",1,15,0.0666666666666667,"Mouse",1,4,0.25,"Both",1,1,0.266666666666667,3.75,0
"2825","ABLIM1","Human",1,17,0.0588235294117647,"Mouse",1,21,0.0476190476190476,"Both",1,1,1.23529411764706,0.80952380952381,0
"2826","ABLIM2","Human",7,15,0.466666666666667,"Mouse",22,17,1.29411764705882,"Both",0.318181818181818,3.14285714285714,0.360606060606061,2.77310924369748,15
"2827","ABLIM3","Human",1,12,0.0833333333333333,"Mouse",2,2,1,"Both",0.5,2,0.0833333333333333,12,1
"2829","ABR","Human",1,36,0.0277777777777778,"Mouse",15,13,1.15384615384615,"Both",0.0666666666666667,15,0.0240740740740741,41.5384615384615,14
"2831","ABRACL","Human",1,2,0.5,"Mouse",2,5,0.4,"Both",0.5,2,1.25,0.8,1
"2833","ABRAXAS2","Human",1,1,1,"Mouse",2,8,0.25,"Both",0.5,2,4,0.25,1
"2834","ABT1","Human",2,1,2,"Mouse",1,1,1,"Both",2,0.5,2,0.5,1
"2836","ABTB1","Human",11,15,0.733333333333333,"Mouse",5,12,0.416666666666667,"Both",2.2,0.454545454545455,1.76,0.568181818181818,6
"2837","ABTB2","Human",1,2,0.5,"Mouse",1,3,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"17446","ACAA2","Human",2,7,0.285714285714286,"Mouse",1,2,0.5,"Both",2,0.5,0.571428571428571,1.75,1
"17447","ACACA","Human",1,23,0.0434782608695652,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.195652173913043,5.11111111111111,1
"17448","ACACB","Human",1,15,0.0666666666666667,"Mouse",2,5,0.4,"Both",0.5,2,0.166666666666667,6,1
"17450","ACAD11","Human",4,10,0.4,"Mouse",2,8,0.25,"Both",2,0.5,1.6,0.625,2
"17452","ACAD8","Human",3,17,0.176470588235294,"Mouse",3,8,0.375,"Both",1,1,0.470588235294118,2.125,0
"17453","ACAD9","Human",2,12,0.166666666666667,"Mouse",1,10,0.1,"Both",2,0.5,1.66666666666667,0.6,1
"17455","ACADM","Human",6,18,0.333333333333333,"Mouse",2,10,0.2,"Both",3,0.333333333333333,1.66666666666667,0.6,4
"17456","ACADS","Human",2,3,0.666666666666667,"Mouse",1,4,0.25,"Both",2,0.5,2.66666666666667,0.375,1
"17457","ACADSB","Human",3,4,0.75,"Mouse",2,7,0.285714285714286,"Both",1.5,0.666666666666667,2.625,0.380952380952381,1
"17458","ACADVL","Human",23,39,0.58974358974359,"Mouse",6,7,0.857142857142857,"Both",3.83333333333333,0.260869565217391,0.688034188034188,1.45341614906832,17
"17461","ACAP2","Human",1,16,0.0625,"Mouse",7,6,1.16666666666667,"Both",0.142857142857143,7,0.0535714285714286,18.6666666666667,6
"17463","ACAP3","Human",13,13,1,"Mouse",11,9,1.22222222222222,"Both",1.18181818181818,0.846153846153846,0.818181818181818,1.22222222222222,2
"17464","ACAT1","Human",4,12,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",4,0.25,1,1,3
"17465","ACAT2","Human",4,3,1.33333333333333,"Mouse",3,4,0.75,"Both",1.33333333333333,0.75,1.77777777777778,0.5625,1
"17467","ACBD3","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17469","ACBD4","Human",2,16,0.125,"Mouse",12,16,0.75,"Both",0.166666666666667,6,0.166666666666667,6,10
"17470","ACBD5","Human",5,8,0.625,"Mouse",11,18,0.611111111111111,"Both",0.454545454545455,2.2,1.02272727272727,0.977777777777778,6
"17471","ACBD6","Human",1,8,0.125,"Mouse",3,6,0.5,"Both",0.333333333333333,3,0.25,4,2
"17475","ACD","Human",7,15,0.466666666666667,"Mouse",11,5,2.2,"Both",0.636363636363636,1.57142857142857,0.212121212121212,4.71428571428571,4
"17476","ACE","Human",1,22,0.0454545454545455,"Mouse",2,4,0.5,"Both",0.5,2,0.0909090909090909,11,1
"17483","ACHE","Human",3,14,0.214285714285714,"Mouse",4,9,0.444444444444444,"Both",0.75,1.33333333333333,0.482142857142857,2.07407407407407,1
"17484","ACIN1","Human",12,23,0.521739130434783,"Mouse",12,26,0.461538461538462,"Both",1,1,1.1304347826087,0.884615384615385,0
"17485","ACKR1","Human",1,4,0.25,"Mouse",1,3,0.333333333333333,"Both",1,1,0.75,1.33333333333333,0
"17487","ACKR3","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17489","ACLY","Human",3,10,0.3,"Mouse",4,7,0.571428571428571,"Both",0.75,1.33333333333333,0.525,1.9047619047619,1
"17494","ACO1","Human",2,3,0.666666666666667,"Mouse",1,4,0.25,"Both",2,0.5,2.66666666666667,0.375,1
"17495","ACO2","Human",9,7,1.28571428571429,"Mouse",9,9,1,"Both",1,1,1.28571428571429,0.777777777777778,0
"17497","ACOT1","Human",1,2,0.5,"Mouse",1,4,0.25,"Both",1,1,2,0.5,0
"17499","ACOT11","Human",1,5,0.2,"Mouse",2,7,0.285714285714286,"Both",0.5,2,0.7,1.42857142857143,1
"17501","ACOT13","Human",1,3,0.333333333333333,"Mouse",5,2,2.5,"Both",0.2,5,0.133333333333333,7.5,4
"17502","ACOT2","Human",2,5,0.4,"Mouse",1,1,1,"Both",2,0.5,0.4,2.5,1
"17507","ACOT7","Human",3,10,0.3,"Mouse",5,6,0.833333333333333,"Both",0.6,1.66666666666667,0.36,2.77777777777778,2
"17508","ACOT8","Human",3,13,0.230769230769231,"Mouse",3,5,0.6,"Both",1,1,0.384615384615385,2.6,0
"17509","ACOT9","Human",1,8,0.125,"Mouse",2,4,0.5,"Both",0.5,2,0.25,4,1
"17510","ACOX1","Human",1,13,0.0769230769230769,"Mouse",5,7,0.714285714285714,"Both",0.2,5,0.107692307692308,9.28571428571428,4
