"","associated_gene","Human","Human_Detected_Num_Isoseq","Human_Known_Num_Gencode","Human_Normalised","Mouse","Mouse_Detected_Num_Isoseq","Mouse_Known_Num_Gencode","Mouse_Normalised","Detected","isoseq_comparison_HumanvsMouse","isoseq_comparison_MousevsHuman","isoseq_comparison_normalisedHumanvsMouse","isoseq_comparison_normalisedMousevsHuman","isoseq_comparison_diff"
"2508","AATF","Human",2,9,0.222222222222222,"Mouse",2,4,0.5,"Both",1,1,0.444444444444444,2.25,0
"2509","AATK","Human",4,11,0.363636363636364,"Mouse",18,9,2,"Both",0.222222222222222,4.5,0.181818181818182,5.5,14
"2512","ABAT","Human",3,16,0.1875,"Mouse",3,7,0.428571428571429,"Both",1,1,0.4375,2.28571428571429,0
"2528","ABCA2","Human",5,24,0.208333333333333,"Mouse",7,7,1,"Both",0.714285714285714,1.4,0.208333333333333,4.8,2
"2529","ABCA3","Human",2,6,0.333333333333333,"Mouse",2,9,0.222222222222222,"Both",1,1,1.5,0.666666666666667,0
"2531","ABCA5","Human",3,14,0.214285714285714,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,0.535714285714286,1.86666666666667,1
"2533","ABCA7","Human",1,19,0.0526315789473684,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.0789473684210526,12.6666666666667,1
"2534","ABCA8","Human",1,15,0.0666666666666667,"Mouse",2,2,1,"Both",0.5,2,0.0666666666666667,15,1
"2538","ABCB1","Human",1,11,0.0909090909090909,"Mouse",1,4,0.25,"Both",1,1,0.363636363636364,2.75,0
"2539","ABCB10","Human",1,3,0.333333333333333,"Mouse",1,1,1,"Both",1,1,0.333333333333333,3,0
"2547","ABCB6","Human",5,13,0.384615384615385,"Mouse",2,6,0.333333333333333,"Both",2.5,0.4,1.15384615384615,0.866666666666667,3
"2548","ABCB7","Human",1,17,0.0588235294117647,"Mouse",1,2,0.5,"Both",1,1,0.117647058823529,8.5,0
"2549","ABCB8","Human",2,22,0.0909090909090909,"Mouse",5,9,0.555555555555556,"Both",0.4,2.5,0.163636363636364,6.11111111111111,3
"2550","ABCB9","Human",6,21,0.285714285714286,"Mouse",4,6,0.666666666666667,"Both",1.5,0.666666666666667,0.428571428571429,2.33333333333333,2
"2551","ABCC1","Human",1,8,0.125,"Mouse",2,12,0.166666666666667,"Both",0.5,2,0.75,1.33333333333333,1
"2552","ABCC10","Human",1,10,0.1,"Mouse",1,7,0.142857142857143,"Both",1,1,0.7,1.42857142857143,0
"2559","ABCC5","Human",8,13,0.615384615384615,"Mouse",7,13,0.538461538461538,"Both",1.14285714285714,0.875,1.14285714285714,0.875,1
"2564","ABCC8","Human",5,54,0.0925925925925926,"Mouse",5,8,0.625,"Both",1,1,0.148148148148148,6.75,0
"2566","ABCD1","Human",1,3,0.333333333333333,"Mouse",2,2,1,"Both",0.5,2,0.333333333333333,3,1
"2572","ABCD3","Human",1,7,0.142857142857143,"Mouse",2,6,0.333333333333333,"Both",0.5,2,0.428571428571429,2.33333333333333,1
"2573","ABCD4","Human",7,28,0.25,"Mouse",2,10,0.2,"Both",3.5,0.285714285714286,1.25,0.8,5
"2574","ABCE1","Human",1,10,0.1,"Mouse",2,4,0.5,"Both",0.5,2,0.2,5,1
"2576","ABCF2","Human",4,6,0.666666666666667,"Mouse",4,1,4,"Both",1,1,0.166666666666667,6,0
"2579","ABCF3","Human",3,18,0.166666666666667,"Mouse",5,10,0.5,"Both",0.6,1.66666666666667,0.333333333333333,3,2
"2580","ABCG1","Human",2,11,0.181818181818182,"Mouse",1,5,0.2,"Both",2,0.5,0.909090909090909,1.1,1
"2581","ABCG2","Human",2,5,0.4,"Mouse",6,13,0.461538461538462,"Both",0.333333333333333,3,0.866666666666667,1.15384615384615,4
"2583","ABCG4","Human",1,6,0.166666666666667,"Mouse",4,10,0.4,"Both",0.25,4,0.416666666666667,2.4,3
"2586","ABHD1","Human",1,8,0.125,"Mouse",5,2,2.5,"Both",0.2,5,0.05,20,4
"2587","ABHD10","Human",3,5,0.6,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,1.5,0.666666666666667,1
"2588","ABHD11","Human",4,14,0.285714285714286,"Mouse",2,7,0.285714285714286,"Both",2,0.5,1,1,2
"2591","ABHD12","Human",8,9,0.888888888888889,"Mouse",12,7,1.71428571428571,"Both",0.666666666666667,1.5,0.518518518518518,1.92857142857143,4
"2592","ABHD12B","Human",2,9,0.222222222222222,"Mouse",1,6,0.166666666666667,"Both",2,0.5,1.33333333333333,0.75,1
"2593","ABHD13","Human",1,1,1,"Mouse",2,2,1,"Both",0.5,2,1,1,1
"2594","ABHD14A","Human",3,6,0.5,"Mouse",1,8,0.125,"Both",3,0.333333333333333,4,0.25,2
"2596","ABHD14B","Human",1,8,0.125,"Mouse",2,10,0.2,"Both",0.5,2,0.625,1.6,1
"2599","ABHD16A","Human",1,16,0.0625,"Mouse",10,7,1.42857142857143,"Both",0.1,10,0.04375,22.8571428571429,9
"2601","ABHD17A","Human",8,6,1.33333333333333,"Mouse",6,4,1.5,"Both",1.33333333333333,0.75,0.888888888888889,1.125,2
"2610","ABHD17B","Human",2,2,1,"Mouse",1,3,0.333333333333333,"Both",2,0.5,3,0.333333333333333,1
"2611","ABHD17C","Human",1,5,0.2,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.3,3.33333333333333,1
"2613","ABHD2","Human",1,10,0.1,"Mouse",1,2,0.5,"Both",1,1,0.2,5,0
"2614","ABHD3","Human",4,10,0.4,"Mouse",9,5,1.8,"Both",0.444444444444444,2.25,0.222222222222222,4.5,5
"2615","ABHD4","Human",2,10,0.2,"Mouse",5,8,0.625,"Both",0.4,2.5,0.32,3.125,3
"2616","ABHD5","Human",1,16,0.0625,"Mouse",4,8,0.5,"Both",0.25,4,0.125,8,3
"2617","ABHD6","Human",3,7,0.428571428571429,"Mouse",7,3,2.33333333333333,"Both",0.428571428571429,2.33333333333333,0.183673469387755,5.44444444444445,4
"2618","ABHD8","Human",1,3,0.333333333333333,"Mouse",11,3,3.66666666666667,"Both",0.0909090909090909,11,0.0909090909090909,11,10
"2619","ABI1","Human",8,13,0.615384615384615,"Mouse",5,15,0.333333333333333,"Both",1.6,0.625,1.84615384615385,0.541666666666667,3
