"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"2502","CTH",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2503","CTHRC1",0.776552085888602,"Human (Adult)",NA,NA
"2504","CTIF",1.55470333627225,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2505","CTNNA1",1.93792008812358,"Human (Adult)",2.33363581473197,"Human (Fetal)"
"2506","CTNNA2",2.22371011723082,"Human (Adult)",NA,NA
"2507","CTNNAL1",1.47552209022462,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2508","CTNNB1",1.81794477104683,"Human (Adult)",2.22890046421196,"Human (Fetal)"
"2509","CTNNBIP1",2.20791585004759,"Human (Adult)",2.40058260436259,"Human (Fetal)"
"2510","CTNNBIP1_CLSTN1",NA,NA,1.31244651566203,"Human (Fetal)"
"2511","CTNNBL1",1.95264334494428,"Human (Adult)",2.55548456434833,"Human (Fetal)"
"2512","CTNND1",1.32062013023888,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"2513","CTNND2",1.42976459966395,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2514","CTNS",NA,NA,1.01141651999805,"Human (Fetal)"
"2515","CTPS1",1.07758208155258,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2516","CTPS2",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2517","CTR9",0.952643344944283,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2518","CTSA",2.1382799219062,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2519","CTSB",2.15676332760021,"Human (Adult)",1.91450650699,"Human (Fetal)"
"2520","CTSC",0.776552085888602,"Human (Adult)",NA,NA
"2521","CTSD",2.84473794763476,"Human (Adult)",2.01141651999805,"Human (Fetal)"
"2522","CTSF",2.74269381862764,"Human (Adult)",2.51656649831796,"Human (Fetal)"
"2523","CTSH",1.99403603010251,"Human (Adult)",NA,NA
"2524","CTSK",NA,NA,1.01141651999805,"Human (Fetal)"
"2525","CTSL",1.96688378405889,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2526","CTSO",1.25367334060826,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2527","CTSV",NA,NA,1.01141651999805,"Human (Fetal)"
"2528","CTTN",1.92268012156684,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2529","CTTNBP2",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2530","CTTNBP2NL",1.42976459966395,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2531","CTU1",1.25367334060826,"Human (Adult)",NA,NA
"2532","CTU2",1.62165012590286,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2533","CTXN1",2.9020333515892,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2534","CTXN2",0.776552085888602,"Human (Adult)",NA,NA
"2535","CTXN3",1.6516133492803,"Human (Adult)",NA,NA
"2536","CU633904.1",NA,NA,1.48853777471772,"Human (Fetal)"
"2537","CU634019.1",NA,NA,1.01141651999805,"Human (Fetal)"
"2538","CUEDC1",1.58946544253146,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2539","CUEDC2",2.17449209456064,"Human (Adult)",2.14175028849306,"Human (Fetal)"
"2540","CUL1",2.10899054580421,"Human (Adult)",2.57370938445453,"Human (Fetal)"
"2541","CUL2",1.70597101160289,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"2542","CUL3",0.776552085888602,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2543","CUL4A",1.42976459966395,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2544","CUL4B",1.07758208155258,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2545","CUL5",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2546","CUL7",0.776552085888602,"Human (Adult)",NA,NA
"2547","CUL9",0.776552085888602,"Human (Adult)",NA,NA
"2548","CUTA",1.51691477538285,"Human (Adult)",NA,NA
"2549","CUTALP",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2550","CUTC",1.32062013023888,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2551","CUX1",2.15676332760021,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2552","CUX2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2553","CWC15",0.952643344944283,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2554","CWC22",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2555","CWC25",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2556","CWC27",1.25367334060826,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2557","CWF19L1",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2558","CWF19L2",1.42976459966395,"Human (Adult)",NA,NA
"2559","CX3CL1",2.50490586790983,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2560","CXADR",2.00700100726688,"Human (Adult)",1.91450650699,"Human (Fetal)"
"2561","CXCL12",1.17449209456064,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"2562","CXCL14",2.0195901345749,"Human (Adult)",NA,NA
"2563","CXCL16",1.55470333627225,"Human (Adult)",NA,NA
"2564","CXCL5",0.776552085888602,"Human (Adult)",NA,NA
"2565","CXCR4",NA,NA,1.40935652867009,"Human (Fetal)"
"2566","CXORF40A",1.42976459966395,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2567","CXORF40B",1.7765520858886,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2568","CXORF56",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2569","CXXC1",1.87346209889666,"Human (Adult)",2.27858824840107,"Human (Fetal)"
"2570","CXXC4",0.776552085888602,"Human (Adult)",NA,NA
"2571","CXXC5",2.53998007945154,"Human (Adult)",2.34385497991366,"Human (Fetal)"
"2572","CYB561",1.81794477104683,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2573","CYB561A3",1.07758208155258,"Human (Adult)",NA,NA
"2574","CYB561D2",0.776552085888602,"Human (Adult)",NA,NA
"2575","CYB5A",1.17449209456064,"Human (Adult)",NA,NA
"2576","CYB5B",1.51691477538285,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"2577","CYB5D1",1.55470333627225,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2578","CYB5D2",1.6516133492803,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2579","CYB5R1",1.75427569117745,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2580","CYB5R2",0.776552085888602,"Human (Adult)",NA,NA
"2581","CYB5R3",2.94973835430088,"Human (Adult)",2.88647778338975,"Human (Fetal)"
"2582","CYB5R4",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2583","CYBA",1.17449209456064,"Human (Adult)",NA,NA
"2584","CYBC1",2.03182459099191,"Human (Adult)",2.17278452223303,"Human (Fetal)"
"2585","CYBRD1",1.37861207721656,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2586","CYC1",2.57243210323268,"Human (Adult)",2.34385497991366,"Human (Fetal)"
"2587","CYCS",2.42000476237479,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2588","CYFIP1",1.17449209456064,"Human (Adult)",1.91450650699,"Human (Fetal)"
"2589","CYFIP2",2.81596620506474,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2590","CYGB",1.75427569117745,"Human (Adult)",NA,NA
"2591","CYHR1",2.23895008378756,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"2592","CYLD",1.42976459966395,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2593","CYP26A1",0.952643344944283,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2594","CYP26B1",1.07758208155258,"Human (Adult)",NA,NA
"2595","CYP27A1",1.79774138495854,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2596","CYP2E1",0.776552085888602,"Human (Adult)",NA,NA
"2597","CYP2J2",1.6516133492803,"Human (Adult)",NA,NA
"2598","CYP2U1",NA,NA,1.31244651566203,"Human (Fetal)"
"2599","CYP46A1",2.85573333193623,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2600","CYP4X1",1.55470333627225,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2601","CYP51A1",2.1382799219062,"Human (Adult)",2.70602171893162,"Human (Fetal)"
"2602","CYREN",0.952643344944283,"Human (Adult)",NA,NA
"2603","CYS1",0.776552085888602,"Human (Adult)",NA,NA
"2604","CYSTM1",1.95264334494428,"Human (Adult)",NA,NA
"2605","CYTH1",1.55470333627225,"Human (Adult)",2.40058260436259,"Human (Fetal)"
"2606","CYTH2",2.14761994816034,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2607","CYTH3",1.32062013023888,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"2608","CYYR1",NA,NA,1.01141651999805,"Human (Fetal)"
"2609","CZIB",1.75427569117745,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2610","D2HGDH",2.0195901345749,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2611","DAAM1",1.32062013023888,"Human (Adult)",2.27858824840107,"Human (Fetal)"
"2612","DAAM2",1.6516133492803,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2613","DAB1",NA,NA,2.32317038105381,"Human (Fetal)"
"2614","DAB2",0.952643344944283,"Human (Adult)",NA,NA
"2615","DAB2IP",1.37861207721656,"Human (Adult)",NA,NA
"2616","DACH1",0.952643344944283,"Human (Adult)",NA,NA
"2617","DACH2",0.776552085888602,"Human (Adult)",NA,NA
"2618","DACT1",NA,NA,2.49571635934484,"Human (Fetal)"
"2619","DACT3",2.18309226632256,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2620","DAD1",1.87346209889666,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2621","DAG1",1.42976459966395,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2622","DAGLA",1.47552209022462,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2623","DAGLB",1.6516133492803,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2624","DALRD3",1.67964207288055,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2625","DANCR",1.6516133492803,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2626","DAP",1.90688585438361,"Human (Adult)",2.20174821816834,"Human (Fetal)"
"2627","DAP3",1.58946544253146,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2628","DAPK1",1.25367334060826,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2629","DAPK3",2.42976459966395,"Human (Adult)",2.45857455134027,"Human (Fetal)"
"2630","DARS",1.47552209022462,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"2631","DARS2",0.776552085888602,"Human (Adult)",NA,NA
"2632","DAXX",2.10899054580421,"Human (Adult)",NA,NA
"2633","DAZAP1",1.37861207721656,"Human (Adult)",1.96565902943738,"Human (Fetal)"
"2634","DAZAP2",1.42976459966395,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"2635","DBF4",NA,NA,1.48853777471772,"Human (Fetal)"
"2636","DBF4B",0.776552085888602,"Human (Adult)",NA,NA
"2637","DBI",2.11897476671081,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"2638","DBN1",2.03182459099191,"Human (Adult)",2.62946461671015,"Human (Fetal)"
"2639","DBNDD1",2.62165012590286,"Human (Adult)",2.09059776604568,"Human (Fetal)"
"2640","DBNDD2",2.3447538099556,"Human (Adult)",NA,NA
"2641","DBNL",2.25367334060826,"Human (Adult)",2.48123853597622,"Human (Fetal)"
"2642","DBP",2.19152543385942,"Human (Adult)",NA,NA
"2643","DBR1",0.952643344944283,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2644","DCAF1",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2645","DCAF10",1.47552209022462,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"2646","DCAF11",1.79774138495854,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2647","DCAF12",1.07758208155258,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2648","DCAF13",0.952643344944283,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2649","DCAF15",1.7765520858886,"Human (Adult)",2.05280920515628,"Human (Fetal)"
"2650","DCAF16",NA,NA,1.01141651999805,"Human (Fetal)"
"2651","DCAF4",1.32062013023888,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2652","DCAF5",1.51691477538285,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"2653","DCAF6",2.50082795548939,"Human (Adult)",2.22890046421196,"Human (Fetal)"
"2654","DCAF7",1.25367334060826,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2655","DCAF8",1.89049543819544,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2656","DCAKD",2.20791585004759,"Human (Adult)",2.18750777905373,"Human (Fetal)"
"2657","DCBLD1",1.07758208155258,"Human (Adult)",NA,NA
"2658","DCC",NA,NA,1.01141651999805,"Human (Fetal)"
"2659","DCHS1",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2660","DCK",2.35058335361632,"Human (Adult)",2.67886947288801,"Human (Fetal)"
"2661","DCLK1",1.47552209022462,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2662","DCLK2",1.75427569117745,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"2663","DCLK3",0.776552085888602,"Human (Adult)",NA,NA
"2664","DCLRE1A",NA,NA,1.40935652867009,"Human (Fetal)"
"2665","DCLRE1B",NA,NA,1.6646290337734,"Human (Fetal)"
"2666","DCLRE1C",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2667","DCN",1.32062013023888,"Human (Adult)",NA,NA
"2668","DCP1A",1.85573333193623,"Human (Adult)",2.24186544137633,"Human (Fetal)"
"2669","DCP1B",1.37861207721656,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2670","DCP2",NA,NA,1.01141651999805,"Human (Fetal)"
"2671","DCPS",1.25367334060826,"Human (Adult)",NA,NA
"2672","DCTD",2.03182459099191,"Human (Adult)",2.03260581906799,"Human (Fetal)"
"2673","DCTN1",2.77218728048615,"Human (Adult)",2.64990577695269,"Human (Fetal)"
"2674","DCTN2",1.17449209456064,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2675","DCTN3",2.17449209456064,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2676","DCTN4",1.58946544253146,"Human (Adult)",2.05280920515628,"Human (Fetal)"
"2677","DCTN5",1.75427569117745,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"2678","DCTN6",1.17449209456064,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2679","DCTPP1",1.42976459966395,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2680","DCUN1D1",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2681","DCUN1D2",1.51691477538285,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2682","DCUN1D3",NA,NA,1.31244651566203,"Human (Fetal)"
"2683","DCUN1D4",1.47552209022462,"Human (Adult)",2.21553650265398,"Human (Fetal)"
"2684","DCUN1D5",0.776552085888602,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2685","DCX",1.55470333627225,"Human (Adult)",2.68351437793377,"Human (Fetal)"
"2686","DCXR",2.22371011723082,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2687","DDA1",1.25367334060826,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2688","DDAH1",2.11897476671081,"Human (Adult)",2.24186544137633,"Human (Fetal)"
"2689","DDB1",2.24637410186677,"Human (Adult)",2.54289543704031,"Human (Fetal)"
"2690","DDB2",0.776552085888602,"Human (Adult)",NA,NA
"2691","DDHD1",NA,NA,1.31244651566203,"Human (Fetal)"
"2692","DDHD2",1.81794477104683,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2693","DDIAS",NA,NA,1.01141651999805,"Human (Fetal)"
"2694","DDIT3",1.87346209889666,"Human (Adult)",NA,NA
"2695","DDIT4",2.67964207288055,"Human (Adult)",2.61347651132602,"Human (Fetal)"
"2696","DDIT4L",1.37861207721656,"Human (Adult)",NA,NA
"2697","DDN",1.47552209022462,"Human (Adult)",NA,NA
"2698","DDN-AS1",0.776552085888602,"Human (Adult)",NA,NA
"2699","DDOST",1.99403603010251,"Human (Adult)",2.5364613270349,"Human (Fetal)"
"2700","DDR1",1.25367334060826,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2701","DDR2",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2702","DDRGK1",2.0195901345749,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"2703","DDX1",2.53621993057823,"Human (Adult)",2.82432987664091,"Human (Fetal)"
"2704","DDX10",1.32062013023888,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2705","DDX11",0.776552085888602,"Human (Adult)",NA,NA
"2706","DDX17",1.51691477538285,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2707","DDX18",1.7765520858886,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2708","DDX19A",1.6516133492803,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2709","DDX19B",0.776552085888602,"Human (Adult)",2.03260581906799,"Human (Fetal)"
"2710","DDX20",1.25367334060826,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2711","DDX21",0.952643344944283,"Human (Adult)",NA,NA
"2712","DDX23",1.58946544253146,"Human (Adult)",2.01141651999805,"Human (Fetal)"
"2713","DDX24",2.74269381862764,"Human (Adult)",2.77484451356099,"Human (Fetal)"
"2714","DDX25",1.47552209022462,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2715","DDX27",1.75427569117745,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"2716","DDX31",NA,NA,1.40935652867009,"Human (Fetal)"
"2717","DDX39A",1.67964207288055,"Human (Adult)",2.20174821816834,"Human (Fetal)"
"2718","DDX3X",1.87346209889666,"Human (Adult)",2.38248438226979,"Human (Fetal)"
"2719","DDX3Y",1.55470333627225,"Human (Adult)",NA,NA
"2720","DDX41",2.25367334060826,"Human (Adult)",2.30145113136057,"Human (Fetal)"
"2721","DDX42",1.55470333627225,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"2722","DDX46",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2723","DDX47",2.1382799219062,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"2724","DDX49",1.87346209889666,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"2725","DDX5",2.4925554295234,"Human (Adult)",2.7822685316402,"Human (Fetal)"
"2726","DDX50",1.79774138495854,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"2727","DDX51",0.776552085888602,"Human (Adult)",NA,NA
"2728","DDX52",NA,NA,1.31244651566203,"Human (Fetal)"
"2729","DDX54",1.92268012156684,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2730","DDX55",1.32062013023888,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2731","DDX56",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2732","DDX56_TMED4",NA,NA,1.01141651999805,"Human (Fetal)"
"2733","DDX58",0.776552085888602,"Human (Adult)",NA,NA
"2734","DDX59",1.07758208155258,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2735","DDX6",NA,NA,1.18750777905373,"Human (Fetal)"
"2736","DEAF1",2.7355934782097,"Human (Adult)",2.66942791665517,"Human (Fetal)"
"2737","DECR1",1.62165012590286,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2738","DECR2",1.37861207721656,"Human (Adult)",NA,NA
"2739","DEDD",1.32062013023888,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"2740","DEDD2",1.87346209889666,"Human (Adult)",2.09059776604568,"Human (Fetal)"
"2741","DEF8",2.44864994382432,"Human (Adult)",2.14175028849306,"Human (Fetal)"
"2742","DEGS1",1.89049543819544,"Human (Adult)",1.88647778338975,"Human (Fetal)"
"2743","DEGS2",0.776552085888602,"Human (Adult)",NA,NA
"2744","DEK",1.83724992624221,"Human (Adult)",2.58544778772577,"Human (Fetal)"
"2745","DELE1",1.51691477538285,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2746","DENND1A",1.07758208155258,"Human (Adult)",NA,NA
"2747","DENND1B",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2748","DENND2A",1.07758208155258,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2749","DENND3",1.25367334060826,"Human (Adult)",NA,NA
"2750","DENND4B",1.62165012590286,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2751","DENND4C",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2752","DENND5A",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2753","DENND5B",NA,NA,1.40935652867009,"Human (Fetal)"
"2754","DENND6B",2.03182459099191,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"2755","DENR",1.75427569117745,"Human (Adult)",2.12535987230489,"Human (Fetal)"
"2756","DEPDC1B",NA,NA,1.61347651132602,"Human (Fetal)"
"2757","DEPDC5",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2758","DEPP1",2.67417917717904,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"2759","DEPTOR",1.32062013023888,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2760","DERA",1.32062013023888,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2761","DERL1",1.6516133492803,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2762","DERL2",1.25367334060826,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"2763","DESI1",1.07758208155258,"Human (Adult)",NA,NA
"2764","DESI2",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2765","DET1",1.25367334060826,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"2766","DEXI",2.42491209686953,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2767","DFFA",0.776552085888602,"Human (Adult)",NA,NA
"2768","DGAT1",1.85573333193623,"Human (Adult)",NA,NA
"2769","DGAT1_AC233992.1",NA,NA,1.18750777905373,"Human (Fetal)"
"2770","DGAT2",1.51691477538285,"Human (Adult)",NA,NA
"2771","DGCR2",2.18309226632256,"Human (Adult)",2.40935652867009,"Human (Fetal)"
"2772","DGCR5",1.73079459532793,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2773","DGCR6",1.07758208155258,"Human (Adult)",NA,NA
"2774","DGCR6L",2.35058335361632,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2775","DGCR8",NA,NA,1.7517792094923,"Human (Fetal)"
"2776","DGCR9",1.32062013023888,"Human (Adult)",NA,NA
"2777","DGKA",1.25367334060826,"Human (Adult)",NA,NA
"2778","DGKB",0.776552085888602,"Human (Adult)",NA,NA
"2779","DGKD",0.776552085888602,"Human (Adult)",1.94083544571235,"Human (Fetal)"
"2780","DGKE",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2781","DGKG",0.952643344944283,"Human (Adult)",NA,NA
"2782","DGKI",0.952643344944283,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2783","DGKQ",1.37861207721656,"Human (Adult)",NA,NA
"2784","DGKZ",3.0183475171838,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2785","DGLUCY",2.1382799219062,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"2786","DGUOK",1.55470333627225,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2787","DHCR24",2.55106905161715,"Human (Adult)",2.57961824406505,"Human (Fetal)"
"2788","DHCR7",2.0195901345749,"Human (Adult)",2.29017012095088,"Human (Fetal)"
"2789","DHDDS",1.70597101160289,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2790","DHFR",1.37861207721656,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"2791","DHFR2",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2792","DHODH",0.952643344944283,"Human (Adult)",NA,NA
"2793","DHPS",2.15676332760021,"Human (Adult)",2.39162776170966,"Human (Fetal)"
"2794","DHRS1",1.32062013023888,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2795","DHRS11",NA,NA,1.01141651999805,"Human (Fetal)"
"2796","DHRS12",1.32062013023888,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2797","DHRS13",1.07758208155258,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2798","DHRS3",1.42976459966395,"Human (Adult)",NA,NA
"2799","DHRS4",1.42976459966395,"Human (Adult)",NA,NA
"2800","DHRS4-AS1",1.17449209456064,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2801","DHRS7",2.12873460399996,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2802","DHRS7B",1.70597101160289,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2803","DHRSX",NA,NA,1.01141651999805,"Human (Fetal)"
"2804","DHX15",1.81794477104683,"Human (Adult)",2.50972707378765,"Human (Fetal)"
"2805","DHX29",1.32062013023888,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2806","DHX30",2.28170206420851,"Human (Adult)",2.46626138000656,"Human (Fetal)"
"2807","DHX32",1.17449209456064,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2808","DHX34",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2809","DHX35",1.17449209456064,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2810","DHX36",1.51691477538285,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"2811","DHX37",0.776552085888602,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2812","DHX38",0.952643344944283,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2813","DHX40",1.07758208155258,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"2814","DHX57",1.25367334060826,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2815","DHX58",0.776552085888602,"Human (Adult)",NA,NA
"2816","DHX8",0.952643344944283,"Human (Adult)",NA,NA
"2817","DHX9",1.32062013023888,"Human (Adult)",2.29017012095088,"Human (Fetal)"
"2818","DIABLO",1.32062013023888,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2819","DIAPH1",1.47552209022462,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2820","DICER1",1.07758208155258,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"2821","DICER1-AS1",1.32062013023888,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2822","DIDO1",1.62165012590286,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"2823","DIMT1",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2824","DIO2",1.07758208155258,"Human (Adult)",NA,NA
"2825","DIP2A",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"2826","DIP2B",1.07758208155258,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"2827","DIP2C",NA,NA,1.01141651999805,"Human (Fetal)"
"2828","DIPK1A",1.73079459532793,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"2829","DIPK1B",1.75427569117745,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"2830","DIPK1C",1.32062013023888,"Human (Adult)",NA,NA
"2831","DIPK2A",1.67964207288055,"Human (Adult)",1.6646290337734,"Human (Fetal)"
"2832","DIPK2B",NA,NA,1.18750777905373,"Human (Fetal)"
