"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)"
"57","ABHD17C",1.92268012156684,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"58","ABHD2",0.776552085888602,"Human (Adult)",1.55548456434833,"Human (Fetal)"
"59","ABHD3",1.37861207721656,"Human (Adult)",1.9891401252869,"Human (Fetal)"
"60","ABHD4",1.37861207721656,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"61","ABHD5",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"62","ABHD6",2.15676332760021,"Human (Adult)",2.01141651999805,"Human (Fetal)"
"63","ABHD8",2.62781043460768,"Human (Adult)",2.15754455567629,"Human (Fetal)"
"64","ABI1",1.90688585438361,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"65","ABI2",NA,NA,1.6646290337734,"Human (Fetal)"
"66","ABITRAM",1.70597101160289,"Human (Adult)",1.7895677703817,"Human (Fetal)"
"67","ABL1",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)"
"68","ABLIM1",0.776552085888602,"Human (Adult)",NA,NA
"69","ABLIM2",1.75427569117745,"Human (Adult)",NA,NA
"70","ABLIM3",0.776552085888602,"Human (Adult)",NA,NA
"71","ABR",1.17449209456064,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"72","ABRACL",1.42976459966395,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"73","ABRAXAS2",1.47552209022462,"Human (Adult)",1.71038652433407,"Human (Fetal)"
"74","ABT1",0.776552085888602,"Human (Adult)",1.40935652867009,"Human (Fetal)"
"75","ABTB1",2.46229382449087,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"76","ABTB2",0.776552085888602,"Human (Adult)",NA,NA
"77","AC000035.1_RFPL1S",1.07758208155258,"Human (Adult)",NA,NA
"78","AC000068.1",NA,NA,1.18750777905373,"Human (Fetal)"
"79","AC000093.1",1.55470333627225,"Human (Adult)",NA,NA
"80","AC003112.1",3.06769884762049,"Human (Adult)",2.61347651132602,"Human (Fetal)"
"81","AC003665.1",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"82","AC004086.1",2.0195901345749,"Human (Adult)",2.22890046421196,"Human (Fetal)"
"83","AC004156.1",2.08830594694436,"Human (Adult)",1.85651456001231,"Human (Fetal)"
"84","AC004475.1",2.14761994816034,"Human (Adult)",2.27858824840107,"Human (Fetal)"
"85","AC004540.1",1.17449209456064,"Human (Adult)",NA,NA
"86","AC004967.1_OR7E38P",0.776552085888602,"Human (Adult)",NA,NA
"87","AC004980.1",0.952643344944283,"Human (Adult)",NA,NA
"88","AC005229.5_AC006974.2",NA,NA,1.01141651999805,"Human (Fetal)"
"89","AC005261.1",0.776552085888602,"Human (Adult)",1.48853777471772,"Human (Fetal)"
"90","AC005332.4_AMZ2",0.952643344944283,"Human (Adult)",NA,NA
"91","AC005498.3",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"92","AC005562.1",0.776552085888602,"Human (Adult)",NA,NA
"93","AC005670.3",1.17449209456064,"Human (Adult)",NA,NA
"94","AC005696.4_CCDC92B",0.776552085888602,"Human (Adult)",NA,NA
"95","AC005747.1",1.47552209022462,"Human (Adult)",1.31244651566203,"Human (Fetal)"
"96","AC005753.3",0.776552085888602,"Human (Adult)",NA,NA
"97","AC005840.1",0.776552085888602,"Human (Adult)",NA,NA
"98","AC005865.2",0.952643344944283,"Human (Adult)",NA,NA
"99","AC005954.1",1.47552209022462,"Human (Adult)",1.61347651132602,"Human (Fetal)"
"100","AC006001.3",1.17449209456064,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"101","AC006059.1",0.776552085888602,"Human (Adult)",NA,NA
"102","AC006115.2",0.776552085888602,"Human (Adult)",1.01141651999805,"Human (Fetal)"
"103","AC006213.2",1.51691477538285,"Human (Adult)",NA,NA
"104","AC006213.2_ZNF404",NA,NA,1.01141651999805,"Human (Fetal)"
"105","AC006450.3",0.776552085888602,"Human (Adult)",NA,NA
"106","AC006453.2",NA,NA,1.40935652867009,"Human (Fetal)"
"107","AC006538.1",2.18309226632256,"Human (Adult)",2.07211436035166,"Human (Fetal)"
"108","AC006946.2_CECR7",0.776552085888602,"Human (Adult)",NA,NA
"109","AC007068.1_CLEC2D_AC010186.2",NA,NA,1.01141651999805,"Human (Fetal)"
"110","AC007848.2",NA,NA,1.01141651999805,"Human (Fetal)"
"111","AC008105.1",NA,NA,1.01141651999805,"Human (Fetal)"
"112","AC008267.5",0.952643344944283,"Human (Adult)",NA,NA
"113","AC008393.1",NA,NA,1.01141651999805,"Human (Fetal)"
"114","AC008525.1",0.776552085888602,"Human (Adult)",1.82432987664091,"Human (Fetal)"
"115","AC008554.1",NA,NA,1.48853777471772,"Human (Fetal)"
"116","AC008780.1",1.32062013023888,"Human (Adult)",NA,NA
"117","AC009041.2",2.35058335361632,"Human (Adult)",1.7517792094923,"Human (Fetal)"
"118","AC009054.2_CFDP1",NA,NA,1.01141651999805,"Human (Fetal)"
"119","AC009086.2_SMG1P2",NA,NA,1.01141651999805,"Human (Fetal)"
"120","AC009126.1",NA,NA,1.01141651999805,"Human (Fetal)"
"121","AC009133.5_PRRT2",NA,NA,1.01141651999805,"Human (Fetal)"
"122","AC009412.1",1.83724992624221,"Human (Adult)",2.15754455567629,"Human (Fetal)"
"123","AC009779.2",0.952643344944283,"Human (Adult)",NA,NA
"124","AC009779.3",NA,NA,1.01141651999805,"Human (Fetal)"
"125","AC009879.2_AC009879.3",0.776552085888602,"Human (Adult)",NA,NA
"126","AC009879.3",0.776552085888602,"Human (Adult)",NA,NA
"127","AC010186.2",NA,NA,1.01141651999805,"Human (Fetal)"
"128","AC010327.6_PPP6R1",NA,NA,1.01141651999805,"Human (Fetal)"
