"","associated_gene","Human (Adult)_Detected_LogTPM_Isoseq","Human (Adult)","Human (Fetal)_Detected_LogTPM_Isoseq","Human (Fetal)","isoseq_comparison"
"1","A2M",2.24637410186677,"Human (Adult)",2.41795670043201,"Human (Fetal)",0.929038183961447
"2","AAAS",1.75427569117745,"Human (Adult)",2.17278452223303,"Human (Fetal)",0.807385947951495
"3","AACS",1.98067206854453,"Human (Adult)",1.7895677703817,"Human (Fetal)",1.10678796373387
"4","AADAT",0.776552085888602,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.481291224531309
"5","AAGAB",1.98067206854453,"Human (Adult)",1.85651456001231,"Human (Fetal)",1.06687666835826
"6","AAMP",2.50490586790983,"Human (Adult)",2.48123853597622,"Human (Fetal)",1.00953851537869
"7","AAR2",1.7765520858886,"Human (Adult)",2.03260581906799,"Human (Fetal)",0.874026862081505
"8","AARS",2.74033991323416,"Human (Adult)",2.39162776170966,"Human (Fetal)",1.14580536198293
"9","AARS2",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"10","AARSD1",1.95264334494428,"Human (Adult)",1.9891401252869,"Human (Fetal)",0.981651981236187
"11","AASDHPPT",2.51294858816524,"Human (Adult)",2.88936347162724,"Human (Fetal)",0.869723941913751
"12","AATF",2.06658669725112,"Human (Adult)",2.27858824840107,"Human (Fetal)",0.906959253696357
"13","AATK",1.81794477104683,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.53089083129666
"14","ABAT",1.7765520858886,"Human (Adult)",1.40935652867009,"Human (Fetal)",1.26054128231485
"15","ABCA2",1.42976459966395,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.20400440728334
"16","ABCA3",0.776552085888602,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.591682843164766
"17","ABCA5",1.75427569117745,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.3366454710671
"18","ABCB6",1.99403603010251,"Human (Adult)",1.9891401252869,"Human (Fetal)",1.00246131720605
"19","ABCB7",0.952643344944283,"Human (Adult)",1.31244651566203,"Human (Fetal)",0.725853079402435
"20","ABCB8",1.47552209022462,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.45886690700629
"21","ABCB9",1.70597101160289,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.29984040587159
"22","ABCC10",0.776552085888602,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.653934314861835
"23","ABCC5",1.95264334494428,"Human (Adult)",2.56164487305315,"Human (Fetal)",0.762261531832469
"24","ABCD3",1.32062013023888,"Human (Adult)",1.7517792094923,"Human (Fetal)",0.753873617795488
"25","ABCD4",1.47552209022462,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.12425312012073
"26","ABCE1",0.952643344944283,"Human (Adult)",1.18750777905373,"Human (Fetal)",0.8022207195168
"27","ABCF1",1.07758208155258,"Human (Adult)",1.61347651132602,"Human (Fetal)",0.667863507146433
"28","ABCF2",1.7765520858886,"Human (Adult)",1.48853777471772,"Human (Fetal)",1.19348807673054
"29","ABCF3",1.37861207721656,"Human (Adult)",1.6646290337734,"Human (Fetal)",0.828179762124847
"30","ABCG1",1.32062013023888,"Human (Adult)",1.31244651566203,"Human (Fetal)",1.00622776964951
"31","ABCG2",0.952643344944283,"Human (Adult)",1.01141651999805,"Human (Fetal)",0.941890236226434
"32","ABHD10",2.2748626396782,"Human (Adult)",2.42638986796887,"Human (Fetal)",0.93755033752366
"33","ABHD11",1.37861207721656,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.36305078072011
"34","ABHD12",2.55106905161715,"Human (Adult)",2.43466239393486,"Human (Fetal)",1.04781223793996
"35","ABHD13",1.32062013023888,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.3057134267902
"36","ABHD14A",2.18309226632256,"Human (Adult)",1.18750777905373,"Human (Fetal)",1.83838144459328
"37","ABHD17A",2.9242284101297,"Human (Adult)",1.61347651132602,"Human (Fetal)",1.81237742824435
"38","ABHD17B",1.07758208155258,"Human (Adult)",1.88647778338975,"Human (Fetal)",0.571213767286626
"39","ABHD17C",1.92268012156684,"Human (Adult)",1.01141651999805,"Human (Fetal)",1.90097757308783
"40","ABHD2",0.776552085888602,"Human (Adult)",1.55548456434833,"Human (Fetal)",0.499234838896611
"41","ABHD3",1.37861207721656,"Human (Adult)",1.9891401252869,"Human (Fetal)",0.693069361826746
