"","associated_gene","Human","Human_Detected_Num_Isoseq","Human_Known_Num_Gencode","Human_Normalised","Mouse","Mouse_Detected_Num_Isoseq","Mouse_Known_Num_Gencode","Mouse_Normalised","Detected","isoseq_comparison_HumanvsMouse","isoseq_comparison_MousevsHuman","isoseq_comparison_normalisedHumanvsMouse","isoseq_comparison_normalisedMousevsHuman","isoseq_comparison_diff"
"2298","A4GALT","Human",1,7,0.142857142857143,"Mouse",2,4,0.5,"Both",0.5,2,0.285714285714286,3.5,1
"2468","AAAS","Human",3,20,0.15,"Mouse",1,13,0.0769230769230769,"Both",3,0.333333333333333,1.95,0.512820512820513,2
"2469","AACS","Human",1,12,0.0833333333333333,"Mouse",1,6,0.166666666666667,"Both",1,1,0.5,2,0
"2478","AAGAB","Human",2,7,0.285714285714286,"Mouse",1,3,0.333333333333333,"Both",2,0.5,0.857142857142857,1.16666666666667,1
"2481","AAMP","Human",3,10,0.3,"Mouse",1,6,0.166666666666667,"Both",3,0.333333333333333,1.8,0.555555555555556,2
"2483","AAR2","Human",2,3,0.666666666666667,"Mouse",1,5,0.2,"Both",2,0.5,3.33333333333333,0.3,1
"2485","AARS","Human",1,7,0.142857142857143,"Mouse",1,7,0.142857142857143,"Both",1,1,1,1,0
"2486","AARS2","Human",1,2,0.5,"Mouse",1,4,0.25,"Both",1,1,2,0.5,0
"2487","AARSD1","Human",2,19,0.105263157894737,"Mouse",1,5,0.2,"Both",2,0.5,0.526315789473684,1.9,1
"2489","AASDH","Human",1,10,0.1,"Mouse",1,15,0.0666666666666667,"Both",1,1,1.5,0.666666666666667,0
"2490","AASDHPPT","Human",1,5,0.2,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.3,3.33333333333333,1
"2493","AATF","Human",1,9,0.111111111111111,"Mouse",1,4,0.25,"Both",1,1,0.444444444444444,2.25,0
"2494","AATK","Human",1,11,0.0909090909090909,"Mouse",4,9,0.444444444444444,"Both",0.25,4,0.204545454545455,4.88888888888889,3
"2497","ABAT","Human",3,16,0.1875,"Mouse",2,7,0.285714285714286,"Both",1.5,0.666666666666667,0.65625,1.52380952380952,1
"2513","ABCA2","Human",1,24,0.0416666666666667,"Mouse",1,7,0.142857142857143,"Both",1,1,0.291666666666667,3.42857142857143,0
"2514","ABCA3","Human",1,6,0.166666666666667,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.75,1.33333333333333,1
"2516","ABCA5","Human",2,14,0.142857142857143,"Mouse",1,5,0.2,"Both",2,0.5,0.714285714285714,1.4,1
"2524","ABCB10","Human",1,3,0.333333333333333,"Mouse",1,1,1,"Both",1,1,0.333333333333333,3,0
"2532","ABCB6","Human",1,13,0.0769230769230769,"Mouse",1,6,0.166666666666667,"Both",1,1,0.461538461538462,2.16666666666667,0
"2533","ABCB7","Human",1,17,0.0588235294117647,"Mouse",1,2,0.5,"Both",1,1,0.117647058823529,8.5,0
"2534","ABCB8","Human",1,22,0.0454545454545455,"Mouse",1,9,0.111111111111111,"Both",1,1,0.409090909090909,2.44444444444444,0
"2535","ABCB9","Human",4,21,0.19047619047619,"Mouse",1,6,0.166666666666667,"Both",4,0.25,1.14285714285714,0.875,3
"2544","ABCC5","Human",5,13,0.384615384615385,"Mouse",2,13,0.153846153846154,"Both",2.5,0.4,2.5,0.4,3
"2549","ABCC8","Human",2,54,0.037037037037037,"Mouse",1,8,0.125,"Both",2,0.5,0.296296296296296,3.375,1
"2551","ABCD1","Human",1,3,0.333333333333333,"Mouse",2,2,1,"Both",0.5,2,0.333333333333333,3,1
"2557","ABCD3","Human",1,7,0.142857142857143,"Mouse",1,6,0.166666666666667,"Both",1,1,0.857142857142857,1.16666666666667,0
"2558","ABCD4","Human",2,28,0.0714285714285714,"Mouse",1,10,0.1,"Both",2,0.5,0.714285714285714,1.4,1
"2559","ABCE1","Human",1,10,0.1,"Mouse",2,4,0.5,"Both",0.5,2,0.2,5,1
"2561","ABCF2","Human",1,6,0.166666666666667,"Mouse",1,1,1,"Both",1,1,0.166666666666667,6,0
"2564","ABCF3","Human",1,18,0.0555555555555556,"Mouse",1,10,0.1,"Both",1,1,0.555555555555555,1.8,0
"2565","ABCG1","Human",2,11,0.181818181818182,"Mouse",1,5,0.2,"Both",2,0.5,0.909090909090909,1.1,1
"2568","ABCG4","Human",1,6,0.166666666666667,"Mouse",2,10,0.2,"Both",0.5,2,0.833333333333333,1.2,1
"2571","ABHD1","Human",1,8,0.125,"Mouse",1,2,0.5,"Both",1,1,0.25,4,0
"2572","ABHD10","Human",3,5,0.6,"Mouse",1,5,0.2,"Both",3,0.333333333333333,3,0.333333333333333,2
"2573","ABHD11","Human",1,14,0.0714285714285714,"Mouse",2,7,0.285714285714286,"Both",0.5,2,0.25,4,1
"2576","ABHD12","Human",2,9,0.222222222222222,"Mouse",2,7,0.285714285714286,"Both",1,1,0.777777777777778,1.28571428571429,0
"2578","ABHD13","Human",1,1,1,"Mouse",2,2,1,"Both",0.5,2,1,1,1
"2581","ABHD14B","Human",1,8,0.125,"Mouse",2,10,0.2,"Both",0.5,2,0.625,1.6,1
"2584","ABHD16A","Human",1,16,0.0625,"Mouse",1,7,0.142857142857143,"Both",1,1,0.4375,2.28571428571429,0
"2586","ABHD17A","Human",1,6,0.166666666666667,"Mouse",2,4,0.5,"Both",0.5,2,0.333333333333333,3,1
"2595","ABHD17B","Human",1,2,0.5,"Mouse",1,3,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"2596","ABHD17C","Human",1,5,0.2,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.3,3.33333333333333,1
"2598","ABHD2","Human",1,10,0.1,"Mouse",1,2,0.5,"Both",1,1,0.2,5,0
"2599","ABHD3","Human",2,10,0.2,"Mouse",2,5,0.4,"Both",1,1,0.5,2,0
