"","associated_gene","Human","Human_Detected_Num_Isoseq","Human_Known_Num_Gencode","Human_Normalised","Mouse","Mouse_Detected_Num_Isoseq","Mouse_Known_Num_Gencode","Mouse_Normalised","Detected","isoseq_comparison_HumanvsMouse","isoseq_comparison_MousevsHuman","isoseq_comparison_normalisedHumanvsMouse","isoseq_comparison_normalisedMousevsHuman","isoseq_comparison_diff"
"2600","ABHD4","Human",1,10,0.1,"Mouse",2,8,0.25,"Both",0.5,2,0.4,2.5,1
"2601","ABHD5","Human",1,16,0.0625,"Mouse",1,8,0.125,"Both",1,1,0.5,2,0
"2602","ABHD6","Human",2,7,0.285714285714286,"Mouse",3,3,1,"Both",0.666666666666667,1.5,0.285714285714286,3.5,1
"2603","ABHD8","Human",1,3,0.333333333333333,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.5,2,1
"2604","ABI1","Human",5,13,0.384615384615385,"Mouse",3,15,0.2,"Both",1.66666666666667,0.6,1.92307692307692,0.52,2
"2606","ABI2","Human",1,24,0.0416666666666667,"Mouse",4,12,0.333333333333333,"Both",0.25,4,0.125,8,3
"2609","ABITRAM","Human",1,4,0.25,"Mouse",2,4,0.5,"Both",0.5,2,0.5,2,1
"2611","ABL1","Human",2,3,0.666666666666667,"Mouse",3,10,0.3,"Both",0.666666666666667,1.5,2.22222222222222,0.45,1
"2619","ABRACL","Human",1,2,0.5,"Mouse",2,5,0.4,"Both",0.5,2,1.25,0.8,1
"2621","ABRAXAS2","Human",1,1,1,"Mouse",3,8,0.375,"Both",0.333333333333333,3,2.66666666666667,0.375,2
"2622","ABT1","Human",1,1,1,"Mouse",1,1,1,"Both",1,1,1,1,0
"2624","ABTB1","Human",4,15,0.266666666666667,"Mouse",1,12,0.0833333333333333,"Both",4,0.25,3.2,0.3125,3
"2625","ABTB2","Human",1,2,0.5,"Mouse",1,3,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"17211","ACAA1","Human",2,20,0.1,"Mouse",1,10,0.1,"Both",2,0.5,1,1,1
"17213","ACAA2","Human",2,7,0.285714285714286,"Mouse",1,2,0.5,"Both",2,0.5,0.571428571428571,1.75,1
"17217","ACAD11","Human",2,10,0.2,"Mouse",1,8,0.125,"Both",2,0.5,1.6,0.625,1
"17219","ACAD8","Human",1,17,0.0588235294117647,"Mouse",1,8,0.125,"Both",1,1,0.470588235294118,2.125,0
"17220","ACAD9","Human",2,12,0.166666666666667,"Mouse",1,10,0.1,"Both",2,0.5,1.66666666666667,0.6,1
"17222","ACADM","Human",2,18,0.111111111111111,"Mouse",1,10,0.1,"Both",2,0.5,1.11111111111111,0.9,1
"17223","ACADS","Human",1,3,0.333333333333333,"Mouse",1,4,0.25,"Both",1,1,1.33333333333333,0.75,0
"17224","ACADSB","Human",1,4,0.25,"Mouse",1,7,0.142857142857143,"Both",1,1,1.75,0.571428571428571,0
"17225","ACADVL","Human",3,39,0.0769230769230769,"Mouse",1,7,0.142857142857143,"Both",3,0.333333333333333,0.538461538461539,1.85714285714286,2
"17230","ACAP3","Human",1,13,0.0769230769230769,"Mouse",1,9,0.111111111111111,"Both",1,1,0.692307692307692,1.44444444444444,0
"17231","ACAT1","Human",1,12,0.0833333333333333,"Mouse",1,3,0.333333333333333,"Both",1,1,0.25,4,0
"17232","ACAT2","Human",1,3,0.333333333333333,"Mouse",3,4,0.75,"Both",0.333333333333333,3,0.444444444444444,2.25,2
"17234","ACBD3","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17237","ACBD5","Human",3,8,0.375,"Mouse",4,18,0.222222222222222,"Both",0.75,1.33333333333333,1.6875,0.592592592592593,1
"17238","ACBD6","Human",1,8,0.125,"Mouse",3,6,0.5,"Both",0.333333333333333,3,0.25,4,2
"17242","ACD","Human",3,15,0.2,"Mouse",1,5,0.2,"Both",3,0.333333333333333,1,1,2
"17250","ACIN1","Human",5,23,0.217391304347826,"Mouse",5,26,0.192307692307692,"Both",1,1,1.1304347826087,0.884615384615385,0
"17251","ACKR1","Human",1,4,0.25,"Mouse",1,3,0.333333333333333,"Both",1,1,0.75,1.33333333333333,0
"17253","ACKR3","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17255","ACLY","Human",2,10,0.2,"Mouse",2,7,0.285714285714286,"Both",1,1,0.7,1.42857142857143,0
"17260","ACO1","Human",1,3,0.333333333333333,"Mouse",1,4,0.25,"Both",1,1,1.33333333333333,0.75,0
"17261","ACO2","Human",1,7,0.142857142857143,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.642857142857143,1.55555555555556,1
"17263","ACOT1","Human",1,2,0.5,"Mouse",1,4,0.25,"Both",1,1,2,0.5,0
"17267","ACOT13","Human",1,3,0.333333333333333,"Mouse",1,2,0.5,"Both",1,1,0.666666666666667,1.5,0
"17268","ACOT2","Human",1,5,0.2,"Mouse",1,1,1,"Both",1,1,0.2,5,0
"17273","ACOT7","Human",3,10,0.3,"Mouse",1,6,0.166666666666667,"Both",3,0.333333333333333,1.8,0.555555555555556,2
"17274","ACOT8","Human",3,13,0.230769230769231,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,0.576923076923077,1.73333333333333,1
"17275","ACOT9","Human",1,8,0.125,"Mouse",1,4,0.25,"Both",1,1,0.5,2,0
"17276","ACOX1","Human",1,13,0.0769230769230769,"Mouse",1,7,0.142857142857143,"Both",1,1,0.538461538461539,1.85714285714286,0
"17278","ACOX3","Human",1,8,0.125,"Mouse",2,10,0.2,"Both",0.5,2,0.625,1.6,1
"17281","ACP1","Human",4,13,0.307692307692308,"Mouse",1,6,0.166666666666667,"Both",4,0.25,1.84615384615385,0.541666666666667,3
"17282","ACP2","Human",1,4,0.25,"Mouse",1,5,0.2,"Both",1,1,1.25,0.8,0
"17291","ACSBG1","Human",1,14,0.0714285714285714,"Mouse",1,5,0.2,"Both",1,1,0.357142857142857,2.8,0
"17293","ACSF2","Human",1,25,0.04,"Mouse",1,4,0.25,"Both",1,1,0.16,6.25,0
"17294","ACSF3","Human",2,19,0.105263157894737,"Mouse",2,4,0.5,"Both",1,1,0.210526315789474,4.75,0
"17295","ACSL1","Human",2,12,0.166666666666667,"Mouse",3,11,0.272727272727273,"Both",0.666666666666667,1.5,0.611111111111111,1.63636363636364,1
"17296","ACSL3","Human",2,11,0.181818181818182,"Mouse",3,7,0.428571428571429,"Both",0.666666666666667,1.5,0.424242424242424,2.35714285714286,1
"17297","ACSL4","Human",1,12,0.0833333333333333,"Mouse",2,5,0.4,"Both",0.5,2,0.208333333333333,4.8,1
"17299","ACSL6","Human",2,34,0.0588235294117647,"Mouse",5,15,0.333333333333333,"Both",0.4,2.5,0.176470588235294,5.66666666666667,3
"17308","ACSS1","Human",1,5,0.2,"Mouse",1,5,0.2,"Both",1,1,1,1,0
"17309","ACSS2","Human",1,24,0.0416666666666667,"Mouse",2,10,0.2,"Both",0.5,2,0.208333333333333,4.8,1
"17313","ACTA2","Human",1,6,0.166666666666667,"Mouse",1,2,0.5,"Both",1,1,0.333333333333333,3,0
"17315","ACTB","Human",3,18,0.166666666666667,"Mouse",1,9,0.111111111111111,"Both",3,0.333333333333333,1.5,0.666666666666667,2
"17330","ACTG1","Human",3,16,0.1875,"Mouse",2,9,0.222222222222222,"Both",1.5,0.666666666666667,0.84375,1.18518518518519,1
"17354","ACTL6A","Human",1,14,0.0714285714285714,"Mouse",2,8,0.25,"Both",0.5,2,0.285714285714286,3.5,1
"17355","ACTL6B","Human",1,6,0.166666666666667,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.75,1.33333333333333,1
"17360","ACTN1","Human",4,21,0.19047619047619,"Mouse",2,7,0.285714285714286,"Both",2,0.5,0.666666666666667,1.5,2
"17362","ACTN2","Human",4,13,0.307692307692308,"Mouse",1,5,0.2,"Both",4,0.25,1.53846153846154,0.65,3
"17368","ACTR10","Human",1,16,0.0625,"Mouse",1,8,0.125,"Both",1,1,0.5,2,0
"17369","ACTR1A","Human",1,7,0.142857142857143,"Mouse",1,7,0.142857142857143,"Both",1,1,1,1,0
"17370","ACTR1B","Human",1,3,0.333333333333333,"Mouse",1,7,0.142857142857143,"Both",1,1,2.33333333333333,0.428571428571429,0
"17371","ACTR2","Human",2,5,0.4,"Mouse",3,3,1,"Both",0.666666666666667,1.5,0.4,2.5,1
"17372","ACTR3","Human",1,8,0.125,"Mouse",2,12,0.166666666666667,"Both",0.5,2,0.75,1.33333333333333,1
"17373","ACTR3B","Human",3,5,0.6,"Mouse",2,3,0.666666666666667,"Both",1.5,0.666666666666667,0.9,1.11111111111111,1
"17383","ACTR5","Human",1,1,1,"Mouse",2,5,0.4,"Both",0.5,2,2.5,0.4,1
"17384","ACTR6","Human",2,13,0.153846153846154,"Mouse",1,6,0.166666666666667,"Both",2,0.5,0.923076923076923,1.08333333333333,1
"17386","ACTR8","Human",1,6,0.166666666666667,"Mouse",1,9,0.111111111111111,"Both",1,1,1.5,0.666666666666667,0
"17390","ACVR1","Human",1,10,0.1,"Mouse",1,6,0.166666666666667,"Both",1,1,0.6,1.66666666666667,0
"17391","ACVR1B","Human",1,7,0.142857142857143,"Mouse",1,1,1,"Both",1,1,0.142857142857143,7,0
"17392","ACVR1C","Human",1,4,0.25,"Mouse",2,5,0.4,"Both",0.5,2,0.625,1.6,1
"17393","ACVR2A","Human",1,7,0.142857142857143,"Mouse",1,2,0.5,"Both",1,1,0.285714285714286,3.5,0
"17394","ACVR2B","Human",1,3,0.333333333333333,"Mouse",1,6,0.166666666666667,"Both",1,1,2,0.5,0
"17397","ACY1","Human",1,29,0.0344827586206897,"Mouse",1,12,0.0833333333333333,"Both",1,1,0.413793103448276,2.41666666666667,0
"17399","ACYP1","Human",1,6,0.166666666666667,"Mouse",2,4,0.5,"Both",0.5,2,0.333333333333333,3,1
"17400","ACYP2","Human",3,9,0.333333333333333,"Mouse",1,1,1,"Both",3,0.333333333333333,0.333333333333333,3,2
"17411","ADA","Human",2,9,0.222222222222222,"Mouse",1,2,0.5,"Both",2,0.5,0.444444444444444,2.25,1
"17417","ADAM10","Human",1,17,0.0588235294117647,"Mouse",1,4,0.25,"Both",1,1,0.235294117647059,4.25,0
"17418","ADAM11","Human",1,5,0.2,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.9,1.11111111111111,1
"17420","ADAM15","Human",2,32,0.0625,"Mouse",2,13,0.153846153846154,"Both",1,1,0.40625,2.46153846153846,0
"17421","ADAM17","Human",1,16,0.0625,"Mouse",1,10,0.1,"Both",1,1,0.625,1.6,0
"17434","ADAM23","Human",1,3,0.333333333333333,"Mouse",1,12,0.0833333333333333,"Both",1,1,4,0.25,0
"17457","ADAM9","Human",1,9,0.111111111111111,"Mouse",1,5,0.2,"Both",1,1,0.555555555555555,1.8,0
"17460","ADAMTS10","Human",1,14,0.0714285714285714,"Mouse",2,15,0.133333333333333,"Both",0.5,2,0.535714285714286,1.86666666666667,1
"17473","ADAMTS4","Human",1,3,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",1,1,1,1,0
"17474","ADAMTS5","Human",1,2,0.5,"Mouse",1,1,1,"Both",1,1,0.5,2,0
"17480","ADAMTS8","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17490","ADAP1","Human",1,19,0.0526315789473684,"Mouse",1,6,0.166666666666667,"Both",1,1,0.315789473684211,3.16666666666667,0
"17493","ADAR","Human",3,21,0.142857142857143,"Mouse",1,9,0.111111111111111,"Both",3,0.333333333333333,1.28571428571429,0.777777777777778,2
"17494","ADARB1","Human",1,15,0.0666666666666667,"Mouse",6,13,0.461538461538462,"Both",0.166666666666667,6,0.144444444444444,6.92307692307692,5
"17495","ADARB2","Human",1,7,0.142857142857143,"Mouse",1,6,0.166666666666667,"Both",1,1,0.857142857142857,1.16666666666667,0
"17497","ADAT1","Human",1,10,0.1,"Mouse",1,3,0.333333333333333,"Both",1,1,0.3,3.33333333333333,0
"17498","ADAT2","Human",1,3,0.333333333333333,"Mouse",1,1,1,"Both",1,1,0.333333333333333,3,0
"17499","ADAT3","Human",1,2,0.5,"Mouse",1,3,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"17500","ADCK1","Human",1,8,0.125,"Mouse",3,5,0.6,"Both",0.333333333333333,3,0.208333333333333,4.8,2
"17501","ADCK2","Human",1,5,0.2,"Mouse",1,6,0.166666666666667,"Both",1,1,1.2,0.833333333333333,0
"17502","ADCK5","Human",1,8,0.125,"Mouse",2,15,0.133333333333333,"Both",0.5,2,0.9375,1.06666666666667,1
"17506","ADCY2","Human",1,8,0.125,"Mouse",1,1,1,"Both",1,1,0.125,8,0
"17509","ADCY5","Human",1,10,0.1,"Mouse",1,2,0.5,"Both",1,1,0.2,5,0
"17514","ADCYAP1","Human",3,4,0.75,"Mouse",1,5,0.2,"Both",3,0.333333333333333,3.75,0.266666666666667,2
"17515","ADCYAP1R1","Human",1,7,0.142857142857143,"Mouse",2,8,0.25,"Both",0.5,2,0.571428571428571,1.75,1
"17516","ADD1","Human",2,29,0.0689655172413793,"Mouse",3,15,0.2,"Both",0.666666666666667,1.5,0.344827586206897,2.9,1
"17518","ADD3","Human",3,20,0.15,"Mouse",6,16,0.375,"Both",0.5,2,0.4,2.5,3
"17521","ADGRA1","Human",1,3,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",1,1,1,1,0
"17525","ADGRB1","Human",1,6,0.166666666666667,"Mouse",2,12,0.166666666666667,"Both",0.5,2,1,1,1
"17527","ADGRB3","Human",1,5,0.2,"Mouse",1,11,0.0909090909090909,"Both",1,1,2.2,0.454545454545455,0
"17537","ADGRE5","Human",1,16,0.0625,"Mouse",2,8,0.25,"Both",0.5,2,0.25,4,1
"17545","ADGRG1","Human",3,77,0.038961038961039,"Mouse",2,16,0.125,"Both",1.5,0.666666666666667,0.311688311688312,3.20833333333333,1
"17552","ADGRL1","Human",1,8,0.125,"Mouse",5,10,0.5,"Both",0.2,5,0.25,4,4
"17556","ADGRL4","Human",1,17,0.0588235294117647,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.264705882352941,3.77777777777778,1
"17562","ADH5","Human",2,13,0.153846153846154,"Mouse",1,7,0.142857142857143,"Both",2,0.5,1.07692307692308,0.928571428571428,1
"17571","ADHFE1","Human",3,16,0.1875,"Mouse",2,5,0.4,"Both",1.5,0.666666666666667,0.46875,2.13333333333333,1
"17572","ADI1","Human",1,3,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",1,1,1,1,0
"17579","ADIPOR1","Human",1,5,0.2,"Mouse",2,4,0.5,"Both",0.5,2,0.4,2.5,1
"17585","ADK","Human",2,6,0.333333333333333,"Mouse",2,10,0.2,"Both",1,1,1.66666666666667,0.6,0
"17586","ADM","Human",3,8,0.375,"Mouse",1,2,0.5,"Both",3,0.333333333333333,0.75,1.33333333333333,2
"17589","ADNP","Human",1,8,0.125,"Mouse",2,4,0.5,"Both",0.5,2,0.25,4,1
"17591","ADNP2","Human",1,5,0.2,"Mouse",1,1,1,"Both",1,1,0.2,5,0
"17592","ADO","Human",1,1,1,"Mouse",1,1,1,"Both",1,1,1,1,0
"17593","ADORA1","Human",4,9,0.444444444444444,"Mouse",4,4,1,"Both",1,1,0.444444444444444,2.25,0
"17596","ADORA2B","Human",1,2,0.5,"Mouse",1,1,1,"Both",1,1,0.5,2,0
"17604","ADPRM","Human",2,4,0.5,"Mouse",2,6,0.333333333333333,"Both",1,1,1.5,0.666666666666667,0
"17606","ADRA1B","Human",1,3,0.333333333333333,"Mouse",1,4,0.25,"Both",1,1,1.33333333333333,0.75,0
"17608","ADRA2A","Human",1,1,1,"Mouse",2,2,1,"Both",0.5,2,1,1,1
"17610","ADRA2C","Human",1,2,0.5,"Mouse",1,1,1,"Both",1,1,0.5,2,0
"17611","ADRB1","Human",1,1,1,"Mouse",1,2,0.5,"Both",1,1,2,0.5,0
"17614","ADRM1","Human",2,5,0.4,"Mouse",1,8,0.125,"Both",2,0.5,3.2,0.3125,1
"17615","ADSL","Human",2,23,0.0869565217391304,"Mouse",1,12,0.0833333333333333,"Both",2,0.5,1.04347826086957,0.958333333333333,1
"17616","ADSS","Human",1,3,0.333333333333333,"Mouse",1,3,0.333333333333333,"Both",1,1,1,1,0
"17617","ADSSL1","Human",1,12,0.0833333333333333,"Mouse",1,4,0.25,"Both",1,1,0.333333333333333,3,0
"17620","AEBP2","Human",1,7,0.142857142857143,"Mouse",1,9,0.111111111111111,"Both",1,1,1.28571428571429,0.777777777777778,0
"17621","AEN","Human",1,6,0.166666666666667,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.75,1.33333333333333,1
"17749","AFAP1","Human",1,10,0.1,"Mouse",1,5,0.2,"Both",1,1,0.5,2,0
"17751","AFAP1L1","Human",1,6,0.166666666666667,"Mouse",1,3,0.333333333333333,"Both",1,1,0.5,2,0
"17752","AFAP1L2","Human",2,6,0.333333333333333,"Mouse",2,8,0.25,"Both",1,1,1.33333333333333,0.75,0
"17759","AFF4","Human",2,9,0.222222222222222,"Mouse",2,8,0.25,"Both",1,1,0.888888888888889,1.125,0
"17763","AFG3L2","Human",1,4,0.25,"Mouse",1,4,0.25,"Both",1,1,1,1,0
"17768","AFTPH","Human",1,7,0.142857142857143,"Mouse",1,9,0.111111111111111,"Both",1,1,1.28571428571429,0.777777777777778,0
"17769","AGA","Human",1,6,0.166666666666667,"Mouse",1,3,0.333333333333333,"Both",1,1,0.5,2,0
"17777","AGAP2","Human",1,4,0.25,"Mouse",2,3,0.666666666666667,"Both",0.5,2,0.375,2.66666666666667,1
"17779","AGAP3","Human",1,26,0.0384615384615385,"Mouse",2,6,0.333333333333333,"Both",0.5,2,0.115384615384615,8.66666666666667,1
"17791","AGBL5","Human",3,10,0.3,"Mouse",2,18,0.111111111111111,"Both",1.5,0.666666666666667,2.7,0.37037037037037,1
"17795","AGFG1","Human",1,8,0.125,"Mouse",2,8,0.25,"Both",0.5,2,0.5,2,1
"17796","AGFG2","Human",1,5,0.2,"Mouse",2,6,0.333333333333333,"Both",0.5,2,0.6,1.66666666666667,1
"17797","AGGF1","Human",1,4,0.25,"Mouse",1,2,0.5,"Both",1,1,0.5,2,0
"17808","AGK","Human",1,25,0.04,"Mouse",1,8,0.125,"Both",1,1,0.32,3.125,0
"17818","AGPAT2","Human",1,5,0.2,"Mouse",1,5,0.2,"Both",1,1,1,1,0
"17819","AGPAT3","Human",1,18,0.0555555555555556,"Mouse",4,13,0.307692307692308,"Both",0.25,4,0.180555555555556,5.53846153846154,3
"17820","AGPAT4","Human",2,5,0.4,"Mouse",1,6,0.166666666666667,"Both",2,0.5,2.4,0.416666666666667,1
"17822","AGPAT5","Human",1,7,0.142857142857143,"Mouse",1,2,0.5,"Both",1,1,0.285714285714286,3.5,0
"17824","AGPS","Human",1,5,0.2,"Mouse",1,7,0.142857142857143,"Both",1,1,1.4,0.714285714285714,0
"17827","AGRN","Human",1,10,0.1,"Mouse",2,7,0.285714285714286,"Both",0.5,2,0.35,2.85714285714286,1
"17829","AGT","Human",1,1,1,"Mouse",1,1,1,"Both",1,1,1,1,0
"17830","AGTPBP1","Human",2,8,0.25,"Mouse",1,24,0.0416666666666667,"Both",2,0.5,6,0.166666666666667,1
"17834","AGTRAP","Human",1,14,0.0714285714285714,"Mouse",1,3,0.333333333333333,"Both",1,1,0.214285714285714,4.66666666666667,0
"17838","AHCY","Human",1,6,0.166666666666667,"Mouse",1,3,0.333333333333333,"Both",1,1,0.5,2,0
"17839","AHCYL1","Human",2,6,0.333333333333333,"Mouse",1,8,0.125,"Both",2,0.5,2.66666666666667,0.375,1
"17840","AHCYL2","Human",1,12,0.0833333333333333,"Mouse",3,23,0.130434782608696,"Both",0.333333333333333,3,0.638888888888889,1.56521739130435,2
"17848","AHI1","Human",1,17,0.0588235294117647,"Mouse",2,7,0.285714285714286,"Both",0.5,2,0.205882352941176,4.85714285714286,1
"17853","AHSA1","Human",2,13,0.153846153846154,"Mouse",2,5,0.4,"Both",1,1,0.384615384615385,2.6,0
"17881","AIDA","Human",1,6,0.166666666666667,"Mouse",2,9,0.222222222222222,"Both",0.5,2,0.75,1.33333333333333,1
"17883","AIF1L","Human",3,10,0.3,"Mouse",1,10,0.1,"Both",3,0.333333333333333,3,0.333333333333333,2
"17884","AIFM1","Human",1,9,0.111111111111111,"Mouse",2,5,0.4,"Both",0.5,2,0.277777777777778,3.6,1
"17887","AIFM3","Human",1,18,0.0555555555555556,"Mouse",1,6,0.166666666666667,"Both",1,1,0.333333333333333,3,0
"17888","AIG1","Human",3,10,0.3,"Mouse",3,7,0.428571428571429,"Both",1,1,0.7,1.42857142857143,0
"17891","AIMP1","Human",1,4,0.25,"Mouse",1,8,0.125,"Both",1,1,2,0.5,0
"17894","AIMP2","Human",1,4,0.25,"Mouse",2,4,0.5,"Both",0.5,2,0.5,2,1
"17895","AIP","Human",1,4,0.25,"Mouse",1,6,0.166666666666667,"Both",1,1,1.5,0.666666666666667,0
"17916","AJUBA","Human",1,8,0.125,"Mouse",1,2,0.5,"Both",1,1,0.25,4,0
"17917","AK1","Human",2,6,0.333333333333333,"Mouse",2,6,0.333333333333333,"Both",1,1,1,1,0
"17919","AK2","Human",3,15,0.2,"Mouse",2,4,0.5,"Both",1.5,0.666666666666667,0.4,2.5,1
"17921","AK3","Human",1,4,0.25,"Mouse",1,2,0.5,"Both",1,1,0.5,2,0
"17927","AK4","Human",1,8,0.125,"Mouse",4,7,0.571428571428571,"Both",0.25,4,0.21875,4.57142857142857,3
"17934","AK5","Human",1,13,0.0769230769230769,"Mouse",1,3,0.333333333333333,"Both",1,1,0.230769230769231,4.33333333333333,0
"17941","AKAIN1","Human",1,2,0.5,"Mouse",1,2,0.5,"Both",1,1,1,1,0
"17942","AKAP1","Human",1,19,0.0526315789473684,"Mouse",1,6,0.166666666666667,"Both",1,1,0.315789473684211,3.16666666666667,0
